,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2018-12-31,BKJ,USD,2019-03-18 00:00:00,2019-03-18 15:14:20,FY,26801000.0,0.0,26801000.0,1.0,0.0,10075000.0,0.0,2418000.0,10075000.0,10075000.0,9311000.0,548000.0,7663000.0,0.2859221670833178,7115000.0,0.2654751688369837,0.0,7115000.0,0.2654751688369837,1634000.0,5481000.0,0.20450729450393643,0.7711029825548678,0.7690472849726393,7108000.0,7127000.0,https://www.sec.gov/Archives/edgar/data/1390312/000155837019002229/0001558370-19-002229-index.html,https://www.sec.gov/Archives/edgar/data/1390312/000155837019002229/bkj-20181231x10k.htm,1620589425,15:43:45,20210509
1,2017-12-31,BKJ,USD,2018-03-16 00:00:00,2018-03-16 13:16:48,FY,25030000.0,0.0,25030000.0,1.0,0.0,9012000.0,0.0,1975000.0,9012000.0,9012000.0,7611000.0,264000.0,7511000.0,0.3000799041150619,7247000.0,0.2895325609268877,0.0,7247000.0,0.2895325609268877,3673000.0,3574000.0,0.1427886536156612,0.5451494813910921,0.543822276323798,6556000.0,6572000.0,https://www.sec.gov/Archives/edgar/data/1390312/000155837018002196/0001558370-18-002196-index.html,https://www.sec.gov/Archives/edgar/data/1390312/000155837018002196/bkj-20171231x10k.htm,1620589425,15:43:45,20210509
2,2016-12-31,BKJ,USD,2017-03-30 00:00:00,2017-03-30 17:10:06,FY,24436000.0,0.0,24436000.0,1.0,0.0,8338000.0,0.0,2162000.0,8338000.0,8338000.0,6974000.0,314000.0,6449000.0,0.263913897528237,6135000.0,0.2510640039286299,0.0,6135000.0,0.2510640039286299,2134000.0,4001000.0,0.16373383532493044,0.63771,0.63771,6274000.0,6274000.0,https://www.sec.gov/Archives/edgar/data/1390312/000155837017002324/0001558370-17-002324-index.html,https://www.sec.gov/Archives/edgar/data/1390312/000155837017002324/bkj-20161231x10k.htm,1620589425,15:43:45,20210509
3,2015-12-31,BKJ,USD,2016-03-30 00:00:00,2016-03-30 11:33:33,FY,23485000.0,0.0,23485000.0,1.0,0.0,7634000.0,0.0,1916000.0,7634000.0,7634000.0,8041000.0,760000.0,8103000.0,0.3450287417500532,7343000.0,0.31266766020864384,0.0,7343000.0,0.31266766020864384,2535000.0,4808000.0,0.20472642111986375,0.7885845497785796,0.7865205300179945,6097000.0,6113000.0,https://www.sec.gov/Archives/edgar/data/1390312/000110465916108547/0001104659-16-108547-index.html,https://www.sec.gov/Archives/edgar/data/1390312/000110465916108547/a15-23401_110k.htm,1620589425,15:43:45,20210509
4,2014-12-31,BKJ,USD,2015-03-31,2015-03-31 17:02:19,FY,21248000.0,0.0,21248000.0,1.0,0.0,6503000.0,0.0,1411000.0,6503000.0,6503000.0,6611000.0,604000.0,6515000.0,0.30661709337349397,5911000.0,0.27819088855421686,0.0,5911000.0,0.27819088855421686,2121000.0,3790000.0,0.17836972891566266,0.7068258112644535,0.7005545286506469,5362000.0,5410000.0,https://www.sec.gov/Archives/edgar/data/1390312/000110465915024711/0001104659-15-024711-index.htm,https://www.sec.gov/Archives/edgar/data/1390312/000110465915024711/a14-26390_110k.htm,1620589425,15:43:45,20210509
5,2013-12-31,BKJ,USD,2014-03-31,2014-03-31 12:46:22,FY,18698000.0,0.0,18698000.0,1.0,0.0,5495000.0,0.0,1034000.0,5495000.0,5495000.0,6099000.0,377000.0,8086000.0,0.432452668734624,7709000.0,0.4122900845010162,0.0,7709000.0,0.4122900845010162,3055000.0,4654000.0,0.2489036260562627,0.8799394970693893,0.86698956780924,5289000.0,5368000.0,https://www.sec.gov/Archives/edgar/data/1390312/000110465914024379/0001104659-14-024379-index.htm,https://www.sec.gov/Archives/edgar/data/1390312/000110465914024379/a14-2837_110k.htm,1620589425,15:43:45,20210509
6,2012-12-31,BKJ,USD,2013-03-28 00:00:00,2013-03-28 14:57:46,FY,17347000.0,0.0,17347000.0,1.0,0.0,4971000.0,0.0,1040000.0,4971000.0,4971000.0,6075000.0,490000.0,7437000.0,0.42871966334236467,6947000.0,0.4004727042139851,0.0,6947000.0,0.4004727042139851,2747000.0,4200000.0,0.24211679252896753,0.806606491261763,0.8053691275167785,5207000.0,5215000.0,https://www.sec.gov/Archives/edgar/data/1390312/000110465913025316/0001104659-13-025316-index.html,https://www.sec.gov/Archives/edgar/data/1390312/000110465913025316/a13-1274_110k.htm,1620589425,15:43:45,20210509
7,2011-12-31,BKJ,USD,2012-03-30 00:00:00,2012-03-30 12:16:27,FY,15116000.0,0.0,15116000.0,1.0,0.0,4356000.0,0.0,1027000.0,4356000.0,4356000.0,4745000.0,430000.0,5976000.0,0.3953426832495369,5546000.0,0.3668960042339243,0.0,5546000.0,0.3668960042339243,2224000.0,3322000.0,0.21976713416247684,0.6379873247551373,0.6374976012281712,5207000.0,5211000.0,https://www.sec.gov/Archives/edgar/data/1390312/000110465912022716/0001104659-12-022716-index.html,https://www.sec.gov/Archives/edgar/data/1390312/000110465912022716/a12-2590_110k.htm,1620589425,15:43:45,20210509
8,2010-12-31,BKJ,USD,2011-03-31,2011-03-31 14:57:02,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863000.0,863000.0,863000.0,-4336000.0,430000.0,4053000.0,0.0,3623000.0,0.0,0.0,3623000.0,0.0,1472000.0,2151000.0,0.0,0.41,0.41,5246341.0,5246341.0,https://www.sec.gov/Archives/edgar/data/1390312/000095012311031405/0000950123-11-031405-index.htm,https://www.sec.gov/Archives/edgar/data/1390312/000095012311031405/c14881e10vk.htm,1620589425,15:43:45,20210509
9,2009-12-31,BKJ,USD,2010-03-30 00:00:00,2010-03-30 17:08:19,FY,0.0,0.0,0.0,0.0,0.0,0.0,71000.0,885000.0,956000.0,956000.0,-5932000.0,425000.0,2560000.0,0.0,2135000.0,0.0,0.0,2135000.0,0.0,878000.0,1257000.0,0.0,0.25,0.25,5028000.0,5028000.0,https://www.sec.gov/Archives/edgar/data/1390312/000138713110000372/0001387131-10-000372-index.html,https://www.sec.gov/Archives/edgar/data/1390312/000138713110000372/bonj-10k_0329.htm,1620589425,15:43:45,20210509
