,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,CCMP,USD,2020-11-17,2020-11-17 10:41:31,FY,1116270000,627669000,488601000,0.43770861888252843,52311000,217071000,0.0,-1718000.0,269382000,897051000,42510000.0,127737000.0,346956000,0.3108172753903625,219219000,0.19638528313042544,-4032000.0,173347000,0.15529128257500424,30519000.0,142828000,0.1279511229362072,4.9,4.83,29136000,29580000,https://www.sec.gov/Archives/edgar/data/1102934/000110293420000055/0001102934-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1102934/000110293420000055/ccmp-20200930.htm,1620590037,15:53:57,20210509
1,2019-09-30,CCMP,USD,2019-11-27 00:00:00,2019-11-27 15:18:18,FY,1037696000,595043000,442653000,0.4265729076723819,51707000,213078000,0.0,-4055000.0,264785000,859828000,45681000.0,98592000.0,276460000,0.26641713950906626,177868000,0.17140665474281486,-71427000.0,63106000,0.06081357160478599,23891000.0,39215000,0.037790451153324287,1.37,1.35,28571000,29094000,https://www.sec.gov/Archives/edgar/data/1102934/000110293419000058/0001102934-19-000058-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293419000058/ccmp-20190930.htm,1620590037,15:53:57,20210509
2,2018-09-30,CCMP,USD,2018-11-13 00:00:00,2018-11-13 14:34:32,FY,590123000,276018000,314105000,0.5322703910879596,51950000,76993000,25044000.0,89000.0,153987000,430005000,2905000.0,25876000.0,185994000,0.3151783611213256,160118000,0.27132987529718383,89000.0,161711000,0.2740293125331499,51668000.0,110043000,0.18647468409128268,4.31,4.19,25478000,26210000,https://www.sec.gov/Archives/edgar/data/1102934/000110293418000028/0001102934-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293418000028/form10k.htm,1620590037,15:53:57,20210509
3,2017-09-30,CCMP,USD,2017-11-15 00:00:00,2017-11-15 12:01:23,FY,507179000,253050000,254129000,0.5010637270076246,55658000,55637000,30846000.0,-438000.0,142141000,395191000,4529000.0,25930000.0,137918000,0.2719316060010371,111988000,0.22080567215913907,-438000.0,109372000,0.21564772989417938,22420000.0,86952000,0.17144242959586262,3.47,3.4,25015000,25512000,https://www.sec.gov/Archives/edgar/data/1102934/000110293417000028/0001102934-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293417000028/form10k.htm,1620590037,15:53:57,20210509
4,2016-09-30,CCMP,USD,2016-11-16 00:00:00,2016-11-16 14:05:06,FY,430449000,220247000,210202000,0.48833195105575805,58532000,49445000,27717000.0,-296000.0,135694000,355941000,4723000.0,26031000.0,100539000,0.23356773973223308,74508000,0.17309367660280311,-296000.0,70438000,0.1636384333567972,10589000.0,59849000,0.13903853882806094,2.47,2.43,24077000,24477000,https://www.sec.gov/Archives/edgar/data/1102934/000110293416000064/0001102934-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293416000064/form10k.htm,1620590037,15:53:57,20210509
5,2015-09-30,CCMP,USD,2015-11-18 00:00:00,2015-11-18 11:47:12,FY,414097000,201866000,212231000,0.5125151836405479,59778000,52430000,24983000.0,316000.0,137191000,339057000,4524000.0,18719000.0,93759000,0.22641796487296453,75040000,0.1812135803929997,316000.0,71197000,0.1719331460986194,15051000.0,56146000,0.13558658961547657,2.32,2.26,24040000,24632000,https://www.sec.gov/Archives/edgar/data/1102934/000110293415000033/0001102934-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293415000033/form10k.htm,1620590037,15:53:57,20210509
6,2014-09-30,CCMP,USD,2014-11-19 00:00:00,2014-11-19 09:51:36,FY,424666000,221573000,203093000,0.47824172408433924,59354000,45418000,26513000.0,-54000.0,131285000,352858000,3354000.0,19941000.0,91749000,0.21604978971709532,71808000,0.16909288711599232,-54000.0,68594000,0.16152458638082634,17843000.0,50751000,0.11950803690429655,2.12,2.04,23704000,24611000,https://www.sec.gov/Archives/edgar/data/1102934/000110293414000027/0001102934-14-000027-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293414000027/form10k.htm,1620590037,15:53:57,20210509
7,2013-09-30,CCMP,USD,2013-11-20 00:00:00,2013-11-20 14:25:02,FY,433131000,221015000,212116000,0.48972712643518934,61373000,46287000,27985000.0,1247000.0,135645000,356660000,3643000.0,20457000.0,96928000,0.2237844901427051,76471000,0.17655397558706257,1247000.0,74220000,0.17135693358360404,22835000.0,51385000,0.11863616319312172,2.24,2.16,22924000,23802000,https://www.sec.gov/Archives/edgar/data/1102934/000110293413000024/0001102934-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293413000024/form10k.htm,1620590037,15:53:57,20210509
8,2012-09-30,CCMP,USD,2012-11-20 00:00:00,2012-11-20 11:39:07,FY,427657000,223630000,204027000,0.4770809316812305,58642000,49345000,29516000.0,0.0,137503000,361133000,2309000.0,0.0,90215000,0.21095176742108745,66524000,0.15555456826381892,-1490000.0,62871000,0.1470126760464578,22045000.0,40826000,0.09546435578045022,1.81,1.75,22506000,23280000,https://www.sec.gov/Archives/edgar/data/1102934/000110293412000040/0001102934-12-000040-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293412000040/cmc10kfiled112012.htm,1620590037,15:53:57,20210509
9,2011-09-30,CCMP,USD,2011-11-22 00:00:00,2011-11-22 11:01:58,FY,445442000,231336000,214106000,0.48065965939448907,58035000,45928000,29758000.0,0.0,133721000,365057000,155000.0,0.0,104615000,0.23485661432913824,80385000,0.18046120482576855,-1556000.0,78912000,0.17715437700082165,27250000.0,51662000,0.1159791847198962,2.26,2.2,22896000,23435000,https://www.sec.gov/Archives/edgar/data/1102934/000110293411000029/0001102934-11-000029-index.html,https://www.sec.gov/Archives/edgar/data/1102934/000110293411000029/cmc10kfiled112211.htm,1620590037,15:53:57,20210509
