,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,EDIN.L,GBP,2020-03-31,2020-03-31,FY,-331768000.0,0.0,0.0,0.0,0.0,1641000.0,0.0,0.0,1892000.0,0.0,8049000.0,0.0,0.0,0.0,0.0,1.0057027802560825,0.0,-333660000.0,1.0057027802560825,1440000.0,-335100000.0,1.0100431626920017,-1.7135339245610017,-1.7135339245610017,195560762,195560762,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,1620591464,16:17:44,20210509
1,2019-03-31,EDIN.L,GBP,2019-03-31,2019-03-31,FY,39836000.0,0.0,0.0,0.0,0.0,873000.0,0.0,0.0,1124000.0,0.0,8456000.0,0.0,0.0,0.0,0.0,0.9717843156943469,0.0,38712000.0,0.9717843156943469,1251000.0,37461000.0,0.9403805602972186,0.192,0.192,195560762,195560762,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,1620591464,16:17:44,20210509
2,2018-03-31,EDIN.L,GBP,2018-03-31,2018-03-31,FY,-81933000.0,0.0,0.0,0.0,0.0,889000.0,0.0,0.0,1140000.0,0.0,8680000.0,0.0,0.0,0.0,0.0,1.013913807623302,0.0,-83073000.0,1.013913807623302,1071000.0,-84144000.0,1.026985463732562,-0.43,-0.43,195666734,195666734,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,1620591464,16:17:44,20210509
3,2017-03-31,EDIN.L,GBP,2017-03-31,2017-03-31,FY,193783000.0,0.0,0.0,0.0,0.0,894000.0,0.0,0.0,1145000.0,0.0,8995000.0,0.0,0.0,0.0,0.0,0.9940913289607447,0.0,192638000.0,0.9940913289607447,1346000.0,191292000.0,0.9871454152325023,0.978,0.978,195666734,195666734,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,1620591464,16:17:44,20210509
4,2016-03-31,EDIN.L,GBP,2016-03-31,2016-03-31,FY,61864000.0,0.0,0.0,0.0,0.0,858000.0,0.0,0.0,1109000.0,0.0,8713000.0,0.0,0.0,0.0,0.0,0.9820735807577913,0.0,60755000.0,0.9820735807577913,1132000.0,59623000.0,0.9637753782490625,0.305,0.305,195275887,195275887,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,1620591464,16:17:44,20210509
5,2015-03-31,EDIN.L,GBP,2015-03-31,2015-03-31,FY,196565000.0,0.0,0.0,0.0,0.0,871000.0,0.0,0.0,1122000.0,0.0,11467000.0,0.0,0.0,0.0,0.0,0.9942919644901178,0.0,195443000.0,0.9942919644901178,1278000.0,194165000.0,0.9877902983745834,0.995,0.995,195116734,195116734,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,1620591464,16:17:44,20210509
6,2014-03-31,EDIN.L,GBP,2014-03-31,2014-03-31,FY,136981000.0,0.0,0.0,0.0,0.0,787000.0,0.0,0.0,1038000.0,0.0,19250000.0,0.0,0.0,0.0,0.0,0.9924223067432709,0.0,135943000.0,0.9924223067432709,1417000.0,134526000.0,0.9820778064111081,0.69,0.69,195116734,195116734,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,1620591464,16:17:44,20210509
7,2013-03-31,EDIN.L,GBP,2013-03-31,2013-03-31,FY,200998000.0,0.0,0.0,0.0,0.0,724000.0,0.0,0.0,975000.0,0.0,19250000.0,0.0,0.0,0.0,0.0,0.995149205464731,0.0,200023000.0,0.995149205464731,1565000.0,198458000.0,0.9873630583388889,1.017,1.017,195116734,195116734,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,1620591464,16:17:44,20210509
8,2012-03-31,EDIN.L,GBP,2012-03-31,2012-03-31,FY,163183000.0,0.0,0.0,0.0,0.0,8238000.0,0.0,0.0,29403000.0,0.0,19503000.0,0.0,0.0,0.0,0.0,0.8198157896349497,0.0,133780000.0,0.8198157896349497,1490000.0,132290000.0,0.810684936543635,0.678,0.678,195116734,195116734,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,1620591464,16:17:44,20210509
9,2011-03-31,EDIN.L,GBP,2011-03-31,2011-03-31,FY,122614000.0,0.0,0.0,0.0,0.0,1017000.0,0.0,0.0,21987000.0,0.0,19506000.0,0.0,0.0,0.0,0.0,0.8206811620206502,0.0,100627000.0,0.8206811620206502,1305000.0,99322000.0,0.8100380054479912,0.509,0.509,195116734,195116734,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Edinburgh+Investment+Trust+PLC,1620591464,16:17:44,20210509
