,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,GLNG,USD,2020-12-31,2020-12-31,FY,438637000,229483000,209154000,0.476827080250868,0.0,44202000.0,0.0,5682000.0,0.0,270423000.0,69354000.0,107923000,276137000.0,0.6295342162197899,168214000.0,0.38349250063264156,-89302000.0,9578000.0,0.021835823243365242,981000.0,-272227000.0,-0.6206202395146784,-2.477043,-2.477043,109900000,109900000,,,1620592608,16:36:48,20210509
1,2019-12-31,GLNG,USD,2020-04-30,2020-04-30,FY,448750000,160131000,288619000,0.6431621169916435,4990000.0,52171000.0,0.0,-10333000.0,46828000.0,388091000.0,103124000.0,113033000,173692000.0,0.3870573816155989,60659000.0,0.1351732590529248,-4620000.0,-75552000.0,-0.16836100278551533,1024000.0,-211956000.0,-0.472325348189415,-2.10568,-2.10568,100659000,100659000,https://www.sec.gov/Archives/edgar/data/1207179/000120717920000008/glng-20191231.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717920000008/glng-20191231.htm,1620592608,16:36:48,20210509
2,2018-12-31,GLNG,USD,2019-03-29 00:00:00,2019-03-29 11:16:43,FY,430604000,202686000,227918000,0.5292983808789514,21690000.0,51542000.0,0.0,-36722000.0,36510000.0,316118000.0,101908000.0,93689000,208175000.0,0.4834488300155131,114486000.0,0.2658730527352277,516000.0,-9311000.0,-0.02162311543785009,1267000.0,-231428000.0,-0.5374497217861423,-2.29856,-2.29856,100684000,100684000,https://www.sec.gov/Archives/edgar/data/1207179/000120717919000008/0001207179-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1207179/000120717919000008/glng-12312018x20f.htm,1620592608,16:36:48,20210509
3,2017-12-31,GLNG,USD,2018-04-16,2018-04-16,FY,143537000,117238000,26299000,0.18322105101820438,0.0,50334000.0,0.0,0.0,50334000.0,228994000.0,59305000.0,76522000,-8935000.0,-0.062248758159916956,-85457000.0,-0.5953656548485756,2000000.0,-118326000.0,-0.8243588761085991,1505000.0,-179703000.0,-1.2519629085183612,-1.78637,-1.78637,100597000,100597000,https://www.sec.gov/Archives/edgar/data/1207179/000120717918000006/glng-12312017x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717918000006/glng-12312017x20f.htm,1620592608,16:36:48,20210509
4,2016-12-31,GLNG,USD,2017-05-01,2017-05-01,FY,80257000,100726000,-20469000,-0.25504317380415414,0.0,45960000.0,0.0,-16000.0,45944000.0,228975000.0,-61140000.0,72972000,-75746000.0,-0.9437930647793962,-148718000.0,-1.8530221662907909,611000.0,-209247000.0,-2.607211831989733,-589000.0,-186531000.0,-2.3241711003401573,-1.98579,-1.98579,93933000,93933000,https://www.sec.gov/Archives/edgar/data/1207179/000120717917000008/glng-12312016x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717917000008/glng-12312016x20f.htm,1620592608,16:36:48,20210509
5,2015-12-31,GLNG,USD,2016-05-02,2016-05-02,FY,102674000,125389000,-22715000,-0.22123419755731732,0.0,33526000.0,0.0,0.0,33526000.0,154064000.0,62911000.0,73732000,22342000.0,0.21760134016401425,-51390000.0,-0.500516196895027,-4975000.0,-211026000.0,-2.0553012447162864,-3053000.0,-171146000.0,-1.6668874301186278,-1.83324,-1.83324,93357000,93357000,https://www.sec.gov/Archives/edgar/data/1207179/000120717916000034/glng-12312015x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717916000034/glng-12312015x20f.htm,1620592608,16:36:48,20210509
6,2014-12-31,GLNG,USD,2015-04-30,2015-04-30,FY,106155000,76910000,29245000,0.2754933823183081,0.0,19267000.0,0.0,5070000.0,24337000.0,108271000.0,14474000.0,49811000,47695000.0,0.44929584098723563,-2116000.0,-0.019933116669021714,-9639000.0,-89696000.0,-0.8449531345673779,-1114000.0,-48017000.0,-0.45232914134991287,-0.55184,-0.55184,87013000,87013000,https://www.sec.gov/Archives/edgar/data/1207179/000120717915000006/glng-12312014x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717915000006/glng-12312014x20f.htm,1620592608,16:36:48,20210509
7,2013-12-31,GLNG,USD,2014-04-30,2014-04-30,FY,99800000,58000000,41800000,0.4188376753507014,0.0,23000000.0,0.0,0.0,22952000.0,36100000.0,48500000.0,36900000,100700000.0,1.0090180360721444,63800000.0,0.6392785571142284,-9200000.0,103100000.0,1.0330661322645291,-3400000.0,109600000.0,1.0981963927855711,1.28187,1.28187,85500000,85500000,https://www.sec.gov/Archives/edgar/data/1207179/000120717914000005/glng-12312013x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717914000005/glng-12312013x20f.htm,1620592608,16:36:48,20210509
8,2012-12-31,GLNG,USD,2013-05-01,2013-05-01,FY,410300000,96500000,313800000,0.7648062393370705,0.0,25000000.0,0.0,0.0,25040000.0,203500000.0,31924000.0,85500000,292300000.0,0.7124055569095784,206800000.0,0.5040214477211796,-13900000.0,1017800000.0,2.4806239337070437,2800000.0,971300000.0,2.3672922252010724,11.53563,11.53563,84200000,84200000,https://www.sec.gov/Archives/edgar/data/1207179/000144530513001004/glng-12312012x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000144530513001004/glng-12312012x20f.htm,1620592608,16:36:48,20210509
9,2011-12-31,GLNG,USD,2012-04-30,2012-04-30,FY,299800000,68900000,230900000,0.7701801200800533,0.0,33700000.0,0.0,5400000.0,103965000.0,178800000.0,25773000.0,70300000,191300000.0,0.6380920613742495,121000000.0,0.40360240160106736,-26900000.0,68500000.0,0.22848565710473648,-1700000.0,46700000.0,0.15577051367578384,0.62267,0.62267,75000000,75000000,https://www.sec.gov/Archives/edgar/data/1207179/000091957412002972/d1283771_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957412002972/d1283771_20-f.htm,1620592608,16:36:48,20210509
10,2010-12-31,GLNG,USD,2011-04-28,2011-04-28,FY,244000000,85200000,158800000,0.6508196721311476,0.0,22800000.0,0.0,6200000.0,87908000.0,191600000.0,32654000.0,65100000,117500000.0,0.48155737704918034,52400000.0,0.21475409836065573,-26900000.0,-2600000.0,-0.010655737704918032,1400000.0,400000.0,0.001639344262295082,0.00593,0.00593,67400000,67400000,https://www.sec.gov/Archives/edgar/data/1207179/000091957411002832/d1189413_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957411002832/d1189413_20-f.htm,1620592608,16:36:48,20210509
