,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-06-30,INA.AX,AUD,2020-06-30,2020-06-30,FY,241393000,94419000.0,146974000.0,0.6088577547816216,0.0,57943000.0,10432000.0,-34721000.0,77898000.0,0.0,6167000.0,3244000.0,72320000.0,0.2995944372869139,69076000.0,0.2861557708798515,-34587000.0,27840000.0,0.11533060196443144,-3612000.0,31452000,0.13029375333998916,0.118,0.117,267272000,268820513,,,1620593581,16:53:01,20210509
1,2019-06-30,INA.AX,AUD,2019-06-30,2019-06-30,FY,224944000,93978000.0,130966000.0,0.5822160182089765,0.0,55675000.0,9801000.0,-25176000.0,73240000.0,0.0,7307000.0,1611000.0,59337000.0,0.2637856533181592,57726000.0,0.25662387083007326,-26333000.0,23811000.0,0.10585301230528488,-5502000.0,29313000,0.13031243331673661,0.129594,0.128598,225575624,227943569,,,1620593581,16:53:01,20210509
2,2018-06-30,INA.AX,AUD,2018-06-30,2018-06-30,FY,185509000,75845000.0,109664000.0,0.591151911767084,0.0,50384000.0,6983000.0,505000.0,64872000.0,0.0,5853000.0,1167000.0,45959000.0,0.2477453924068374,44792000.0,0.24145459249955528,505000.0,39183000.0,0.21121886269668858,4940000.0,34243000,0.18458942692807356,0.164485,0.164485,207977732,207977732,,,1620593581,16:53:01,20210509
3,2017-06-30,INA.AX,AUD,2017-06-30,2017-06-30,FY,145376000,67428000.0,77948000.0,0.5361820383006823,0.0,38474000.0,5463000.0,8322000.0,50996000.0,0.0,6546000.0,830000.0,27782000.0,0.19110444640105656,26952000.0,0.18539511336121506,8322000.0,28338000.0,0.1949290116662998,1930000.0,26408000,0.18165309267004182,0.145545,0.145545,180947418,180947418,,,1620593581,16:53:01,20210509
4,2016-06-30,INA.AX,AUD,2016-06-30,2016-06-30,FY,100348000,42971000.0,57377000.0,0.5717802048869932,0.0,31282000.0,3555000.0,11799000.0,41325000.0,0.0,6429000.0,626000.0,16678000.0,0.1662016183680791,16052000.0,0.1599633276198828,11799000.0,21226000.0,0.21152389683900027,-3054000.0,24280000,0.24195798620799616,0.159814,0.158822,151523783,152875739,,,1620593581,16:53:01,20210509
5,2015-06-30,INA.AX,AUD,2015-06-30,2015-06-30,FY,65818000,27280000.0,38538000.0,0.5855237169163451,0.0,26110000.0,3931000.0,17755000.0,32430000.0,0.0,4483000.0,479000.0,6587000.0,0.10007900574310978,6108000.0,0.09280136132972742,17755000.0,19296000.0,0.293172080585858,-6604000.0,25722000,0.39080494697499163,0.18463,0.119116,137958331,137958331,,,1620593581,16:53:01,20210509
6,2014-06-30,INA.AX,AUD,2014-06-30,2014-06-30,FY,38263000,13743000.0,24520000.0,0.6408279538980216,0.0,19712000.0,3136000.0,6089000.0,22848000.0,0.0,4446000.0,0.0,8130000.0,0.21247680526879753,1672000.0,0.04369756684002823,6089000.0,3684000.0,0.09628100253508612,-7264000.0,11518000,0.30102187491832844,0.106772,0.106772,109006428,109006428,,,1620593581,16:53:01,20210509
7,2013-06-30,INA.AX,AUD,2013-06-30,2013-06-30,FY,23477000,8244000.0,15233000.0,0.648847808493419,0.0,13411000.0,2358000.0,9281000.0,16504000.0,0.0,6076000.0,585000.0,-686000.0,-0.029220087745452997,-1271000.0,-0.054138092601269325,9281000.0,2461000.0,0.10482599991481024,-367000.0,-10290000,-0.43830131618179496,-0.129992,-0.129992,79067081,79067081,,,1620593581,16:53:01,20210509
8,2012-06-30,INA.AX,AUD,2012-06-30,2012-06-30,FY,20892000,19480000.0,1412000.0,0.06758567872869999,0.0,0.0,0.0,9177000.0,1502000.0,0.0,8538000.0,215000.0,125000.0,0.005983151445529389,-90000.0,-0.00430786904078116,9177000.0,1410000.0,0.0674899483055715,-38000.0,33627000,1.6095634692705343,0.430668,0.430668,78125435,78125435,,,1620593581,16:53:01,20210509
9,2011-06-30,INA.AX,AUD,2011-06-30,2011-06-30,FY,24133000,21078000.0,3055000.0,0.12659014627273857,0.0,0.0,0.0,4709000.0,1498000.0,0.0,8737000.0,0.0,21872000.0,0.9063108606472465,1557000.0,0.06451746571085236,19846000.0,13135000.0,0.5442754734181411,-1320000.0,13051000,0.5407947623585961,0.169554,0.169554,78033252,78033252,,,1620593581,16:53:01,20210509
10,2010-06-30,INA.AX,AUD,2010-06-30,2010-06-30,FY,22891000,22560000.0,331000.0,0.014459831374776112,0.0,0.0,0.0,-11602000.0,3268000.0,0.0,3666000.0,0.0,-43788000.0,-1.9128915294220437,-2937000.0,-0.12830370014416145,-41314000.0,-47454000.0,-2.0730418068236425,5812000.0,-67717000,-2.958236861648683,-0.870379,-0.870379,78033252,78033252,,,1620593581,16:53:01,20210509
11,2009-06-30,INA.AX,AUD,2009-06-30,2009-06-30,FY,44136000,41644000.0,2492000.0,0.05646184520572775,0.0,0.0,0.0,-117307000.0,3751000.0,0.0,7979000.0,0.0,-277421000.0,-6.285594526010513,-1259000.0,-0.02852546673916984,-320438000.0,-328135000.0,-7.43463385898133,-43959000.0,-284176000,-6.438644190683342,-3.639765,-3.639765,78033252,78033252,,,1620593581,16:53:01,20210509
12,2008-06-30,INA.AX,AUD,2008-06-30,2008-06-30,FY,36470000,20752000.0,15718000.0,0.4309843707156567,0.0,0.0,0.0,-1678000.0,1435000.0,0.0,19802000.0,0.0,-15592000.0,-0.4275294762818755,14283000.0,0.39163696188648206,-35490000.0,-38539000.0,-1.0567315601864546,264000.0,-38803000,-1.063970386619139,-0.503011,-0.503011,77227493,77227493,,,1620593581,16:53:01,20210509
13,2007-06-30,INA.AX,AUD,2007-06-30,2007-06-30,FY,38179000,10676000.0,27503000.0,0.7203698368212892,0.0,0.0,0.0,28423000.0,1324000.0,0.0,13347000.0,0.0,136476000.0,3.5746352706985514,26179000.0,0.6856910867230677,107707000.0,123129000.0,3.2250451819062835,36331000.0,86193000,2.2576023468398856,1.525988,1.525988,56965306,56965306,,,1620593581,16:53:01,20210509
14,2006-06-30,INA.AX,AUD,2006-06-30,2006-06-30,FY,11037000,874000.0,10163000.0,0.9208118148047477,0.0,0.0,0.0,3604000.0,464000.0,0.0,5362000.0,0.0,52351000.0,4.7432273262661955,9699000.0,0.8787714052731721,41286000.0,46989000.0,4.257406904050014,6719000.0,40270000,3.6486364048201505,1.368303,1.368303,29425983,29425983,,,1620593581,16:53:01,20210509
