,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,IOG.L,GBP,2020-12-31,2020-12-31,FY,0.0,0.0,0.0,0.0,0.0,3410000.0,0.0,0.0,0.0,3590000.0,1642000.0,559000.0,-3031000.0,0.0,-3590000.0,0.0,0.0,-19337000.0,0.0,0.0,-19337000.0,0.0,-0.06498500428261832,-0.06498500428261832,297560956,297560956,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,1620593691,16:54:51,20210509
1,2019-12-31,IOG.L,GBP,2019-12-31,2019-12-31,FY,0.0,0.0,0.0,0.0,0.0,2622000.0,0.0,0.0,6649000.0,6649000.0,2068000.0,244000.0,-6405000.0,0.0,-6649000.0,0.0,0.0,15029000.0,0.0,0.0,15029000.0,0.0,0.051,0.037,297560956,406122768,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,1620593691,16:54:51,20210509
2,2018-12-31,IOG.L,GBP,2018-12-31,2018-12-31,FY,0.0,0.0,0.0,0.0,0.0,974000.0,0.0,-106000.0,1896000.0,1896000.0,1866000.0,9000.0,-1887000.0,0.0,-1896000.0,0.0,0.0,-5644000.0,0.0,0.0,-5644000.0,0.0,-0.044168,-0.044168,128707486,128707486,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,1620593691,16:54:51,20210509
3,2017-12-31,IOG.L,GBP,2017-12-31,2017-12-31,FY,0.0,0.0,0.0,0.0,0.0,700000.0,0.0,-1000.0,1130000.0,1130000.0,1104000.0,3000.0,-1127000.0,0.0,-1130000.0,0.0,0.0,-2751000.0,0.0,0.0,-2751000.0,0.0,-0.024004,-0.024004,114081608,114081608,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,1620593691,16:54:51,20210509
4,2016-12-31,IOG.L,GBP,2016-12-31,2016-12-31,FY,0.0,0.0,0.0,0.0,0.0,279000.0,0.0,0.0,226000.0,226000.0,489000.0,4000.0,-222000.0,0.0,-226000.0,0.0,0.0,-21437000.0,0.0,0.0,-21437000.0,0.0,-0.22254721246146456,-0.15314880720247617,96325628,139974972,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,1620593691,16:54:51,20210509
5,2015-12-31,IOG.L,GBP,2015-12-31,2015-12-31,FY,0.0,0.0,0.0,0.0,0.0,512000.0,0.0,0.0,833000.0,833000.0,123000.0,0.0,-918000.0,0.0,-833000.0,0.0,0.0,5322000.0,0.0,0.0,5322000.0,0.0,0.071053,0.062411,74476863,84993021,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,1620593691,16:54:51,20210509
6,2014-12-31,IOG.L,GBP,2014-12-31,2014-12-31,FY,0.0,0.0,0.0,0.0,0.0,693000.0,0.0,0.0,2036000.0,2036000.0,100000.0,0.0,-2258000.0,0.0,-2036000.0,0.0,0.0,-12145000.0,0.0,0.0,-12145000.0,0.0,-0.184354,-0.184354,65928841,65928841,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,1620593691,16:54:51,20210509
7,2013-12-31,IOG.L,GBP,2013-12-31,2013-12-31,FY,0.0,0.0,0.0,0.0,0.0,286303.0,0.0,0.0,645061.0,645061.0,174600.0,0.0,-620434.0,0.0,-645061.0,0.0,0.0,-1031084.0,0.0,0.0,-1031084.0,0.0,-0.019204,-0.019204,52525812,52525812,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,1620593691,16:54:51,20210509
8,2012-12-31,IOG.L,GBP,2012-12-31,2012-12-31,FY,0.0,0.0,0.0,0.0,0.0,391587.0,0.0,0.0,391587.0,391587.0,74022.0,0.0,-372397.0,0.0,-391587.0,0.0,0.0,-446419.0,0.0,0.0,-446419.0,0.0,-0.006721,-0.006721,62000937,62000937,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,1620593691,16:54:51,20210509
9,2011-12-31,IOG.L,GBP,2011-12-31,2011-12-31,FY,0.0,0.0,0.0,0.0,0.0,140029.0,0.0,0.0,140029.0,140029.0,0.0,0.0,-172633.0,0.0,-140029.0,0.0,0.0,-172633.0,0.0,0.0,-172633.0,0.0,-0.002881,-0.002881,62000937,62000937,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Independent+Oil+and+Gas+PLC,1620593691,16:54:51,20210509
