,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,JAG.TO,USD,2020-12-31,2020-12-31,FY,160247000.0,76443000.0,83804000.0,0.5229676686615038,0.0,6887000.0,0.0,-2609000.0,0.0,87343000.0,1043000.0,15156000.0,88060000.0,0.5495266682059571,72904000.0,0.4549476745274483,0.0,86816000.0,0.5417636523616667,14536000.0,72280000.0,0.45105368587243444,1.0,0.98,72311315.0,73421231.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620593852,16:57:32,20210509
1,2019-12-31,JAG.TO,USD,2019-12-31,2019-12-31,FY,97234000.0,75054000.0,22180000.0,0.2281095090194788,0.0,12236000.0,0.0,-1861000.0,15794000.0,90848000.0,3469000.0,14571000.0,20957000.0,0.21553160417138037,6386000.0,0.06567661517576157,0.0,723000.0,0.007435670650184092,871000.0,-148000.0,-0.0015221013225826356,-0.002805,-0.002805,52764704.0,52764704.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620593852,16:57:32,20210509
2,2018-12-31,JAG.TO,USD,2018-12-31,2018-12-31,FY,94918000.0,74714000.0,20204000.0,0.21285741376767314,0.0,11194000.0,0.0,-687000.0,21272000.0,95986000.0,3690000.0,19358000.0,18290000.0,0.19269263996291536,-1068000.0,-0.01125181735814071,0.0,-15926000.0,-0.1677869318780421,42000.0,-15968000.0,-0.16822941907751954,-0.5,-0.5,32600638.0,32600638.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620593852,16:57:32,20210509
3,2017-12-31,JAG.TO,USD,2017-12-31,2017-12-31,FY,105231000.0,92720000.0,12511000.0,0.11889082114586005,0.0,13797000.0,0.0,58000.0,19332000.0,112052000.0,5593000.0,22811000.0,15990000.0,0.15195142115916413,-6821000.0,-0.06481930229685169,0.0,-1533000.0,-0.014567950508880463,1297000.0,-2830000.0,-0.02689321587745056,-0.08929264731212251,-0.0873543254728948,31693539.0,32396793.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620593852,16:57:32,20210509
4,2016-12-31,JAG.TO,USD,2016-12-31,2016-12-31,FY,120539000.0,107982000.0,12557000.0,0.10417375289325446,0.0,2502000.0,0.0,-77977000.0,6561000.0,114543000.0,5310000.0,36621000.0,42617000.0,0.35355362164942467,5996000.0,0.04974323662880893,0.0,-80602000.0,-0.6686798463567808,2193000.0,-82795000.0,-0.686873128199172,-5.0,-5.0,16460148.0,16460148.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620593852,16:57:32,20210509
5,2015-12-31,JAG.TO,USD,2015-12-31,2015-12-31,FY,106513000.0,84031000.0,22482000.0,0.21107282679109593,0.0,21796000.0,0.0,-4695000.0,25906000.0,109937000.0,4077000.0,16596000.0,13172000.0,0.12366565583543793,-3424000.0,-0.032146310778965945,0.0,-13519000.0,-0.12692347412991842,-2307000.0,-11212000.0,-0.10526414616056257,-1.0,-1.0,11112569.0,11112569.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620593852,16:57:32,20210509
6,2014-12-31,JAG.TO,USD,2014-12-31,2014-12-31,FY,116362000.0,122294000.0,-5932000.0,-0.05097884188996408,0.0,9624000.0,0.0,7084000.0,20788000.0,143082000.0,12479000.0,31583000.0,4863000.0,0.041791993949914924,-26720000.0,-0.22962822914697237,0.0,133591000.0,1.1480638008972002,2728000.0,130863000.0,1.1246197212148297,16.9,16.4,7732334.0,7999796.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620593852,16:57:32,20210509
7,2013-12-31,JAG.TO,USD,2013-12-31,2013-12-31,FY,134140000.0,123436000.0,10704000.0,0.07979722677799314,0.0,16652000.0,0.0,2106000.0,54996000.0,178432000.0,54851000.0,33188000.0,-11104000.0,-0.08277918592515282,-44292000.0,-0.3301923363649918,0.0,-249656000.0,-1.8611599821082452,-349000.0,-249307000.0,-1.8585582227523483,-2514.038877,-2514.038877,99215.0,99215.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620593852,16:57:32,20210509
8,2012-12-31,JAG.TO,USD,2012-12-31,2012-12-31,FY,172430000.0,168155000.0,4275000.0,0.02479266948906803,0.0,18916000.0,0.0,-4749000.0,24997000.0,193152000.0,28511000.0,40061000.0,19339000.0,0.11215565736820739,-20722000.0,-0.12017630342747782,0.0,-86305000.0,-0.500521950936612,-1768000.0,-84537000.0,-0.4902685147596126,-863.930886,-863.930886,97704.0,97704.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620593852,16:57:32,20210509
9,2011-12-31,JAG.TO,USD,2011-12-31,2011-12-31,FY,243137000.0,199785000.0,43352000.0,0.17830276757548214,1953000.0,25506000.0,0.0,0.0,37290000.0,237075000.0,27001000.0,1249000.0,7311000.0,0.030069467008312187,6062000.0,0.024932445493692855,0.0,-53730000.0,-0.22098652200199886,11893000.0,-65623000.0,-0.26990133134816996,-673.866091,-673.866091,97677.0,97677.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Jaguar Mining Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620593852,16:57:32,20210509
