,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,KTKBANK.NS,INR,2020-03-31,2020-03-31,FY,34290636000,0.0,0.0,0.0,0.0,389484000,58448000,0.0,17981212000,0.0,44444124000,637649000,0.0,0.0,0.0,0.152232609508905,0.0,5220153000,0.152232609508905,902500000.0,4317765000,0.12591673715238177,13.889344824244628,13.88700778519789,310868875,310921191,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620594267,17:04:27,20210509
1,2019-03-31,KTKBANK.NS,INR,2019-03-31,2019-03-31,FY,28784993000,0.0,0.0,0.0,0.0,439905000,58744000,0.0,15075414000,0.0,40008359000,541367000,0.0,0.0,0.0,0.16579493349190672,0.0,4772406000,0.16579493349190672,0.0,4772398000,0.16579465556931003,15.354545,15.354545,310867967,310867967,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620594267,17:04:27,20210509
2,2018-03-31,KTKBANK.NS,INR,2018-03-31,2018-03-31,FY,27145122000,0.0,0.0,0.0,0.0,394050000,68127000,0.0,13237050000,0.0,35660975000,500552000,0.0,0.0,0.0,0.11426067637493027,0.0,3101620000,0.11426067637493027,-154500000.0,3256120000,0.11995230671647009,10.472727,10.472727,310867967,310867967,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620594267,17:04:27,20210509
3,2017-03-31,KTKBANK.NS,INR,2017-03-31,2017-03-31,FY,22962985000,0.0,0.0,0.0,0.0,367455000,63570000,0.0,12990813000,0.0,36947773000,497510000,0.0,0.0,0.0,0.2037846995937157,0.0,4679505000,0.2037846995937157,156900000.0,4522605000,0.1969519642154537,17.618046007528896,17.618034683251842,256702985,256703150,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620594267,17:04:27,20210509
4,2016-03-31,KTKBANK.NS,INR,2016-03-31,2016-03-31,FY,18334656000,0.0,0.0,0.0,0.0,347699000,80448000,0.0,10149410000,0.0,36893377000,422338000,0.0,0.0,0.0,0.2879799326477682,0.0,5280013000,0.2879799326477682,1127100000.0,4152913000,0.22650618588098953,16.316536,16.309133,254562039,254592687,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620594267,17:04:27,20210509
5,2015-03-31,KTKBANK.NS,INR,2015-03-31,2015-03-31,FY,17355730000,0.0,0.0,0.0,0.0,249237000,79117000,0.0,9528117000,0.0,35295725000,-141709000,0.0,0.0,0.0,0.32231441719823944,0.0,5594002000,0.32231441719823944,1079500000.0,4514502000,0.2601159386554181,17.73794,17.730537,254530416,254660387,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620594267,17:04:27,20210509
6,2014-03-31,KTKBANK.NS,INR,2014-03-31,2014-03-31,FY,15329307000,0.0,0.0,0.0,0.0,221469000,62815000,0.0,9154646000,0.0,31327610000,255290000,0.0,0.0,0.0,0.26658367530900123,0.0,4086543000,0.26658367530900123,976200000.0,3110343000,0.2029017358710345,12.222596,12.215193,254467401,254639469,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620594267,17:04:27,20210509
7,2013-03-31,KTKBANK.NS,INR,2013-03-31,2013-03-31,FY,13345035000,0.0,0.0,0.0,0.0,178515000,55418000,0.0,6963010000,0.0,28605563000,240298000,0.0,0.0,0.0,0.34783130954695884,0.0,4641821000,0.34783130954695884,1161000000.0,3480821000,0.2608326617352446,13.681016,13.666209,254363229,254679676,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620594267,17:04:27,20210509
8,2012-03-31,KTKBANK.NS,INR,2012-03-31,2012-03-31,FY,10754462000,0.0,0.0,0.0,0.0,114989000,54563000,0.0,5681856000,0.0,23688742000,219090000,0.0,0.0,0.0,0.22880754053526806,0.0,2460702000,0.22880754053526806,0.0,2460702000,0.22880754053526806,7.882258,7.876227,312182373,312421402,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620594267,17:04:27,20210509
9,2011-03-31,KTKBANK.NS,INR,2011-03-31,2011-03-31,FY,9035208000,0.0,0.0,0.0,0.0,102600000,29050000,0.0,5489524000,0.0,17583628000,229885000,0.0,0.0,0.0,0.2264599774570768,0.0,2046113000,0.2264599774570768,0.0,2046113000,0.2264599774570768,11.274993,11.252783,181471446,181889399,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620594267,17:04:27,20210509
