,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,MAIL.L,RUB,2020-12-31,2020-12-31,FY,100542000000.0,27800000000.0,72742000000.0,0.7234986373853712,0.0,973000000.0,19994000000.0,-490000000.0,0.0,96401000000.0,2811000000.0,15138000000.0,19279000000.0,0.1917507111455909,4141000000.0,0.04118676771896322,0.0,-19393000000.0,-0.1928845656541545,1833000000.0,-20921000000.0,-0.20808219450577867,-96.54612413205746,-96.54612413205746,216694354,216694354,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
1,2019-12-31,MAIL.L,RUB,2019-12-31,2019-12-31,FY,96231000000.0,22182000000.0,74049000000.0,0.7694921594912243,0.0,785000000.0,16422000000.0,-182000000.0,58625000000.0,80807000000.0,1459000000.0,12771000000.0,28195000000.0,0.29299290249503795,15424000000.0,0.16028099053319617,0.0,22279000000.0,0.2315158316966466,3428000000.0,18686000000.0,0.19417859109850255,86.0,85.0,216694354,219161315,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
2,2018-12-31,MAIL.L,RUB,2018-12-31,2018-12-31,FY,66105000000.0,24664000000.0,41441000000.0,0.6268966038877544,0.0,587000000.0,15583000000.0,-12000000.0,47582000000.0,72246000000.0,17000000.0,9665000000.0,3524000000.0,0.053309129415324105,-6141000000.0,-0.09289766280916724,0.0,-7517000000.0,-0.1137130322971031,546000000.0,-7991000000.0,-0.12088344300733682,-37.0,-37.0,215972972,215972972,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
3,2017-12-31,MAIL.L,RUB,2017-12-31,2017-12-31,FY,51744000000.0,14943000000.0,36801000000.0,0.7112128942486086,0.0,347000000.0,8637000000.0,-21000000.0,32732000000.0,47675000000.0,15000000.0,8931000000.0,13000000000.0,0.25123685837971554,4069000000.0,0.07863713667285095,0.0,4956000000.0,0.09577922077922078,2675000000.0,2261000000.0,0.04369588744588745,10.7,10.5,211308411,215333333,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
4,2016-12-31,MAIL.L,RUB,2016-12-31,2016-12-31,FY,39965000000.0,12585000000.0,27380000000.0,0.6850994620292756,0.0,493000000.0,2429000000.0,39000000.0,21027000000.0,33612000000.0,732000000.0,7754000000.0,14107000000.0,0.3529838608782685,6353000000.0,0.15896409358188415,0.0,12669000000.0,0.31700237707994494,838000000.0,11813000000.0,0.2955836356812211,56.7,54.4,208498446,211467139,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
5,2015-12-31,MAIL.L,RUB,2015-12-31,2015-12-31,FY,37903000000.0,13259000000.0,24644000000.0,0.6501860011080917,0.0,454000000.0,1338000000.0,-11000000.0,17351000000.0,30610000000.0,2326000000.0,7165000000.0,14458000000.0,0.3814473788354484,7293000000.0,0.1924122101152943,0.0,4723000000.0,0.12460755085349445,1736000000.0,2937000000.0,0.07748727013692848,14.1,14.1,212127660,212127660,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
6,2014-12-31,MAIL.L,RUB,2014-12-31,2014-12-31,FY,32159000000.0,7328000000.0,24831000000.0,0.7721322180416058,0.0,369000000.0,1188000000.0,9000000.0,12114000000.0,19442000000.0,767000000.0,3856000000.0,16573000000.0,0.5153456264187319,12717000000.0,0.3954414005410616,0.0,64716000000.0,2.012376006716627,2322000000.0,62353000000.0,1.9388973537734382,299.4,294.2,208259629,210121885,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
7,2013-12-31,MAIL.L,RUB,2013-12-31,2013-12-31,FY,26907000000.0,8055000000.0,18852000000.0,0.7006355223547776,0.0,257000000.0,894000000.0,-26000000.0,8894000000.0,16949000000.0,0.0,2722000000.0,12680000000.0,0.4712528338350615,9958000000.0,0.37008956777046864,0.0,29778000000.0,1.1067008585126548,3189000000.0,26564000000.0,0.9872523878544617,127.3,126.4,208684921,210078781,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
8,2012-12-31,MAIL.L,RUB,2012-12-31,2012-12-31,FY,20793000000.0,7356000000.0,13437000000.0,0.6462270956571923,0.0,244000000.0,751000000.0,-7000000.0,7236000000.0,14592000000.0,0.0,2703000000.0,8904000000.0,0.4282210359255519,6201000000.0,0.29822536430529506,0.0,41289000000.0,1.9857163468474968,3013000000.0,38257000000.0,1.8398980426104938,183.6,183.2,208399372,208800145,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
9,2011-12-31,MAIL.L,RUB,2011-12-31,2011-12-31,FY,16184095216.94,4009372705.38,12174722511.56,0.7522646368773607,168868558.46,0.0,664662039.72,0.0,8238124189.68,12247496895.06,0.0,2901410706.74,6838009028.62,0.4225141373033081,3936598321.88,0.2432387025108167,0.0,2646940280.04,0.16355194680697566,1650203130.38,963180961.4,0.05951404440526475,4.478424,4.478424,208606000,208606000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
10,2010-12-31,MAIL.L,RUB,2010-12-31,2010-12-31,FY,8421720662.4,2033741563.2,6387979099.2,0.7585123462619776,71795668.8,0.0,539522884.8,0.0,8906211417.6,10939952980.8,0.0,1757846745.6,-760385572.8000002,-0.09028862429442151,-2518232318.4,-0.29901636724226865,0.0,5533283323.2,0.6570252736954516,724441852.8,4702111564.8,0.5583314566337094,30.284496,29.366784,155430000,160912000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
11,2009-12-31,MAIL.L,RUB,2009-12-31,2009-12-31,FY,4469369175.6,998613939.9,3470755235.7,0.7765649019660723,55717950.9,0.0,294801900.3,0.0,3803676772.5,4802290712.4,0.0,902486160.9,569564624.0999999,0.12743736346719164,-332921536.8,-0.07448960327948434,0.0,5515112847.9,1.2339801504894952,521892477.9,5082085830.9,1.137092424283287,43.393104,42.790422,177517000,178024000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Mail.ru+Group+Ltd,1620594731,17:12:11,20210509
