,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2015-02-28,SHY,USD,2015-02-28,2015-02-28,FY,45713200.0,12739380.0,32973820.0,0.7213194438367911,0.0,0.0,0.0,0.0,0.0,12739380.0,10419120.0,0.0,53812060,1.177167,32973820.0,0.7213194438367911,0.0,43392940.0,0.9492431070237918,0.0,43392940.0,0.9492431070237918,0.47013,0.47013,92300000,92300000,,,1620597897,18:04:57,20210509
1,2013-02-28,SHY,USD,2013-02-28,2013-02-28,FY,45708820.0,13878260.0,31830560.0,0.6963767605464328,0.0,0.0,0.0,0.0,0.0,13878260.0,8063040.0,0.0,47956640,1.049177,31830560.0,0.6963767605464328,0.0,39893600.0,0.8727768513822934,0.0,39893600.0,0.8727768513822934,0.4518,0.4518,88300000,88300000,,,1620597897,18:04:57,20210509
2,2012-02-29,SHY,USD,2012-02-29,2012-02-29,FY,79598010.0,13763270.0,65834740.0,0.8270902752468309,0.0,0.0,0.0,0.0,0.0,13763270.0,42230350.0,0.0,150295440,1.888181,65834740.0,0.8270902752468309,0.0,108065090.0,1.3576355740551804,0.0,108065090.0,1.3576355740551804,0.8563,0.8563,126200000,126200000,,,1620597897,18:04:57,20210509
3,2011-02-28,SHY,USD,2011-02-28,2011-02-28,FY,96226920.0,12503590.0,83723330.0,0.8700614131679576,0.0,0.0,0.0,0.0,0.0,12503590.0,30736570.0,0.0,145196480,1.508897,83723330.0,0.8700614131679576,0.0,114459910.0,1.18947909794889,0.0,114459910.0,1.18947909794889,1.20866,1.20866,94700000,94700000,,,1620597897,18:04:57,20210509
4,2010-02-28,SHY,USD,2010-02-28,2010-02-28,FY,120405530.0,11077590.0,109327940.0,0.9079976642268839,0.0,0.0,0.0,0.0,0.0,11077590.0,31644000.0,0.0,172615940,1.433621,109327940.0,0.9079976642268839,0.0,140971940.0,1.1708095134833092,0.0,140971940.0,1.1708095134833092,1.41254,1.41254,99800000,99800000,,,1620597897,18:04:57,20210509
5,2009-02-28,SHY,USD,2009-02-28,2009-02-28,FY,274200000.0,12900000.0,261300000.0,0.9529540481400438,0.0,0.0,0.0,0.0,0.0,12900000.0,13400000.0,0.0,288100000,1.050693,261300000.0,0.9529540481400438,0.0,274700000.0,1.0018234865062,0.0,274700000.0,1.0018234865062,3.15023,3.15023,87200000,87200000,,,1620597897,18:04:57,20210509
6,2008-02-29,SHY,USD,2008-02-29,2008-02-29,FY,350900000.0,11500000.0,338900000.0,0.9658022228555144,0.0,0.0,0.0,0.0,0.0,11500000.0,398500000.0,0.0,1136400000,3.238529,339400000.0,0.9672271302365346,0.0,737900000.0,2.102878312909661,0.0,737900000.0,2.102878312909661,6.26933,6.26933,117700000,117700000,,,1620597897,18:04:57,20210509
7,2007-02-28,SHY,USD,2007-02-28,2007-02-28,FY,220100000.0,7500000.0,212700000.0,0.9663789186733303,0.0,0.0,0.0,0.0,0.0,7500000.0,21700000.0,0.0,256100000,1.163562,212700000.0,0.9663789186733303,0.0,234400000.0,1.064970467969105,0.0,234400000.0,1.064970467969105,3.40203,3.40203,68900000,68900000,,,1620597897,18:04:57,20210509
8,2006-02-28,SHY,USD,2006-02-28,2006-02-28,FY,141300000.0,6000000.0,135200000.0,0.9568294409058741,0.0,200000.0,0.0,0.0,200000.00000000017,6200000.0,-55100000.0,0.0,24900000,0.176221,135100000.0,0.9561217268223637,0.0,80000000.0,0.5661712668082095,0.0,80000000.0,0.5661712668082095,1.69851,1.69851,47100000,47100000,,,1620597897,18:04:57,20210509
9,2005-02-28,SHY,USD,2005-02-28,2005-02-28,FY,44700000.0,3000000.0,41800000.0,0.9351230425055929,0.0,0.0,0.0,0.0,0.0,3000000.0,-48400000.0,0.0,-55000000,-1.230425,41800000.0,0.9351230425055929,0.0,-6600000.0,-0.1476510067114094,0.0,-6600000.0,-0.1476510067114094,-0.19585,-0.19585,33700000,33700000,,,1620597897,18:04:57,20210509
10,2004-02-29,SHY,USD,2004-02-29,2004-02-29,FY,18600000.0,1600000.0,17100000.0,0.9193548387096774,0.0,0.0,0.0,0.0,0.0,1600000.0,6400000.0,0.0,29900000,1.607527,17100000.0,0.9193548387096774,0.0,23500000.0,1.2634408602150538,0.0,23500000.0,1.2634408602150538,1.25668,1.25668,18700000,18700000,,,1620597897,18:04:57,20210509
11,2003-02-28,SHY,USD,2003-02-28,2003-02-28,FY,9300000.0,700000.0,8600000.0,0.9247311827956989,0.0,0.0,0.0,0.0,0.0,700000.0,9300000.0,0.0,27200000,2.924731,8600000.0,0.9247311827956989,0.0,17900000.0,1.924731182795699,0.0,17900000.0,1.924731182795699,1.59821,1.59821,11200000,11200000,,,1620597897,18:04:57,20210509
