,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,SUNFLAG.NS,INR,2020-03-31,2020-03-31,FY,17543000000,13914900000,3628100000,0.2068118337798552,0.0,248600000.0,47800000.0,5100000.0,2363900000,16278800000,302500000.0,462000000,1726200000,0.09839822151285413,1264200000,0.07206293108362309,0.0,938400000,0.0534914210796329,17700000.0,920500000,0.05247107108248304,5.11,5.11,180219448,180219448,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
1,2019-03-31,SUNFLAG.NS,INR,2019-03-31,2019-03-31,FY,22285800000,17296400000,4989400000,0.2238824722469016,0.0,203200000.0,26900000.0,6900000.0,2967500000,20263900000,269700000.0,378700000,2400600000,0.10771881646609051,2021900000,0.09072593310538549,0.0,1723400000,0.07733175385222878,617200000.0,1102500000,0.04947096357321703,6.117542,6.117542,180219448,180219448,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
2,2018-03-31,SUNFLAG.NS,INR,2018-03-31,2018-03-31,FY,20735100000,15460800000,5274300000,0.25436578555203493,0.0,227400000.0,27900000.0,79800000.0,3213500000,18674300000,299200000.0,341300000,2402100000,0.11584704197230783,2060800000,0.09938702972254776,0.0,1852800000,0.08935573013875024,554900000.0,1297100000,0.0625557629333835,7.197336,7.197336,180219448,180219448,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
3,2017-03-31,SUNFLAG.NS,INR,2017-03-31,2017-03-31,FY,15096600000,11814500000,3282100000,0.21740656836638714,0.0,71700000.0,33000000.0,0.0,2116000000,13930500000,291900000.0,332000000,1498100000,0.09923426466886584,1166100000,0.07724255792695044,0.0,849700000,0.056284196441582876,197500000.0,652300000,0.04320840454141992,3.619867,3.619867,180200000,180200000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
4,2016-03-31,SUNFLAG.NS,INR,2016-03-31,2016-03-31,FY,16614300000,12811000000,3803300000,0.22891725802471366,0.0,177000000.0,37000000.0,14900000.0,2424800000,15235800000,437000000.0,517900000,1896400000,0.1141426361628236,1378500000,0.08297069392029757,0.0,833000000,0.0501375321259397,277200000.0,555800000,0.03345310967058498,3.08,3.08,180219448,180219448,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
5,2015-03-31,SUNFLAG.NS,INR,2015-03-31,2015-03-31,FY,17565900000,14321800000,3244100000,0.1846816843998884,0.0,0.0,0.0,11700000.0,2062600000,16384400000,566800000.0,511300000,1692800000,0.09636853221298083,1181500000,0.06726100000569285,0.0,518300000,0.029506031572535424,274200000.0,244100000,0.013896242150985717,1.42,1.42,172171292,172171292,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
6,2014-03-31,SUNFLAG.NS,INR,2014-03-31,2014-03-31,FY,15854200000,12955900000,2898300000,0.18280960250280684,0.0,0.0,0.0,14300000.0,1985200000,14941100000,0.0,611800000,1524900000,0.09618271499034955,913100000,0.05759357141956075,0.0,183200000,0.011555297649834113,-33600000.0,216800000,0.01367460988255478,1.34,1.34,162197503,162197503,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
7,2013-03-31,SUNFLAG.NS,INR,2013-03-31,2013-03-31,FY,15693100000,13075000000,2618100000,0.16683128253818558,0.0,0.0,0.0,31200000.0,1998000000,15073000000,0.0,564500000,1184600000,0.07548540441340462,620100000,0.03951418139182188,0.0,-125000000,-0.007965284105753484,0.0,-125000000,-0.007965284105753484,-0.77,-0.77,162197503,162197503,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
8,2012-03-31,SUNFLAG.NS,INR,2012-03-31,2012-03-31,FY,16181800000,13635600000,2546200000,0.15734961499956743,0.0,0.0,0.0,0.0,1714600000,15350200000,530500000.0,424400000,1256000000,0.07761806473939858,831600000,0.05139106897872919,0.0,301100000,0.018607324277892447,107800000.0,193300000,0.011945519039909034,1.19,1.19,162197503,162197503,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
9,2011-03-31,SUNFLAG.NS,INR,2011-03-31,2011-03-31,FY,15440700000,12494500000,2946200000,0.19080741158108117,0.0,0.0,492700000.0,0.0,1663600000,14158100000,374400000.0,396400000,1679000000,0.1087385934575505,1282600000,0.0830661822326708,0.0,908200000,0.05881857687799128,202900000.0,705300000,0.04567798092055412,4.35,4.35,162197503,162197503,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
10,2010-03-31,SUNFLAG.NS,INR,2010-03-31,2010-03-31,FY,13496300000,10422300000,3074000000,0.22776612849447628,0.0,0.0,440500000.0,0.0,1492600000,11914900000,300400000.0,378800000,1960200000,0.1452398064654757,1581400000,0.11717285478242184,0.0,1281000000,0.09491490260293561,331900000.0,949100000,0.0703229774086231,5.85,5.85,162197503,162197503,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
11,2009-03-31,SUNFLAG.NS,INR,2009-03-31,2009-03-31,FY,11024738000,9002453000,2022285000,0.18343156998379462,0.0,0.0,287459000.0,0.0,1139077000,10141530000,304392000.0,309374000,1192582000,0.10817327359616165,883208000,0.08011147294384682,0.0,578816000,0.05250156511655878,142847000.0,435969000,0.03954461321439113,2.6879,2.6879,162197503,162197503,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
12,2008-03-31,SUNFLAG.NS,INR,2008-03-31,2008-03-31,FY,9940616000,8106791000,1833825000,0.18447800418002264,0.0,0.0,188124000.0,0.0,1091549000,9198340000,206740000.0,384183000,1126459000,0.11331883255524608,742276000,0.07467102642331219,0.0,535536000,0.05387352252616941,99358000.0,436178000,0.04387836729635266,2.69,2.69,162197503,162197503,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
13,2007-03-31,SUNFLAG.NS,INR,2007-03-31,2007-03-31,FY,8325096000,6668778000,1656318000,0.19895482286330393,0.0,0.0,269547000.0,0.0,1048609000,7717387000,119543000.0,400682000,1008391000,0.1211266512722496,607709000,0.07299723630814588,0.0,488366000,0.05866190612096245,117847000.0,370519000,0.04450627356128986,2.28,2.28,162197503,162197503,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620598440,18:14:00,20210509
