,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,TRMR.L,USD,2020-12-31,2020-12-31,FY,211920000,59807000,152113000.0,0.7177850132125331,33086000.0,6034000.0,87783000.0,-765000.0,0.0,216656000,1862000.0,6343000.0,1607000.0,0.007583050207625519,-4736000.0,-0.022348055870139674,0.0,-7442000.0,-0.035117025292563234,-9581000.0,2139000.0,0.010093431483578708,0.019230117611453254,0.019230117611453254,111231769,111231769,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,1620599026,18:23:46,20210509
1,2019-12-31,TRMR.L,USD,2019-12-31,2019-12-31,FY,325760000,187246000,138514000.0,0.42520260314341846,33042000.0,2285000.0,62025000.0,700000.0,132471000.0,319717000,1088000.0,5811000.0,11854000.0,0.036388752455795675,6043000.0,0.018550466601178782,0.0,3588000.0,0.011014243614931238,-2636000.0,6224000.0,0.019106090373280944,0.056,0.0542,111231769,114807883,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,1620599026,18:23:46,20210509
2,2018-12-31,TRMR.L,USD,2018-12-31,2018-12-31,FY,276872000,165440000,111432000.0,0.40246756623999536,20187000.0,2273000.0,44702000.0,0.0,84559000.0,249999000,778000.0,555000.0,27428000.0,0.09906382732815164,26873000.0,0.09705929093588372,0.0,27169000.0,0.09812837701175994,5015000.0,22154000.0,0.08001531393568147,0.3281,0.3179,67520554,69696983,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,1620599026,18:23:46,20210509
3,2017-12-31,TRMR.L,USD,2017-12-31,2017-12-31,FY,210925000,130350000,80575000.0,0.3820078226857888,16995000.0,3217000.0,31460000.0,0.0,60746000.0,191096000,564000.0,13499000.0,33328000.0,0.15800877089012683,19829000.0,0.09400971909446486,0.0,17320000.0,0.0821144956738177,3561000.0,13759000.0,0.06523171743510726,0.2249,0.2161,61187918,63660265,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,1620599026,18:23:46,20210509
4,2016-12-31,TRMR.L,USD,2016-12-31,2016-12-31,FY,125861000,79880000,45981000.0,0.36533159596697945,6127000.0,2028000.0,14202000.0,0.0,26248000.0,106128000,504000.0,5098000.0,24831000.0,0.19728907286609831,19733000.0,0.15678407131677008,0.0,19584000.0,0.15560022564575207,3115000.0,16469000.0,0.13085070037581142,0.2627,0.2592,62682253,63538772,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,1620599026,18:23:46,20210509
5,2015-12-31,TRMR.L,USD,2015-12-31,2015-12-31,FY,75829000,54716000,21113000.0,0.2784290970473038,4092000.0,1538000.0,8634000.0,0.0,18044000.0,72760000,207000.0,374000.0,3443000.0,0.04540479236176133,3069000.0,0.04047264239275211,0.0,2791000.0,0.03680649883290034,642000.0,2149000.0,0.02834008097165992,0.03256536800555487,0.032559762960077294,65990349,66001709,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,1620599026,18:23:46,20210509
6,2014-12-31,TRMR.L,USD,2014-12-31,2014-12-31,FY,63121000,44087000,19034000.0,0.30154782085201437,1557000.0,741000.0,5230000.0,0.0,10469000.0,54556000,410000.0,886000.0,9451000.0,0.14972829961502512,8565000.0,0.13569176660699292,0.0,8226000.0,0.13032112925967587,2127000.0,6099000.0,0.09662394448757149,0.106,0.102,57700506,59699044,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,1620599026,18:23:46,20210509
7,2013-12-31,TRMR.L,USD,2013-12-31,2013-12-31,FY,43315000,29189000,14126000.0,0.3261225903266767,795000.0,597000.0,3149000.0,0.0,5697000.0,34886000,44000.0,292000.0,8721000.0,0.201339028050329,8429000.0,0.19459771441763823,0.0,8533000.0,0.19699873023202125,1431000.0,7102000.0,0.16396167609373197,0.114708,0.114708,61913744,61913744,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,1620599026,18:23:46,20210509
8,2012-12-31,TRMR.L,USD,2012-12-31,2012-12-31,FY,25311000,18224000,7087000.0,0.2799968393188732,376000.0,315000.0,1880000.0,0.0,3295000.0,21519000,30000.0,96000.0,3888000.0,0.15360910276164513,3792000.0,0.14981628540950576,0.0,3955000.0,0.15625617320532575,719000.0,3236000.0,0.12784955157836514,0.052266,0.052266,61913744,61913744,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,1620599026,18:23:46,20210509
9,2011-12-31,TRMR.L,USD,2011-12-31,2011-12-31,FY,20341000,13648000,6693000.0,0.32903987021287057,286000.0,396000.0,1608000.0,0.0,2871000.0,16519000,159000.0,48000.0,3870000.0,0.1902561329334841,3822000.0,0.18789636694361142,0.0,3687000.0,0.18125952509709453,863000.0,2824000.0,0.13883289907084215,0.045612,0.045612,61913744,61913744,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Tremor+International+Ltd,1620599026,18:23:46,20210509
