,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,TRQ,USD,2020-12-31,2020-12-31,FY,1078192000.0,669394000.0,408798000.0,0.37915139418582217,0.0,155491000,11147000.0,0.0,238291000,907685000.0,2313000.0,5236000.0,175743000,0.16299787050914866,170507000,0.15814159259204297,2703000.0,188246000.0,0.1745941353673557,-306396000.0,406288000,0.3768234229153991,0.20190089618220616,0.20190089618220616,2012314000,2012314000,,,1620599042,18:24:02,20210509
1,2019-12-31,TRQ,USD,2020-03-23 00:00:00,2020-03-23 06:28:28,FY,1166014000.0,807033000.0,358981000.0,0.3078702314037396,0.0,172623000,0.0,-421000.0,249744000,1582113000.0,101675000.0,192052000.0,-224047000,-0.19214777867161115,-416099000,-0.35685592111243947,-5361000.0,-319785000.0,-0.27425485457292964,157133000.0,-150457000,-0.12903532890685704,-0.07477,-0.07477,2012314000,2012314000,https://www.sec.gov/Archives/edgar/data/1158041/000119312520081339/0001193125-20-081339-index.html,https://www.sec.gov/Archives/edgar/data/1158041/000119312520081339/d845023d40f.htm,1620599042,18:24:02,20210509
2,2018-12-31,TRQ,USD,2019-03-14 00:00:00,2019-03-14 17:20:54,FY,1180022000.0,848030000.0,331992000.0,0.28134390714749385,0.0,168296000,0.0,-3746000.0,242112000,1028570999.9999999,107254000.0,211201000.0,362652000,0.3073264735742215,151451000,0.1283459121948574,-5075000.0,253630000.0,0.2149366706722417,-140644000.0,411198000,0.34846638452503426,0.20434,0.20434,2012314000,2012314000,https://www.sec.gov/Archives/edgar/data/1158041/000119312519075003/0001193125-19-075003-index.html,https://www.sec.gov/Archives/edgar/data/1158041/000119312519075003/d656296d40f.htm,1620599042,18:24:02,20210509
3,2017-12-31,TRQ,USD,2018-03-15 00:00:00,2018-03-15 17:09:55,FY,939780000.0,820880000.0,118900000.0,0.1265189725254847,0.0,166765000,0.0,1522000.0,233681000,985793000.0,7780000.0,307604000.0,261591000,0.27835344442316284,-46013000,-0.048961459064887525,-4852000.0,-43085000.0,-0.045845836259550105,-154013000.0,181247000,0.19286109514992872,0.09007,0.09007,2012314000,2012314000,https://www.sec.gov/Archives/edgar/data/1158041/000119312518084208/0001193125-18-084208-index.html,https://www.sec.gov/Archives/edgar/data/1158041/000119312518084208/d495484d40f.htm,1620599042,18:24:02,20210509
4,2016-12-31,TRQ,USD,2017-03-27 00:00:00,2017-03-27 17:20:38,FY,1203282000.0,929899000.0,273383000.0,0.22719778073635274,0.0,218873000,0.0,12198000.0,322769000,1182317000.0,-20554000.0,365344000.0,386309000,0.32104610556793833,20965000,0.017423180933480265,-4080000.0,-3669000.0,-0.0030491605459069446,-110291000.0,210605000,0.17502547200074464,0.10466,0.10466,2012314000,2012314000,https://www.sec.gov/Archives/edgar/data/1158041/000119312517097832/0001193125-17-097832-index.html,https://www.sec.gov/Archives/edgar/data/1158041/000119312517097832/d512322d40f.htm,1620599042,18:24:02,20210509
5,2015-12-31,TRQ,USD,2016-03-17 00:00:00,2016-03-17 17:09:22,FY,1634762000.0,1095751000.0,539011000.0,0.3297183320874843,0.0,209190000,0.0,25887000.0,474546000,1490852000.0,-1452000.0,356243000.0,500153000,0.3059485111594226,143910000,0.08803116294604352,-3738000.0,138720000.0,0.0848563888810726,-166086000.0,313303000,0.1916505277220782,0.15569,0.15569,2012306000,2012306000,https://www.sec.gov/Archives/edgar/data/1158041/000119312516508742/0001193125-16-508742-index.html,https://www.sec.gov/Archives/edgar/data/1158041/000119312516508742/d152035d40f.htm,1620599042,18:24:02,20210509
6,2014-12-31,TRQ,USD,2015-03-24,2015-03-24,FY,1735646000.0,1326625000.0,409021000.0,0.2356592300503674,0.0,254002000,0.0,20706000.0,291950000,1621305000.0,7729000.0,393296000.0,507637000,0.2924772678299607,114341000,0.065878064997125,-5886000.0,108280000.0,0.062385993457191154,51001000.0,26929000,0.015515260600375884,0.01363,0.01363,1976438000,1976438000,https://www.sec.gov/Archives/edgar/data/1158041/000119312515103329/d842863dex992.htm,https://www.sec.gov/Archives/edgar/data/1158041/000119312515103329/d842863dex992.htm,1620599042,18:24:02,20210509
7,2013-12-31,TRQ,USD,2014-03-26,2014-03-26,FY,110200000.0,178200000.0,-68000000.0,-0.617059891107078,27500000.0,326400000,0.0,34400000.0,331011000,647600000.0,62383000.0,61600000.0,-475800000,-4.317604355716878,-537400000,-4.876588021778584,233400000.0,-264000000.0,-2.395644283121597,99900000.0,-112000000,-1.0163339382940109,-0.08631,-0.08631,1297700000,1297700000,https://www.sec.gov/Archives/edgar/data/1158041/000119312514115526/d660872dex992.htm,https://www.sec.gov/Archives/edgar/data/1158041/000119312514115526/d660872dex992.htm,1620599042,18:24:02,20210509
8,2012-12-31,TRQ,USD,2013-03-25 00:00:00,2013-03-25 17:24:11,FY,133800000.0,192800000.0,-59100000.0,-0.44170403587443946,169000000.0,293000000,0.0,42600000.0,491129000,750000000.0,11943000.0,56300000.0,-560000000,-4.185351270553064,-616300000,-4.606128550074739,0.0,-514200000.0,-3.8430493273542603,34300000.0,-434600000,-3.2481315396113604,-0.3916,-0.3916,1109800000,1109800000,https://www.sec.gov/Archives/edgar/data/1158041/000119312513124539/0001193125-13-124539-index.html,https://www.sec.gov/Archives/edgar/data/1158041/000119312513124539/d475411d40f.htm,1620599042,18:24:02,20210509
9,2011-12-31,TRQ,USD,2011-12-31,2011-12-31,FY,179000000.0,168200000.0,10800000.0,0.060335195530726256,282600000.0,100800000,0.0,5000000.0,390805000,585200000.0000001,-320300000.0,30600000.0,-375600000,-2.0983240223463686,-406200000,-2.2692737430167598,103000000.0,-623500000.0,-3.483240223463687,-700000.0,-570400000,-3.1865921787709497,-0.58563,-0.58563,974000000,974000000,,,1620599042,18:24:02,20210509
