,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,UEX.TO,CAD,2020-12-31,2020-12-31,FY,0.0,77696.0,-77696.0,0.0,0.0,1425646.0,0.0,0.0,0.0,3708239.0,25816.0,120961.0,-3544880.0,0.0,-3708239.0,0.0,-2505.0,-3694162.0,0.0,-63532.0,-3630630.0,0.0,-0.01,-0.01,405633883,405633883,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599230,18:27:10,20210509
1,2019-12-31,UEX.TO,CAD,2019-12-31,2019-12-31,FY,0.0,81347.0,-81347.0,0.0,11412.0,1677892.0,0.0,0.0,9411537.0,9492884.0,64211.0,151907.0,-9340977.0,0.0,-9492884.0,0.0,-11236.0,-9441356.0,0.0,-317622.0,-9123734.0,0.0,-0.02,-0.02,382543071,382543071,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599230,18:27:10,20210509
2,2018-12-31,UEX.TO,CAD,2018-12-31,2018-12-31,FY,133976.0,35121.0,98855.0,0.7378560339165223,0.0,1973992.0,0.0,0.0,6374708.0,6409829.0,7683.0,35121.0,-6374708.0,-47.58096972592106,-6409829.0,-47.843113692004536,-3796.0,-6287332.0,-46.928793216695524,-14871.0,-6272461.0,-46.81779572460739,-0.02,-0.02,354376221,354376221,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599230,18:27:10,20210509
3,2017-12-31,UEX.TO,CAD,2017-12-31,2017-12-31,FY,0.0,0.0,0.0,0.0,0.0,1762964.0,134855.0,0.0,6151100.0,6151100.0,4471.0,29197.0,-6121903.0,0.0,-6151100.0,0.0,-13391.0,-6102423.0,0.0,-236680.0,-5865743.0,0.0,-0.02,-0.02,315987328,315987328,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599230,18:27:10,20210509
4,2016-12-31,UEX.TO,CAD,2016-12-31,2016-12-31,FY,0.0,0.0,0.0,0.0,0.0,1442638.0,119925.0,0.0,6418625.0,6418625.0,4126.0,30109.0,-6388516.0,0.0,-6418625.0,0.0,15242.0,-6315670.0,0.0,-334572.0,-5981098.0,0.0,-0.021,-0.021,284020404,284020404,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599230,18:27:10,20210509
5,2015-12-31,UEX.TO,CAD,2015-12-31,2015-12-31,FY,0.0,0.0,0.0,0.0,0.0,2136707.0,223198.0,0.0,2379187.0,2379187.0,5308.0,19282.0,-2359905.0,0.0,-2379187.0,0.0,78697.0,-2305798.0,0.0,-157228.0,-2148570.0,0.0,-0.009,-0.009,242094261,242094261,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599230,18:27:10,20210509
6,2014-12-31,UEX.TO,CAD,2014-12-31,2014-12-31,FY,0.0,0.0,0.0,0.0,0.0,2231064.0,198872.0,0.0,2451212.0,2451212.0,4330.0,21276.0,-2429936.0,0.0,-2451212.0,0.0,-10429135.0,-12753278.0,0.0,-3296297.0,-9456981.0,0.0,-0.041,-0.041,229667184,229667184,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599230,18:27:10,20210509
7,2013-12-31,UEX.TO,CAD,2013-12-31,2013-12-31,FY,0.0,0.0,0.0,0.0,0.0,2102504.0,112089.0,0.0,2228182.0,2228182.0,4295.0,13589.0,-2214593.0,0.0,-2228182.0,0.0,-6303.0,-2036706.0,0.0,311296.0,-2348002.0,0.0,-0.01,-0.01,225142014,225142014,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599230,18:27:10,20210509
8,2012-12-31,UEX.TO,CAD,2012-12-31,2012-12-31,FY,0.0,0.0,0.0,0.0,0.0,2452741.0,165782.0,0.0,2633298.0,2633298.0,4270.0,14775.0,-2618523.0,0.0,-2633298.0,0.0,-1609741.0,-4025844.0,0.0,-114593.0,-3911251.0,0.0,-0.018,-0.018,217853362,217853362,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599230,18:27:10,20210509
9,2011-12-31,UEX.TO,CAD,2011-12-31,2011-12-31,FY,108911.0,0.0,108911.0,1.0,0.0,2808032.0,119776.0,0.0,2950249.0,2950249.0,3521.0,11548.0,-2829790.0,-25.982591290135982,-2841338.0,-26.08862282046809,-1883767.0,-4728626.0,-43.417340764477416,676591.0,-5405217.0,-49.62967009760263,-0.027,-0.027,203057364,203057364,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=UEX Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599230,18:27:10,20210509
