datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2018-03-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.07,25.120001,25.049999,25.103001,24.312202,25100.0,25100.0,-0.007,-0.004666666666666667,25.0681675
2018-04-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.059999,25.09,24.84,24.93,24.144657,136200.0,136200.0,-0.164,-0.03123809523809524,24.9946665
2018-05-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,24.863001,25.23,24.863001,25.219999,24.477556,140400.0,140400.0,0.22600000000000003,0.04100000000000001,25.06133380952381
2018-06-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.09,25.211,25.09,25.200001,24.50284,73800.0,73800.0,0.11200000000000002,0.02128571428571429,25.165269047619045
2018-07-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.16,25.35,25.16,25.271999,24.617779,246100.0,246100.0,-0.071,-0.013380952380952379,25.255158571428574
2018-08-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.23,25.33,25.190001,25.290001,24.670462,135500.0,135500.0,-0.12300000000000003,-0.02117391304347826,25.262834090909088
2018-09-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.209999,25.23,24.950001,25.028999,24.449688,263100.0,263100.0,-0.094,-0.019789473684210527,25.086244736842108
2018-10-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,24.98,25.01,24.84,24.9,24.360661,274400.0,274400.0,-0.25399999999999995,-0.04426086956521738,24.923076363636365
2018-11-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,24.855,25.18,24.83,25.18,24.675226,380800.0,380800.0,-0.020000000000000014,-0.0037619047619047645,24.971079047619046
2018-12-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.15,25.49,25.1,25.459999,25.023886,367200.0,367200.0,0.013999999999999985,0.002894736842105266,25.332614736842107
2019-01-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.469999,25.74,25.42,25.719999,25.279432,357000.0,357000.0,-0.3370000000000001,-0.06280952380952382,25.556317619047622
2019-02-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.690001,25.83,25.629999,25.780001,25.381828,485100.0,485100.0,0.034,0.007052631578947366,25.751806842105264
2019-03-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.76,25.969999,25.719999,25.959999,25.602747,374200.0,374200.0,-0.022999999999999996,-0.004190476190476192,25.831095714285716
2019-04-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.9,25.92,25.799999,25.915001,25.505407,281400.0,281400.0,-0.18700000000000006,-0.03442857142857144,25.865714761904762
2019-05-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,25.9,26.190001,25.843,26.190001,25.817905,440900.0,440900.0,0.024000000000000004,0.004090909090909091,26.013075454545454
2019-06-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,26.16,26.290001,26.110001,26.259001,25.92552,308500.0,308500.0,0.069,0.013299999999999998,26.1921
2019-07-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,26.23,26.52,26.197001,26.49,26.194487,265100.0,265100.0,0.007000000000000027,0.001136363636363641,26.35639409090909
2019-08-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,26.49,26.690001,26.485001,26.6,26.342041,456700.0,456700.0,-0.07500000000000002,-0.012636363636363638,26.611410000000003
2019-09-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,26.549999,26.559999,26.16,26.315001,26.095121,904900.0,904900.0,-0.41300000000000003,-0.07830000000000001,26.352183999999994
2019-10-01,IBMM,iShares iBonds Dec 2024 Term Muni Bond ETF,BATS,2018-03-22,,26.280001,26.5,26.268999,26.440001,26.251997,493400.0,493400.0,-0.056,-0.009130434782608695,26.38776913043478
