datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2007-05-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,6.0,6.02,3.05,3.05,3.05,336513.0,336513.0,-2.6400000000000006,-6.7565,3.67375
2007-06-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,3.05,4.95,2.65,3.72,3.72,1104129.0,1104129.0,0.7200000000000001,1.1162380952380953,3.4569838095238095
2007-07-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,3.71,6.11,3.32,3.47,3.47,980229.0,980229.0,-2.899999999999999,-2.6873181818181817,3.7007581818181823
2007-08-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,3.41,3.45,3.0,3.01,3.01,436895.0,436895.0,-0.7600000000000002,-0.979913043478261,3.2205795652173914
2007-09-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,3.02,3.08,2.55,2.62,2.62,142522.0,142522.0,-0.33000000000000007,-0.5300499999999999,2.7945005000000003
2007-10-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.62,2.89,2.58,2.61,2.61,109695.0,109695.0,0.12000000000000001,0.2006521739130435,2.6710139130434785
2007-11-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.6,2.68,2.45,2.53,2.53,61650.0,61650.0,0.08999999999999998,0.16804545454545458,2.5421209090909085
2007-12-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.5,2.62,2.3,2.4,2.4,37878.0,37878.0,0.16999999999999998,0.4011052631578947,2.4808773684210523
2008-01-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.42,2.45,2.0,2.05,2.05,86263.0,86263.0,-0.5399999999999998,-1.0378636363636362,2.1336359090909096
2008-02-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.1,2.19,2.01,2.01,2.01,39825.0,39825.0,0.04000000000000001,0.0975238095238095,2.067619047619048
2008-03-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.07,2.1,1.98,2.01,2.01,40347.0,40347.0,0.04000000000000001,0.11342105263157891,2.022806842105263
2008-04-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.01,2.48,2.0,2.19,2.19,176679.0,176679.0,0.9200000000000002,2.0127272727272727,2.154242727272728
2008-05-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.19,2.24,2.05,2.1,2.1,38349.0,38349.0,-0.08,-0.14099999999999996,2.1293652380952386
2008-06-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.1,2.2,1.9,1.93,1.93,72466.0,72466.0,0.26,0.6671904761904761,2.033649523809524
2008-07-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,1.93,2.1,1.93,2.0,2.0,85838.0,85838.0,0.020000000000000004,0.060260869565217395,2.016522608695652
2008-08-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.0,2.19,1.98,2.01,2.01,105645.0,105645.0,-0.18000000000000002,-0.3975714285714286,2.0263485714285716
2008-09-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.0,2.12,1.9,2.05,2.05,55185.0,55185.0,0.2,0.4859090909090909,2.0301513636363637
2008-10-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.05,2.15,2.0,2.04,2.04,96124.0,96124.0,-0.28,-0.550304347826087,2.0631882608695644
2008-11-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.04,2.14,2.03,2.06,2.06,25650.0,25650.0,0.019999999999999997,0.0503,2.0641669999999994
2008-12-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.06,2.12,2.03,2.1,2.1,57203.0,57203.0,0.1,0.2324761904761905,1.970634761904762
2009-01-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.1,2.32,2.06,2.18,2.18,112225.0,112225.0,0.6700000000000002,1.4846666666666668,2.178412857142857
2009-02-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.16,2.2,2.01,2.02,2.02,20368.0,20368.0,-0.01999999999999999,-0.04135000000000002,2.0861665
2009-03-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.02,2.1,1.83,2.0,2.0,41704.0,41704.0,-0.15999999999999992,-0.3150909090909091,1.9625772727272726
2009-04-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,1.8,2.0,1.72,1.77,1.77,36272.0,36272.0,0.019999999999999983,0.060249999999999984,1.825333
2009-05-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,1.73,1.89,1.7,1.75,1.75,17087.0,17087.0,-0.29000000000000004,-0.7790999999999999,1.7690005000000006
2009-06-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,1.82,1.97,1.7,1.8,1.8,23326.0,23326.0,-0.03,-0.014000000000000023,1.741969090909091
2009-07-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,1.79,2.13,1.77,1.93,1.93,64935.0,64935.0,0.36,0.8600869565217392,1.8256521739130434
2009-08-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,1.97,2.16,1.93,2.06,2.06,46040.0,46040.0,-0.2,-0.412,2.0449209523809526
2009-09-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.05,3.55,2.01,3.55,3.55,216924.0,216924.0,1.19,2.0211818181818177,2.3022722727272726
2009-10-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,3.51,3.51,2.7,2.9,2.9,251679.0,251679.0,-0.6700000000000002,-0.9421363636363633,3.026211363636364
2009-11-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.9,3.0,2.58,2.79,2.79,81519.0,81519.0,-0.33,-0.5036666666666667,2.792380476190477
2009-12-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.79,2.79,2.32,2.55,2.55,46266.0,46266.0,-0.35000000000000003,-0.5606818181818182,2.5943945454545454
2010-01-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.55,2.65,2.36,2.52,2.52,42327.0,42327.0,0.5,1.03505,2.5466659999999997
2010-02-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.42,2.62,2.21,2.5,2.5,26679.0,26679.0,0.08999999999999998,0.24114999999999998,2.4633330000000004
2010-03-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.5,3.65,2.5,3.44,3.44,283312.0,283312.0,0.54,0.9414782608695651,3.0152178260869564
2010-04-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,3.44,3.48,2.65,3.11,3.11,341444.0,341444.0,-0.32000000000000006,-0.4115499999999999,3.2151665
2010-05-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,3.08,3.2,2.29,2.44,2.44,204752.0,204752.0,-0.8900000000000002,-1.2988571428571436,2.6249219047619046
2010-06-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.36,2.51,2.21,2.35,2.35,44366.0,44366.0,0.48000000000000004,0.9404545454545455,2.377879545454546
2010-07-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.35,2.45,2.25,2.39,2.39,45904.0,45904.0,0.9300000000000002,1.842,2.3436363636363637
2010-08-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.33,2.55,2.31,2.31,2.31,78485.0,78485.0,-0.08000000000000002,-0.12449999999999992,2.3865145454545456
2010-09-01,SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",Lisbon,2007-05-22,,2.31,2.39,1.93,2.15,2.15,42428.0,42428.0,0.2,0.45399999999999996,2.205757272727273
