datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1997-11-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,469090000,13.5143,13.5143,9.752,10.334,10.334,5661400.0,5661400.0,-5.125,-8.1044,11.583248000000001
1997-12-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,423340000,11.0061,12.4488,8.9529,9.3258,9.3258,2984600.0,2984600.0,-3.625,-1.3903181818181816,10.438689545454546
1998-01-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,457500000,9.2029,12.0082,8.9098,10.082,10.082,2160400.0,2160400.0,-1.375,-0.30960000000000015,10.42217
1998-02-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,465000000,10.4549,11.5266,9.457,10.082,10.082,2066900.0,2066900.0,-0.3125,-0.08373684210526322,10.319696842105264
1998-03-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,899000000,10.1025,20.6107,9.5861,19.4918,19.4918,5649100.0,5649100.0,9.25,3.3684545454545445,13.420595454545458
1998-04-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,1052140000,19.3033,27.3473,16.6957,22.8105,22.8105,9986200.0,9986200.0,-9.3437,-1.5193809523809523,22.403411428571424
1998-05-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,754038000,23.3053,23.6178,14.3361,15.543,15.543,6563400.0,6563400.0,-10.2813,-2.4326,18.172444999999996
1998-06-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,1230650000,15.5605,26.373,12.6219,25.373,25.373,6846300.0,6846300.0,11.9687,3.214136363636363,18.823359090909094
1998-07-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,967894000,24.8463,33.4959,15.7377,19.9539,19.9539,12286800.0,12286800.0,-11.5,-1.6066363636363634,24.847648636363644
1998-08-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,649775000,20.2398,25.4385,12.8371,13.2746,13.2746,5543000.0,5543000.0,-11.1875,-2.497142857142857,20.20875142857143
1998-09-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,1141301000,14.3248,29.9652,9.5123,23.3146,23.3146,14731200.0,14731200.0,-0.125,-0.2083333333333336,16.86994523809524
1998-10-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,1108401000,21.9693,30.2213,14.3975,22.6424,22.6424,15858500.0,15858500.0,-4.875,-0.3482272727272726,23.365185909090908
1998-11-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,1295800000,21.8279,35.3525,21.7654,25.541,25.541,15212700.0,15212700.0,4.6875,1.5448000000000002,27.0281345
1998-12-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,1223508000,26.9508,35.5574,21.1025,24.1127,24.1127,13136300.0,13136300.0,-7.1875,-0.631409090909091,25.20715409090909
1999-01-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,2414621000,24.8166,51.9139,23.7172,47.5953,47.5953,35634000.0,35634000.0,4.875,2.1882105263157894,37.05185105263158
1999-02-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,2377407000,48.5984,51.0984,33.5943,47.1332,47.1332,11104100.0,11104100.0,-12.25,-1.118368421052632,44.77765052631579
1999-03-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,4142241000,44.082,101.1762,42.707,82.126,82.126,28667600.0,28667600.0,13.875,2.072130434782608,73.44622
1999-04-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,7508850000,84.8627,188.668,67.1353,148.8771,148.8771,59518000.0,59518000.0,-9.5,3.2970476190476177,127.90967285714288
1999-05-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,4890375000,154.9057,159.5307,65.2254,95.2746,95.2746,43960400.0,43960400.0,-94.625,-3.3147999999999995,117.409087
1999-06-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,4752375000,94.8811,104.4098,65.209,92.5861,92.5861,25820200.0,25820200.0,-12.875,-0.23554545454545447,87.06006681818182
1999-07-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,5265735000,92.0594,135.4754,89.4344,102.584,102.584,26981400.0,26981400.0,-11.4375,0.012571428571428667,114.92628142857141
1999-08-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,7063200000,100.0307,123.9754,63.8955,109.8934,109.8934,19988200.0,19988200.0,-9.75,0.09168181818181799,102.85218727272728
1999-09-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,9034416000,110.7623,153.5902,97.584,140.5594,140.5594,16326900.0,16326900.0,33.875,1.5427142857142857,124.5959880952381
1999-10-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,9477216000,134.8279,157.3771,112.8361,147.4488,147.4488,17324700.0,17324700.0,3.9375,0.3642857142857144,137.9005338095238
1999-11-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,15317100000,142.8033,233.4385,137.9918,187.5246,187.5246,17471200.0,17471200.0,0.0,0.6280476190476187,187.98342428571428
1999-12-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,13210587000,193.9631,255.4426,157.041,161.7316,161.7316,18918800.0,18918800.0,-157.0,-3.210363636363637,199.41616090909093
2000-01-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,17259462000,175.8484,251.6066,146.7234,211.3012,211.3012,22906600.0,22906600.0,-44.2187,-0.7982500000000001,193.40066299999995
2000-02-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,10659375000,209.3504,267.6066,186.5369,189.0369,189.0369,13844700.0,13844700.0,-55.875,-0.8841000000000001,224.34086150000002
2000-03-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,8631725000,192.0246,231.9508,126.8279,153.0779,153.0779,18709500.0,18709500.0,-180.8125,-3.633304347826087,186.39086956521737
2000-04-01,RNWK,RealNetworks Inc.,NASDAQ,1997-11-21,7219950000,162.541,165.791,73.9098,128.041,128.041,21419300.0,21419300.0,-79.5,-1.895842105263157,112.97953263157898
