datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2005-03-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.27,15.39,14.79,14.92,5.690414,0.0,0.0,0.0,0.0,
2005-04-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.76,15.05,14.35,14.52,5.537857,0.0,0.0,0.0,0.0,
2005-05-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.6,15.08,14.52,14.97,5.709484,0.0,0.0,0.0,0.0,
2005-06-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.08,15.19,14.86,14.92,5.690414,0.0,0.0,0.0,0.0,
2005-07-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.95,15.42,14.93,15.31,5.839159,0.0,0.0,0.0,0.0,
2005-08-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.29,15.46,15.02,15.1,5.759065,0.0,0.0,0.0,0.0,
2005-09-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.03,15.18,14.58,14.83,5.656089,0.0,0.0,0.0,0.0,
2005-10-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.77,14.82,14.36,14.82,5.652275,0.0,0.0,0.0,0.0,
2005-11-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.85,15.64,14.85,15.43,5.884926,0.0,0.0,0.0,0.0,
2005-12-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.61,15.64,14.49,14.49,5.873793,0.0,0.0,0.0,0.0,
2006-01-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.63,14.91,14.45,14.64,5.934599,0.0,0.0,0.0,0.0,
2006-02-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.73,14.94,14.49,14.78,5.991349,0.0,0.0,0.0,0.0,
2006-03-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.9,15.09,14.73,14.88,6.031887,0.0,0.0,0.0,0.0,
2006-04-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.89,15.04,14.62,14.97,6.068371,0.0,0.0,0.0,0.0,
2006-05-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.91,15.14,14.27,14.36,5.821095,0.0,0.0,0.0,0.0,
2006-06-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.57,14.57,13.87,14.27,5.784613,0.0,0.0,0.0,0.0,
2006-07-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.41,14.52,13.88,14.49,5.873793,0.0,0.0,0.0,0.0,
2006-08-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,14.39,15.11,14.39,15.09,6.117015,0.0,0.0,0.0,0.0,
2006-09-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.16,15.6,14.97,15.55,6.303483,0.0,0.0,0.0,0.0,
2006-10-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.51,16.049999,15.51,15.9,6.445362,0.0,0.0,0.0,0.0,
2006-11-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.8,16.27,15.76,16.17,6.554813,0.0,0.0,0.0,0.0,
2006-12-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,16.110001,16.52,14.9,15.02,6.79119,0.0,0.0,0.0,0.0,
2007-01-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.03,15.39,14.98,15.39,6.958483,0.0,0.0,0.0,0.0,
2007-02-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.47,15.68,15.1,15.22,6.881618,0.0,0.0,0.0,0.0,
2007-03-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.19,15.52,14.92,15.41,6.967525,0.0,0.0,0.0,0.0,
2007-04-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.42,16.049999,15.42,15.95,7.211682,0.0,0.0,0.0,0.0,
2007-05-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.91,16.459999,15.91,16.459999,7.442275,0.0,0.0,0.0,0.0,
2007-06-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,16.49,16.49,16.01,16.25,7.347325,0.0,0.0,0.0,0.0,
2007-07-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,16.42,16.639999,15.66,15.66,7.080561,0.0,0.0,0.0,0.0,
2007-08-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,15.79,15.98,15.32,15.93,7.20264,0.0,0.0,0.0,0.0,
2007-09-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,16.09,16.440001,15.75,16.42,7.42419,0.0,0.0,0.0,0.0,
2007-10-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,16.530001,16.77,16.309999,16.6,7.505576,0.0,0.0,0.0,0.0,
2007-11-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,16.26,16.48,15.82,16.48,7.451318,0.0,0.0,0.0,0.0,
2007-12-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,16.459999,16.83,13.13,13.13,7.402236,0.0,0.0,0.0,0.0,
2008-01-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,12.95,12.99,11.95,12.53,7.063978,0.0,0.0,0.0,0.0,
2008-02-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,12.68,12.68,12.17,12.17,6.861022,0.0,0.0,0.0,0.0,
2008-03-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,12.13,12.19,11.38,11.55,6.511487,0.0,0.0,0.0,0.0,
2008-04-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,11.95,12.28,11.67,12.14,6.844109,0.0,0.0,0.0,0.0,
2008-05-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,12.32,12.67,12.18,12.48,7.035789,0.0,0.0,0.0,0.0,
2008-06-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,12.35,12.43,11.42,11.42,6.438198,0.0,0.0,0.0,0.0,
2008-07-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,11.44,11.64,10.95,11.56,6.517126,0.0,0.0,0.0,0.0,
2008-08-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,11.5,11.87,11.41,11.77,6.635516,0.0,0.0,0.0,0.0,
2008-09-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,11.72,11.72,10.19,10.6,5.975912,0.0,0.0,0.0,0.0,
2008-10-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,10.42,10.42,7.04,8.22,4.63415,0.0,0.0,0.0,0.0,
2008-11-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,8.12,8.44,6.26,7.68,4.329717,0.0,0.0,0.0,0.0,
2008-12-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,6.96,8.13,6.96,8.13,4.583411,0.0,0.0,0.0,0.0,
2009-01-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,8.39,8.46,7.64,7.84,4.419919,0.0,0.0,0.0,0.0,
2009-02-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,7.82,8.24,6.97,6.97,3.929443,0.0,0.0,0.0,0.0,
2009-03-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,6.56,7.87,6.38,7.52,4.239514,0.0,0.0,0.0,0.0,
2009-04-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,7.62,8.17,7.62,8.08,4.555223,0.0,0.0,0.0,0.0,
2009-05-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,8.16,8.51,8.16,8.51,4.797642,0.0,0.0,0.0,0.0,
2009-06-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,8.72,8.79,8.42,8.6,4.84838,0.0,0.0,0.0,0.0,
2009-07-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,8.66,9.12,8.34,9.09,5.124626,0.0,0.0,0.0,0.0,
2009-08-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,9.18,9.35,9.01,9.25,5.214828,0.0,0.0,0.0,0.0,
2009-09-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,9.12,9.51,9.11,9.5,5.35577,0.0,0.0,0.0,0.0,
2009-10-01,ADGKX,AB Core Opportunities Fund Class K,NASDAQ,2005-03-01,,9.32,9.8,9.25,9.31,5.248654,0.0,0.0,0.0,0.0,
