datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2007-05-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,27.4884,27.9396,27.4884,27.6639,27.6639,4600.0,4600.0,-0.24,-0.2866666666666667,27.7273
2007-06-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,28.1418,28.1942,27.333,27.5903,27.5903,22600.0,22600.0,-0.78,-0.20014285714285715,27.73890642857143
2007-07-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,27.795,28.75,26.9084,27.2779,27.2779,78500.0,78500.0,-0.8800000000000001,-0.15599999999999997,28.041019000000006
2007-08-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,26.9313,27.2043,24.7259,27.0205,27.0205,116600.0,116600.0,-0.44999999999999996,-0.06708695652173917,26.495798260869567
2007-09-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,27.3257,28.4064,26.5713,28.3164,28.3164,46500.0,46500.0,0.45000000000000007,0.09988235294117648,27.63463705882353
2007-10-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,28.3899,29.4201,28.1769,29.1895,29.1895,74000.0,74000.0,0.010000000000000064,0.0009130434782608656,28.83361826086956
2007-11-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,28.9629,29.0229,26.9357,28.2245,28.2245,110500.0,110500.0,-2.82,-0.5000499999999999,27.933565000000005
2007-12-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,28.2429,29.194,27.4417,28.2096,28.2096,111300.0,111300.0,-1.6399999999999997,-0.2838,28.3951355
2008-01-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,28.3836,28.4036,23.7524,25.7373,25.7373,438300.0,438300.0,0.2799999999999996,0.09795238095238104,26.270979523809523
2008-02-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,25.8548,26.3001,24.9071,25.3315,25.3315,397000.0,397000.0,-0.4599000000000001,-0.08654999999999997,25.701094500000004
2008-03-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,25.4444,25.779,24.0007,25.1562,25.1562,293800.0,293800.0,-0.14999999999999986,-0.020849999999999997,25.0272695
2008-04-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,25.7849,26.9151,25.1342,26.5307,26.5307,134700.0,134700.0,0.03,0.008142857142857155,26.252412380952382
2008-05-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,26.4168,27.7724,26.3368,27.1487,27.1487,206400.0,206400.0,-0.09000000000000007,-0.010238095238095253,26.97412857142857
2008-06-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,26.962,27.241,25.0961,25.7424,25.7424,156900.0,156900.0,-0.44000000000000006,-0.07190476190476192,26.43969380952381
2008-07-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,25.3254,25.8878,24.1722,24.6802,24.6802,172000.0,172000.0,-1.0799999999999998,-0.17936363636363636,24.757737272727276
2008-08-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,24.4969,25.424,23.8489,24.7541,24.7541,77000.0,77000.0,-1.58,-0.3001904761904761,24.524524761904765
2008-09-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,25.5115,25.5115,20.5389,21.4289,21.4289,130900.0,130900.0,-4.57,-0.8310476190476189,22.814483333333335
2008-10-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,21.7341,22.2258,14.6147,17.0046,17.0046,936200.0,936200.0,-4.68,-0.8817391304347825,17.339488695652175
2008-11-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,17.2354,17.5149,13.629,15.9886,15.9886,147300.0,147300.0,-1.9999999999999998,-0.6179473684210527,15.843753157894739
2008-12-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,15.4995,16.7499,14.9631,16.7499,16.7499,157200.0,157200.0,0.9700000000000002,0.30136363636363633,15.985079999999998
2009-01-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,16.8569,17.2433,15.4805,15.9333,15.9333,72100.0,72100.0,-0.050000000000000044,-0.0010000000000000243,16.287395789473685
2009-02-01,FTC,First Trust Large Cap Growth AlphaDEX Fund,NASDAQ,2007-05-11,,15.7513,16.6014,14.4577,14.7177,14.7177,156100.0,156100.0,0.36999999999999994,0.1328421052631579,15.672142631578948
