datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2016-06-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,3.75,4.48,3.25,3.4,,274261.0,274261.0,3.4,-1.6652307692307695,3.7053461538461545
2016-07-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,3.3,3.7,3.119,3.25,,204345.0,204345.0,-0.15,-0.18489999999999995,3.345172222222222
2016-08-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,3.0406,4.85,3.0406,4.74,,198816.0,198816.0,1.4899999999999998,1.8529545454545455,3.6653526315789473
2016-09-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,4.91,5.49,4.13,4.25,,850429.0,850429.0,-0.48999999999999994,-0.4352857142857143,4.7484
2016-10-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,4.15,4.4,3.77,4.21,,494206.0,494206.0,-0.04000000000000009,-0.003999999999999983,4.025457142857142
2016-11-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,4.1559,4.37,3.43,3.43,,138144.0,138144.0,-0.78,-0.9188571428571428,3.840433333333333
2016-12-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,3.43,3.5,1.8039,3.01,,734125.0,734125.0,-0.4199999999999998,-0.23840000000000003,2.5406900000000006
2017-01-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,3.05,3.95,2.7,3.56,,1257085.0,1257085.0,0.55,1.0618500000000002,3.0404500000000003
2017-02-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,3.61,3.77,3.18,3.19,,466965.0,466965.0,-0.37,-0.4596842105263157,3.3824263157894734
2017-03-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,3.2119,3.4,2.4001,2.68,,635751.0,635751.0,-0.51,-0.5674782608695652,2.9682478260869565
2017-04-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,2.67,2.9812,1.91,2.24,,708028.0,708028.0,-0.44,-0.8443684210526313,2.2870315789473685
2017-05-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,2.24,2.24,1.131,1.52,,1454899.0,1454899.0,-0.7200000000000002,-1.4678636363636364,1.7800000000000005
2017-06-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,1.55,1.69,0.96,1.0,,1482436.0,1482436.0,-0.52,-1.735090909090909,1.3190880454545455
2017-07-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,1.0,1.4,0.95,1.0,,1971075.0,1971075.0,-5.377642775528102e-17,0.21205,1.0631681
2017-08-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,1.05,1.07,0.782,0.8681,,773853.0,773853.0,-0.13189999999999996,-0.5691739130434782,0.9612736521739133
2017-09-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,0.89,2.3,0.8603,1.37,,10267050.0,10267050.0,0.5019,4.687050000000001,1.42062815
2017-10-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,1.39,1.7,1.1,1.26,,3452831.0,3452831.0,-0.11,-0.3169090909090909,1.3617772727272728
2017-11-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,1.2,1.48,1.0002,1.23,,1860697.0,1860697.0,-0.03,0.01576190476190495,1.2793666666666668
2017-12-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,1.24,1.53,1.01,1.3,,3282579.0,3282579.0,0.06999999999999998,0.4093,1.218395
2018-01-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,1.3,1.3,1.13,1.14,,1421047.0,1421047.0,-0.16,-0.5859523809523809,1.1813714285714285
2018-02-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,1.15,1.2428,1.13,1.14,,331280.0,331280.0,6.938893903907228e-18,0.04084210526315788,1.1749842105263155
2018-03-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,1.1401,1.18,0.7921,0.89,,839551.0,839551.0,-0.25,-1.1244761904761904,1.0061560476190476
2018-04-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,0.92,0.992338,0.819,0.911114,,617325.0,617325.0,0.021114,0.15861904761904763,0.9076276666666667
2018-05-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,0.91,1.05,0.85,0.9401,,554342.0,554342.0,0.028985999999999998,0.15990909090909097,0.9638359523809524
2018-06-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,0.9401,1.06,0.82,0.8449,,2995350.0,2995350.0,-0.09519999999999999,-0.43442857142857166,0.8987303809523808
2018-07-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,0.843381,0.9359,0.84,0.85,,410407.0,410407.0,0.005100000000000007,0.06609523809523814,0.8777263333333335
2018-08-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,0.875,0.9,0.775,0.866,,674655.0,674655.0,0.01599999999999999,0.12873913043478255,0.8489651304347826
2018-09-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,0.89,1.04,0.802,0.98,,1080344.0,1080344.0,0.114,0.7034736842105263,0.9127625263157895
2018-10-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,0.9869,1.01,0.8646,0.9899,,219664.0,219664.0,0.009899999999999978,0.10808695652173932,0.9215617826086957
2018-11-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,0.9,1.1,0.57,0.642,,1417118.0,1417118.0,-0.34790000000000004,-1.938333333333334,0.8005655238095238
2018-12-01,ONS,Oncobiologics Inc.,NASDAQ,2016-06-14,,0.6638,0.6979,0.612,0.646,,47828.0,47828.0,0.004,0.623,0.654198
