datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2018-06-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,27044451.85,5.55,6.5,4.65,5.05,5.05,2811500.0,2811500.0,-0.9400000000000001,-5.605,5.19667
2018-07-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,19172106.46,5.05,5.69,2.583,3.58,3.58,9039200.0,9039200.0,-2.81,-3.0121904761904763,4.4274595238095245
2018-08-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,37114486.8,3.53,4.1,2.5,3.17,3.17,10633800.0,10633800.0,-1.1139999999999999,-1.3614782608695652,3.214810434782608
2018-09-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,29855502.0,3.22,3.43,2.289,2.55,2.55,2341600.0,2341600.0,-0.9299999999999999,-1.561368421052632,2.8785431578947365
2018-10-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,24118562.4,2.58,2.8,1.953,2.06,2.06,2218200.0,2218200.0,-0.376,-0.6057826086956521,2.327478695652174
2018-11-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,19962522.0,2.06,2.72,1.61,1.7,1.7,1673200.0,1673200.0,-0.45999999999999985,-0.9429999999999998,2.026809523809524
2018-12-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,28064957.4,1.7,3.1,1.538,2.39,2.39,2990900.0,2990900.0,0.242,1.1605263157894736,2.251683684210526
2019-01-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,52019983.8,2.38,4.99,2.38,4.43,4.43,9938800.0,9938800.0,1.9900000000000002,3.251952380952381,3.7748890476190478
2019-02-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,67616887.4,4.4,6.075,3.55,5.69,5.69,13470900.0,13470900.0,-0.0799999999999998,-0.04489473684210549,4.431843157894736
2019-03-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,59773803.8,5.74,8.03,4.58,5.03,5.03,26003400.0,26003400.0,-0.7899999999999998,-0.2651904761904765,6.307888571428572
2019-04-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,66072037.6,5.03,5.83,4.4,5.56,5.56,8242500.0,8242500.0,0.29000000000000004,0.34000000000000014,5.1457619047619065
2019-05-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,47970405.3,5.55,5.83,3.84,3.93,3.93,5672400.0,5672400.0,-1.35,-1.2466818181818178,4.713985454545456
2019-06-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,51266082.0,3.9,4.95,3.57,4.2,4.2,3775100.0,3775100.0,-0.21000000000000005,-0.10160000000000005,4.426499999999999
2019-07-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,38937809.9,4.3,4.335,2.87,3.19,3.19,6311700.0,6311700.0,-1.0800000000000003,-1.1695909090909093,3.434167727272728
2019-08-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,44898675.4,3.19,3.86,2.56,2.93,2.93,5446700.0,5446700.0,-0.6200000000000001,-0.831590909090909,3.1279090909090908
2019-09-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,38309450.0,2.94,3.29,2.4,2.5,2.5,3839500.0,3839500.0,-0.7649999999999999,-1.2931500000000002,2.8110830000000004
2019-10-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,40148303.6,2.56,2.95,2.06,2.62,2.62,5770000.0,5770000.0,-0.28,-0.3548260869565218,2.4664930434782604
2019-11-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,42984584.6,2.62,3.06,1.95,2.62,2.62,4063300.0,4063300.0,0.165,0.48549999999999993,2.3614659999999996
2019-12-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,43148647.9,2.59,2.68,1.92,2.63,2.63,3576200.0,3576200.0,0.187,0.4925238095238094,2.4150790476190473
2020-01-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,46922103.8,2.7,3.48,2.58,2.86,2.86,2735700.0,2735700.0,0.064,0.25357142857142856,3.06281
2020-02-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,51574405.8,2.91,4.08,2.6,3.14,3.14,3917400.0,3917400.0,0.7649999999999998,1.3837894736842107,3.3439121052631577
2020-03-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,22337959.2,3.22,3.3,1.31,1.36,1.36,6496000.0,6496000.0,-0.7399999999999998,-1.082909090909091,2.1047890909090907
2020-04-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,29072196.9,1.33,1.83,0.88,1.77,1.77,4258800.0,4258800.0,-0.04500000000000007,-0.3519047619047621,1.3920952380952383
2020-05-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,36799078.08,1.71,2.435,1.71,2.19,2.19,1846100.0,1846100.0,0.1299999999999999,0.5397000000000002,2.0444500000000003
2020-06-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,49233469.76,2.2,3.37,2.06,2.93,2.93,10871000.0,10871000.0,-0.2799999999999998,-0.09704545454545457,2.755378636363636
2020-07-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,58475247.36,2.92,3.63,2.505,3.48,3.48,5273989.0,5273989.0,0.32,0.49440909090909096,3.0103177272727275
2020-08-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,62844087.68000001,3.48,4.18,3.1,3.74,3.74,6458300.0,6458300.0,-0.09500000000000001,-0.021047619047619075,3.702920476190476
2020-09-01,HYRE,HyreCar Inc.,NASDAQ,2018-06-27,58760730.0,3.74,3.9,3.31,3.42,3.42,1499400.0,1499400.0,-0.33999999999999997,-0.8059090909090911,3.5566972727272725
