datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2018-11-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,6.06,8.16,5.8,5.97,5.97,168900.0,168900.0,-1.45,-3.0515714285714286,6.312855714285715
2018-12-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.96,7.5,5.02,5.5,5.5,39500.0,39500.0,-2.79,-2.1988947368421052,5.904035263157894
2019-01-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.53,11.0,5.5,6.08,6.08,319100.0,319100.0,-7.590000000000001,-4.1257142857142854,6.716349047619049
2019-02-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,6.01,6.51,5.8,6.0,6.0,105400.0,105400.0,1.01,0.8976315789473682,6.043333684210526
2019-03-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.92,6.26,5.7,5.83,5.83,74600.0,74600.0,-1.49,-1.1515714285714285,5.908889523809524
2019-04-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.85,6.03,5.66,5.81,5.81,34600.0,34600.0,-0.61,-0.48128571428571426,5.84476238095238
2019-05-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.81,5.88,5.25,5.4,5.4,60400.0,60400.0,-2.13,-1.7040454545454542,5.555605454545454
2019-06-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.43,5.8,5.25,5.3,5.3,54800.0,54800.0,-0.6799999999999999,-0.6166315789473685,5.451753684210527
2019-07-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.71,5.74,5.05,5.15,5.15,14800.0,14800.0,-1.76,-1.6637894736842103,5.226666315789474
2019-08-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.2,5.5,4.88,5.1,5.1,17400.0,17400.0,-0.6800000000000002,-0.5976000000000001,5.2231675
2019-09-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.09,5.5,4.99,5.2,5.2,6100.0,6100.0,-1.6800000000000002,-1.9438124999999997,5.143333749999999
2019-10-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.32,5.45,4.96,5.03,5.03,35000.0,35000.0,-1.07,-0.9245909090909091,5.162121363636364
2019-11-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,4.8,5.3,4.61,5.08,5.08,21000.0,21000.0,0.29000000000000004,0.33845,5.0301659999999995
2019-12-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,4.99,8.54,4.85,5.38,5.38,150700.0,150700.0,0.83,0.8336666666666669,5.3830157142857145
2020-01-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.4,6.0,4.85,5.02,5.02,35800.0,35800.0,0.01000000000000005,0.05288235294117647,5.4019594117647065
2020-02-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.25,5.59,5.0,5.12,5.12,17200.0,17200.0,-0.35,-0.4232142857142857,5.194285714285714
2020-03-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.03,5.03,2.48,3.7,3.7,70700.0,70700.0,-0.79,-0.4217000000000001,3.845
2020-04-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,3.7,6.2,3.25,5.0,5.0,86300.0,86300.0,1.0500000000000003,1.6345714285714283,4.132539047619048
2020-05-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.12,5.45,4.2,4.91,4.91,52500.0,52500.0,1.0500000000000003,1.2797,4.958500000000001
2020-06-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.3,6.7,4.64,6.06,6.06,276600.0,276600.0,0.6900000000000001,0.6429545454545456,5.34197
2020-07-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,6.06,12.65,5.25,5.31,5.31,2198300.0,2198300.0,-1.7899999999999998,-1.2095454545454547,6.158484545454545
2020-08-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,5.3,9.25,4.65,4.78,4.78,13496500.0,13496500.0,-2.5000000000000004,-1.4020000000000001,5.382221904761905
2020-09-01,TLC,"Taiwan Liposome Company, Ltd.",NASDAQ,2018-11-21,,4.69,4.76,4.35,4.35,4.35,229800.0,229800.0,0.04999999999999999,0.12509090909090917,4.491817272727273
