datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2019-03-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,22.4041,22.8981,22.4041,22.6581,22.6581,3698900.0,3698900.0,-0.29999999999999993,-0.07288888888888889,22.606139444444445
2019-04-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,22.7193,23.0391,22.6593,22.9591,22.9591,2575700.0,2575700.0,0.04799999999999999,0.010238095238095234,22.90026952380952
2019-05-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,22.9308,23.0685,22.7814,23.0685,23.0685,1380900.0,1380900.0,0.08000000000000004,0.01631818181818181,22.908765909090906
2019-06-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,22.9838,23.4127,22.88,23.3351,23.3351,1259800.0,1259800.0,0.078,0.017249999999999998,23.135651999999997
2019-07-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,23.3529,23.8433,23.2908,23.7433,23.7433,955700.0,955700.0,1.033,0.19959090909090904,23.600561363636363
2019-08-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,23.6741,24.3782,23.5127,24.3,24.3,1059500.0,1059500.0,0.8380000000000001,0.1590909090909091,23.886758181818177
2019-09-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,24.2467,24.3137,23.499,23.9376,23.9376,1422400.0,1422400.0,0.05400000000000002,0.012400000000000012,24.067747499999996
2019-10-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,23.9709,24.077,23.686,23.947,23.947,1871900.0,1871900.0,-0.2149999999999999,-0.03886956521739129,23.835819565217395
2019-11-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,24.1076,24.2553,23.8593,24.0036,24.0036,771000.0,771000.0,-0.3260000000000001,-0.0674,24.034331000000005
2019-12-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,24.0707,24.7928,23.938,24.7328,24.7328,850900.0,850900.0,0.6599999999999999,0.1287142857142857,24.266778095238095
2020-01-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,24.6684,25.059,24.6684,25.059,25.059,488300.0,488300.0,0.20490000000000003,0.04,24.907536666666665
2020-02-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,25.1086,25.1331,23.8504,24.0804,24.0804,713900.0,713900.0,-0.7040000000000001,-0.1496842105263158,24.92719105263158
2020-03-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,24.3323,24.779,9.5829,18.4309,18.4309,3065000.0,3065000.0,-3.698,0.313636363636364,19.51690045454546
2020-04-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,17.8057,22.5627,16.6895,21.7855,21.7855,1834000.0,1834000.0,-0.12299999999999983,0.05219047619047616,20.687565714285714
2020-05-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,21.9634,22.565,20.5349,22.3054,22.3054,872100.0,872100.0,0.09000000000000005,0.028850000000000032,21.910889499999996
2020-06-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,22.5241,22.9543,21.5774,21.89,21.89,990900.0,990900.0,-2.7699999999999996,-0.556909090909091,22.263080909090913
2020-07-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,21.98,22.71,21.6,22.69,22.69,649194.0,649194.0,-0.3309999999999999,-0.06418181818181819,22.213426363636362
2020-08-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,22.68,23.99,22.46,23.73,23.73,510255.0,510255.0,1.1580000000000001,0.2421904761904762,23.264762380952384
2020-09-01,AGNCM,AGNC Investment Corp.,NASDAQ,2019-03-06,,23.700001,23.85,23.120001,23.58,23.58,267904.0,267904.0,0.14299999999999996,0.057636363636363645,23.56417818181819
