datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1997-01-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,19110000.0,0.74,1.06,0.74,0.98,0.98,662400.0,662400.0,0.0,0.0,0.8860328571428572
1997-02-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,15990000.0,0.98,1.1,0.82,0.82,0.82,684300.0,684300.0,0.0,0.0,0.9843852631578948
1997-03-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,16548000.0,0.92,0.94,0.74,0.84,0.84,877600.0,877600.0,0.0,0.0,0.8225005
1997-04-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,15760000.0,0.85,0.85,0.66,0.8,0.8,671800.0,671800.0,0.0,0.0,0.789878181818182
1997-05-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,15366000.0,0.76,0.86,0.66,0.78,0.78,335300.0,335300.0,0.0,0.0,0.790001
1997-06-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,13510000.0,0.82,0.88,0.7,0.7,0.7,219100.0,219100.0,0.0,0.0,0.7533333333333334
1997-07-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,13510000.0,0.76,0.8,0.64,0.7,0.7,317000.0,317000.0,0.0,0.0,0.69197
1997-08-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,13510000.0,0.68,0.74,0.6,0.7,0.7,346600.0,346600.0,0.0,0.0,0.6699685714285712
1997-09-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,19400000.0,0.9,1.25,0.7,1.0,1.0,958400.0,958400.0,0.0,0.0,1.0016504761904763
1997-10-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,17460000.0,1.0,1.04,0.82,0.9,0.9,311400.0,311400.0,0.0,0.0,0.9655073913043476
1997-11-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,15908000.0,0.98,1.06,0.82,0.82,0.82,265200.0,265200.0,0.0,0.0,0.8688068421052632
1997-12-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,11640000.0,0.82,0.82,0.6,0.6,0.6,1198000.0,1198000.0,0.0,0.0,0.7113940909090908
1998-01-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,10088000.0,0.6,0.64,0.52,0.52,0.52,123700.0,123700.0,0.0,0.0,0.5894731578947369
1998-02-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,9312000.0,0.52,0.56,0.48,0.48,0.48,90600.0,90600.0,0.0,0.0,0.5025922222222224
1998-03-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,7448000.0,0.48,0.48,0.36,0.38,0.38,221800.0,221800.0,0.0,0.0,0.4440005
1998-04-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,7840000.0,0.38,0.55,0.38,0.4,0.4,514300.0,514300.0,0.0,0.0,0.44269857142857144
1998-05-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,7448000.0,0.4,0.44,0.38,0.38,0.38,85100.0,85100.0,0.0,0.0,0.3964705882352941
1998-06-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,6076000.0,0.28,0.4,0.28,0.31,0.31,211700.0,211700.0,0.0,0.0,0.33904714285714294
1998-07-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,5880000.0,0.3,0.32,0.25,0.3,0.3,764100.0,764100.0,0.0,0.0,0.29082523809523814
1998-08-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,4508000.0,0.25,0.26,0.2,0.23,0.23,273600.0,273600.0,0.0,0.0,0.23266750000000003
1998-09-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,3136000.0,0.21,0.23,0.15,0.16,0.16,372800.0,372800.0,0.0,0.0,0.1778589473684211
1998-10-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,3528000.0,0.16,0.2,0.15,0.18,0.18,153700.0,153700.0,0.0,0.0,0.16254545454545458
1998-11-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,5488000.0,0.18,0.36,0.18,0.28,0.28,793200.0,793200.0,0.0,0.0,0.26913349999999997
1998-12-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,4290000.0,0.23,0.28,0.16,0.22,0.22,1370400.0,1370400.0,0.0,0.0,0.21751590909090907
1999-01-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,5850000.0,0.22,0.56,0.22,0.3,0.3,801200.0,801200.0,0.0,0.0,0.3414736842105264
1999-02-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,5460000.0,0.32,0.36,0.28,0.28,0.28,354400.0,354400.0,0.0,0.0,0.3033338888888889
1999-03-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,6030000.0,0.28,0.38,0.24,0.3,0.3,173800.0,173800.0,0.0,0.0,0.2807581818181819
1999-04-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,6030000.0,0.3,0.34,0.28,0.3,0.3,110800.0,110800.0,0.0,0.0,0.29882411764705874
1999-05-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,6834000.0,0.3,0.36,0.28,0.34,0.34,182200.0,182200.0,0.0,0.0,0.3117647058823529
1999-06-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,8325000.0,0.34,0.436,0.29,0.374,0.374,337700.0,337700.0,0.0,0.0,0.3490157142857142
1999-07-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,6750000.0,0.32,0.38,0.25,0.3,0.3,417200.0,417200.0,0.0,0.0,0.3221477777777778
1999-08-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,6300000.0,0.3,0.32,0.26,0.28,0.28,150600.0,150600.0,0.0,0.0,0.28233350000000007
1999-09-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,3975000.0,0.26,0.28,0.25,0.25,0.25,125700.0,125700.0,0.0,0.0,0.262083125
1999-10-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,3180000.0,0.25,0.28,0.2,0.2,0.2,80900.0,80900.0,0.03,0.8021176470588235,0.22980411764705888
1999-11-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,3180000.0,0.2,0.26,0.2,0.2,0.2,236100.0,236100.0,-0.02,-0.39680952380952383,0.20742857142857152
1999-12-01,RDNT,RadNet Inc.,NASDAQ,2020-09-15,3120000.0,0.2,0.23,0.15,0.16,0.16,846000.0,846000.0,0.014,0.29618181818181816,0.1790295454545455
