datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1981-10-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,2.6868,3.2902,2.1701,2.3768,2.3768,834200.0,834200.0,-1.625,-1.8274117647058825,2.576335588235295
1982-01-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,2.4418,4.6936,2.0668,2.7902,2.7902,1366200.0,1366200.0,-4.25,-2.104612903225806,3.217538225806451
1982-04-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,2.8935,3.8886,2.4802,2.5835,2.5835,616300.0,616300.0,-3.125,-1.6550952380952382,2.973231746031745
1982-07-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,2.5835,4.1769,1.9635,3.2035,3.2035,680300.0,680300.0,-2.625,-1.5035312499999998,2.692300312500002
1982-10-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,3.7202,11.514,3.4102,9.7139,9.7139,2439700.0,2439700.0,-4.375,-1.164140625,6.687592812500001
1983-01-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,9.7356,12.3407,8.7839,8.7839,8.7839,2052800.0,2052800.0,-5.125,-0.7799841269841269,10.640017619047619
1983-04-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,8.7455,10.3773,7.3371,8.2672,8.2672,1414000.0,1414000.0,-2.25,-0.37960317460317466,8.69757349206349
1983-07-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,8.2888,9.0172,4.482,7.8538,7.8538,2016100.0,2016100.0,-0.5,0.11782812499999983,6.738410468749999
1983-10-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,7.9405,8.6205,5.6187,6.8204,6.8204,1523700.0,1523700.0,-1.375,-0.1881904761904762,7.03183142857143
1984-01-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,6.8637,8.8538,5.6187,6.4071,6.4071,1367400.0,1367400.0,-0.875,-0.0634444444444445,7.010138888888893
1984-04-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,6.4071,7.3204,5.4937,7.0271,7.0271,1507300.0,1507300.0,0.875,0.3152698412698413,6.307661111111112
1984-07-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,7.0921,7.2171,5.5754,7.0271,7.0271,1365800.0,1365800.0,0.125,0.09171428571428583,6.432628412698415
1984-10-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,7.1137,7.1137,3.6936,5.477,5.477,2117300.0,2117300.0,-1.25,-0.07020312500000005,5.560438437499999
1985-01-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,5.5203,10.0073,5.1237,7.5438,7.5438,3814500.0,3814500.0,2.25,0.6463387096774192,7.357390483870969
1985-04-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,7.5438,7.9188,5.597,6.4071,6.4071,1385400.0,1385400.0,-1.375,-0.24538095238095245,6.677133650793654
1985-07-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,6.4287,7.4021,5.1237,5.3737,5.3737,2126000.0,2126000.0,-0.75,-0.12825396825396823,6.071860476190477
1985-10-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,5.352,7.7938,5.227,6.6137,6.6137,2494500.0,2494500.0,1.875,0.5640624999999999,6.492012031249999
1986-01-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,6.6137,9.6972,6.4021,8.3705,8.3705,3382800.0,3382800.0,2.25,0.606983606557377,8.018036721311477
1986-04-01,IDCC,InterDigital Inc.,NASDAQ,1981-11-12,,8.2406,9.5939,7.1088,8.0605,8.0605,3041900.0,3041900.0,-0.375,-0.02290625,8.2148090625
