datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1989-10-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,15.0,15.0,15.0,15.0,2.650665,0.0,0.0,0.0,0.0,
1990-01-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,15.0,15.63,14.76,15.61,2.758459,0.0,0.0,0.0,0.0,
1990-04-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,15.58,16.58,14.96,16.58,2.929869,0.0,0.0,0.0,0.0,
1990-07-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,16.52,16.57,12.73,12.86,2.272504,0.0,0.0,0.0,0.0,
1990-10-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,13.19,14.83,12.4,14.53,2.596854,0.0,0.0,0.0,0.0,
1991-01-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,14.39,17.809999,13.81,17.809999,3.183068,0.0,0.0,0.0,0.0,
1991-04-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,17.73,18.6,17.57,17.77,3.175919,0.0,0.0,0.0,0.0,
1991-07-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,17.84,18.450001,17.540001,18.379999,3.28494,0.0,0.0,0.0,0.0,
1991-10-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,18.42,19.15,17.6,19.15,3.455014,0.0,0.0,0.0,0.0,
1992-01-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,18.940001,20.02,18.940001,19.540001,3.525377,0.0,0.0,0.0,0.0,
1992-04-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,19.379999,19.780001,18.57,18.870001,3.404497,0.0,0.0,0.0,0.0,
1992-07-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,19.09,19.780001,18.709999,19.42,3.503727,0.0,0.0,0.0,0.0,
1992-10-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,19.379999,21.6,18.889999,21.6,3.912796,0.0,0.0,0.0,0.0,
1993-01-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,21.530001,21.790001,20.41,21.049999,3.813165,0.0,0.0,0.0,0.0,
1993-04-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,20.91,21.01,19.84,20.66,3.742517,0.0,0.0,0.0,0.0,
1993-07-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,20.700001,21.67,20.18,21.67,3.925478,0.0,0.0,0.0,0.0,
1993-10-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,21.76,22.889999,21.389999,22.889999,4.156294,0.0,0.0,0.0,0.0,
1994-01-01,CAAPX,Ariel Appreciation Fund Investor Class,NASDAQ,1989-11-30,,22.690001,23.299999,21.780001,21.780001,3.954743,0.0,0.0,0.0,0.0,
