datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1993-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,10.0,10.6,9.96,10.48,3.709859,0.0,0.0,0.0,0.0,
1993-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,10.51,10.57,9.82,10.55,3.751057,0.0,0.0,0.0,0.0,
1994-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,10.42,11.21,10.37,10.37,3.687058,0.0,0.0,0.0,0.0,
1994-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,10.21,10.75,10.17,10.23,3.637281,0.0,0.0,0.0,0.0,
1994-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,10.27,10.95,10.27,10.85,3.857723,0.0,0.0,0.0,0.0,
1994-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,10.82,10.94,10.55,10.74,3.840681,0.0,0.0,0.0,0.0,
1995-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,10.67,11.61,10.66,11.58,4.141069,0.0,0.0,0.0,0.0,
1995-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,11.62,12.52,11.61,12.5,4.470065,0.0,0.0,0.0,0.0,
1995-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,12.53,13.92,12.53,13.82,4.942105,0.0,0.0,0.0,0.0,
1995-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,13.73,14.5,13.12,13.2,4.759864,0.0,0.0,0.0,0.0,
1996-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,13.15,14.13,12.69,14.13,5.095218,0.0,0.0,0.0,0.0,
1996-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,14.23,15.55,14.09,15.38,5.545963,0.0,0.0,0.0,0.0,
1996-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,15.48,16.129999,14.63,16.129999,5.816409,0.0,0.0,0.0,0.0,
1996-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,16.1,16.66,13.54,13.73,6.029193,0.0,0.0,0.0,0.0,
1997-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,13.58,14.09,13.58,13.66,5.998454,0.0,0.0,0.0,0.0,
1997-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,13.65,15.0,13.54,15.0,6.586882,0.0,0.0,0.0,0.0,
1997-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,15.03,16.6,15.03,16.6,7.289484,0.0,0.0,0.0,0.0,
1997-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,16.629999,16.809999,14.01,14.47,7.28228,0.0,0.0,0.0,0.0,
1998-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,14.42,16.32,13.98,16.32,8.213324,0.0,0.0,0.0,0.0,
1998-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,16.41,16.76,15.76,16.76,8.434762,0.0,0.0,0.0,0.0,
1998-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,16.91,17.24,13.55,14.61,7.352736,0.0,0.0,0.0,0.0,
1998-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,13.97,17.889999,12.31,17.889999,9.16258,0.0,0.0,0.0,0.0,
1999-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,17.690001,18.33,17.049999,17.99,9.213797,0.0,0.0,0.0,0.0,
1999-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,18.01,19.24,17.559999,19.24,9.853999,0.0,0.0,0.0,0.0,
1999-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,19.32,19.68,18.379999,19.34,9.905215,0.0,0.0,0.0,0.0,
1999-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,19.299999,20.860001,19.030001,19.91,10.976282,0.0,0.0,0.0,0.0,
2000-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,19.860001,22.190001,19.290001,20.879999,11.511037,0.0,0.0,0.0,0.0,
2000-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,20.09,20.940001,17.889999,20.549999,11.329108,0.0,0.0,0.0,0.0,
2000-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,20.709999,21.870001,19.85,21.469999,11.836297,0.0,0.0,0.0,0.0,
2000-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,21.290001,21.299999,18.110001,19.23,11.016507,0.0,0.0,0.0,0.0,
2001-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,18.26,19.030001,15.81,16.540001,9.475458,0.0,0.0,0.0,0.0,
2001-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,16.32,18.91,15.8,18.190001,10.420709,0.0,0.0,0.0,0.0,
2001-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,18.17,18.17,14.41,15.67,8.977048,0.0,0.0,0.0,0.0,
2001-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,15.58,17.379999,15.58,17.23,9.90237,0.0,0.0,0.0,0.0,
2002-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,17.16,17.530001,16.530001,17.41,10.00582,0.0,0.0,0.0,0.0,
2002-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,17.33,17.75,16.379999,16.6,9.583473,0.0,0.0,0.0,0.0,
2002-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,16.290001,16.360001,13.9,14.98,8.648218,0.0,0.0,0.0,0.0,
2002-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,15.23,15.74,14.21,15.02,8.694591,0.0,0.0,0.0,0.0,
2003-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,15.3,15.39,14.1,14.89,8.655574,0.0,0.0,0.0,0.0,
2003-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,14.97,16.6,14.97,16.34,9.498463,0.0,0.0,0.0,0.0,
2003-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,16.41,17.370001,16.370001,16.969999,9.86468,0.0,0.0,0.0,0.0,
2003-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,17.190001,18.33,17.190001,18.200001,10.601977,0.0,0.0,0.0,0.0,
2004-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,18.17,19.16,18.17,19.049999,11.097122,0.0,0.0,0.0,0.0,
2004-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,19.17,19.309999,18.049999,19.09,11.120424,0.0,0.0,0.0,0.0,
2004-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,18.99,19.0,17.700001,19.0,11.067998,0.0,0.0,0.0,0.0,
2004-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,19.16,20.66,18.83,20.639999,12.042869,0.0,0.0,0.0,0.0,
2005-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,20.4,21.16,19.93,20.48,11.949513,0.0,0.0,0.0,0.0,
2005-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,20.48,21.299999,19.74,21.26,12.404621,0.0,0.0,0.0,0.0,
2005-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,21.35,22.200001,21.35,22.200001,12.953086,0.0,0.0,0.0,0.0,
2005-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,22.299999,22.889999,20.690001,20.690001,13.153557,0.0,0.0,0.0,0.0,
2006-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,20.91,22.110001,20.91,22.110001,14.056315,0.0,0.0,0.0,0.0,
2006-04-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,22.09,22.49,20.35,21.49,13.66215,0.0,0.0,0.0,0.0,
2006-07-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,21.620001,21.620001,20.440001,21.26,13.515933,0.0,0.0,0.0,0.0,
2006-10-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,21.16,22.42,20.559999,20.629999,14.087372,0.0,0.0,0.0,0.0,
2007-01-01,VLAAX,Value Line Asset Allocation Fund Investor Class,NASDAQ,1993-08-24,,20.6,21.83,20.459999,21.540001,14.708772,0.0,0.0,0.0,0.0,
