datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1997-04-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,12523600.0,1.1574,1.2072,0.9884,1.0452,1.0452,2463200.0,2463200.0,-0.32030000000000003,-3.0374444444444446,1.0977855555555553
1997-07-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,15392500.0,1.1574,1.2575,0.9827,1.0452,1.0452,5285600.0,5285600.0,-0.05040000000000003,0.01454687499999996,1.0641925
1997-10-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,14204000.0,1.0452,1.1702,0.827,0.8461,0.8461,1727600.0,1727600.0,-0.03890000000000004,-0.024305084745762776,1.0457271186440678
1998-01-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,16482000.0,0.9332,1.7304,0.6268,0.9829,0.9829,6356400.0,6356400.0,-0.1876,0.10178181818181799,1.1946301818181815
1998-04-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,14606000.0,1.0018,1.2298,0.5093,0.871,0.871,1708400.0,1708400.0,0.18789999999999996,0.972196721311475,0.902825409836066
1998-07-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,5092000.0,0.9774,1.0834,0.184,0.2986,0.2986,1892800.0,1892800.0,-1.8514000000000002,0.5810666666666672,0.6950231666666669
1998-10-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,2688000.0,0.4919,0.4919,0.0993,0.1618,0.1618,2807600.0,2807600.0,-1.0589,-4.432816666666666,0.2711801666666666
1999-01-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,9471000.0,0.1991,1.1363,0.1414,0.5599,0.5599,3956400.0,3956400.0,0.7343999999999999,3.340213114754099,0.6157790163934427
1999-04-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,6780000.0,0.5851,0.7688,0.2859,0.3982,0.3982,1491600.0,1491600.0,-0.7742,-1.8962372881355931,0.5372240677966101
1999-07-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,4863600.0,0.4294,0.4479,0.2374,0.2862,0.2862,426800.0,426800.0,0.1486,1.4814565217391302,0.3364915217391305
1999-10-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,6354400.0,0.2737,0.5978,0.2298,0.3733,0.3733,1607200.0,1607200.0,0.1444,1.821527272727273,0.39789181818181807
2000-01-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,13133800.0,0.3982,1.2593,0.3357,0.7714,0.7714,3300400.0,3300400.0,0.2108,2.056775862068965,0.5968924137931033
2000-04-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,8530200.0,0.7651,0.9213,0.423,0.4977,0.4977,1208400.0,1208400.0,-0.3832,-0.7801500000000001,0.5638551666666664
2000-07-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,11932800.0,0.4932,0.825,0.3108,0.6968,0.6968,1104000.0,1104000.0,0.5589000000000001,2.799958333333334,0.5211720833333332
2000-10-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,6770000.0,0.6221,0.728,0.2083,0.3982,0.3982,1182400.0,1182400.0,-0.05440000000000003,-0.09524444444444416,0.4502360000000001
2001-01-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,6457800.0,0.3484,0.5168,0.2642,0.3733,0.3733,1574000.0,1574000.0,-0.25770000000000004,-1.1834318181818182,0.3771597727272726
2001-04-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,4885200.0,0.3516,0.422,0.2667,0.2887,0.2887,444400.0,444400.0,0.02679999999999999,0.436657894736842,0.3135928947368422
2001-07-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,3938200.0,0.2847,0.3086,0.2289,0.2289,0.2289,135600.0,135600.0,-0.035,-0.7219444444444445,0.26310388888888897
2001-10-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,2851800.0,0.234,0.234,0.1667,0.1692,0.1692,1054000.0,1054000.0,-0.0925,-1.7486521739130436,0.19873999999999994
2002-01-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,5430200.0,0.1811,0.4058,0.1711,0.2986,0.2986,473200.0,473200.0,0.1525,2.5384166666666674,0.26582166666666673
2002-04-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,4497900.0,0.3185,0.3361,0.2264,0.2628,0.2628,802800.0,802800.0,-0.125,-1.0872972972972972,0.2694472972972973
2002-07-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,4917000.0,0.2688,0.3451,0.219,0.2588,0.2588,1040400.0,1040400.0,0.04250000000000003,0.5797428571428572,0.28352285714285724
2002-10-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,8232000.0,0.2693,0.6354,0.2389,0.4778,0.4778,810000.0,810000.0,-0.057499999999999996,0.45282142857142865,0.3515182142857142
2003-01-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,9531900.0,0.4788,0.7019,0.4421,0.4977,0.4977,779200.0,779200.0,0.39249999999999985,1.9950930232558133,0.5638693023255814
2003-04-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,9516800.0,0.4877,0.6194,0.388,0.5076,0.5076,1014000.0,1014000.0,0.2475,1.3680232558139538,0.5058199999999999
2003-07-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,14810400.0,0.4977,0.8014,0.4401,0.7864,0.7864,2918800.0,2918800.0,0.38499999999999995,1.6987045454545453,0.609733409090909
2003-10-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,18656300.0,0.7864,1.2047,0.6864,0.8959,0.8959,3065600.0,3065600.0,0.5324999999999998,1.257370967741936,0.9410072580645159
2004-01-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,25058800.0,0.9018,1.531,0.8284,1.2542,1.2542,3042400.0,3042400.0,-0.3625000000000001,-0.37588333333333346,1.2264463333333329
2004-04-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,13914800.0,1.2718,1.2766,0.6808,0.6808,0.6808,2540400.0,2540400.0,-0.5,-0.7485573770491805,0.9466088524590166
2004-07-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,13736000.0,0.6758,0.8272,0.636,0.6769,0.6769,964800.0,964800.0,0.07250000000000001,0.19852542372881357,0.6920735593220344
2004-10-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,23032300.0,0.6808,1.1789,0.6791,1.1069,1.1069,1892400.0,1892400.0,0.655,1.2028750000000004,0.9605723437499999
2005-01-01,SLP,Simulations Plus Inc.,NASDAQ,1997-06-18,19093600.0,1.1023,1.344,0.8259,0.9257,0.9257,1786000.0,1786000.0,0.36750000000000016,0.7467818181818181,0.9774209090909091
