datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2011-10-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,5038.0,6487.0,2368.0,2746.0,2746.0,103200.0,103200.0,-856.0,-0.29560377358490547,4544.201258301887
2012-01-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,3063.0,6513.0,2991.0,3933.0,3933.0,265700.0,265700.0,967.0,0.5664354838709676,4357.284945806451
2012-04-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,3989.0,4300.0,1880.0,2170.0,2170.0,573900.0,573900.0,-906.0,-0.4817460317460317,2860.079364603174
2012-07-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,2175.0,4330.0,1930.0,4112.0,4112.0,647200.0,647200.0,988.0,0.6698730158730156,2790.7089946031747
2012-10-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,4222.0,4337.0,2428.0,2611.0,2611.0,452300.0,452300.0,-385.0,-0.14662903225806442,3385.306451774193
2013-01-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,2870.0,3155.0,1976.0,2031.0,2031.0,409300.0,409300.0,-312.0,-0.16665000000000008,2488.5055554999994
2013-04-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,1958.0,1969.0,469.0,567.0,567.0,912500.0,912500.0,-233.0,-0.15657812500000023,1055.8697920312497
2013-07-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,570.0,1075.0,486.0,682.8,682.8,1507000.0,1507000.0,113.5,0.29492187499999994,712.7916664062499
2013-10-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,614.8,803.9,419.1,452.1,452.1,1480600.0,1480600.0,-73.4,-0.13129687500000004,589.3859375
2014-01-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,499.5,651.9,423.0,456.0,456.0,1946400.0,1946400.0,-106.30000000000001,-0.31339344262295077,516.954645409836
2014-04-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,455.4,540.0,371.2,534.5,534.5,1561500.0,1561500.0,60.400000000000006,0.22119047619047622,439.51957698412707
2014-07-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,537.8,564.6,261.2,269.8,269.8,1767400.0,1767400.0,-132.70000000000002,-0.46385937499999996,431.77031203125006
2014-10-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,276.4,305.4,185.5,189.9,189.9,2036500.0,2036500.0,-43.0,-0.21889062500000003,237.39270781250008
2015-01-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,186.6,305.3,162.5,207.5,207.5,2786200.0,2786200.0,-4.69999999999999,0.0389508196721312,220.30765000000005
2015-04-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,210.5,242.1,155.8,163.4,163.4,3715000.0,3715000.0,-43.6,-0.2914444444444444,192.1243387301587
2015-07-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,159.2,167.2,109.4,120.7,120.7,3021400.0,3021400.0,15.100000000000003,0.22746875000000005,135.54947906249998
2015-10-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,123.3,170.0,95.5,98.1,98.1,2943500.0,2943500.0,-25.199999999999996,-0.2909375,124.55260406250002
2016-01-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,104.6,146.8,95.5,127.9,127.9,5190000.0,5190000.0,2.1999999999999944,0.07165573770491801,120.07103786885241
2016-04-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,116.4,222.0,111.8,221.1,221.1,7660600.0,7660600.0,-43.1,-0.3575937499999998,162.77447953125
2016-07-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,237.3,290.9,200.0,219.8,219.8,9869700.0,9869700.0,4.199999999999996,0.05320312499999992,242.39999953124996
2016-10-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,215.2,216.0,108.4,114.3,114.3,7637800.0,7637800.0,-121.89999999999999,-1.0443333333333336,150.9222222222222
2017-01-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,116.9,174.0,116.1,163.5,163.5,10302800.0,10302800.0,28.300000000000022,0.390709677419355,147.34623677419356
2017-04-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,162.4,172.4,109.6,118.4,118.4,14429800.0,14429800.0,-23.3,-0.26055555555555543,135.19841285714284
2017-07-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,109.8,149.6,90.3,114.4,114.4,16513600.0,16513600.0,8.999999999999998,0.16746031746031748,121.06507888888888
2017-10-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,114.6,131.6,90.7,116.1,116.1,14297800.0,14297800.0,3.600000000000001,0.09658730158730154,113.70052873015871
2018-01-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,119.1,129.0,95.4,99.1,99.1,17481700.0,17481700.0,-9.7,-0.13408196721311483,109.19726770491805
2018-04-01,USLV,VelocityShares 3x Long Silver ETN,NASDAQ,2011-10-17,,103.4,118.0,87.9,90.8,90.8,22572300.0,22572300.0,-11.800000000000002,-0.16768750000000002,100.85208343750001
