datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2012-01-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,5320298326.25,156.75,212.5,150.0,188.75,188.75,75000.0,75000.0,49.75,0.764,178.16025666666664
2012-04-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,6595760574.0,188.25,239.0,154.5,234.0,234.0,38700.0,38700.0,39.5,0.4307619047619047,174.02777746031745
2012-07-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,5249830798.75,233.75,233.75,177.75,186.25,186.25,63600.0,63600.0,-23.0,-0.13633333333333342,186.9444444444444
2012-10-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,4509921760.0,187.0,206.25,131.5,160.0,160.0,55100.0,55100.0,-9.0,-0.06990322580645161,151.89785048387094
2013-01-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,4756558106.25,162.5,174.5,153.0,168.75,168.75,43800.0,43800.0,0.5,0.025166666666666636,164.87500033333333
2013-04-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,5475326886.75,169.0,218.5,149.25,194.25,194.25,293600.0,293600.0,11.0,0.12206250000000012,170.23177109374996
2013-07-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,8103765662.5,197.0,296.0,184.25,287.5,287.5,408100.0,408100.0,53.0,0.36489062499999997,219.0976559375
2013-10-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,9122049531.0,287.5,344.5,252.0,309.75,309.75,436800.0,436800.0,-59.75,-0.24253124999999998,302.31380171875
2014-01-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,9586774312.5,309.0,384.75,265.0,288.75,288.75,677900.0,677900.0,-105.75,-0.5015901639344261,311.0218585245901
2014-04-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,8908301374.0,291.0,300.0,202.5,268.25,268.25,478300.0,478300.0,-46.25,-0.23780952380952392,241.305555079365
2014-07-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,9134207028.0,270.0,290.0,213.75,274.0,274.0,425700.0,425700.0,4.0,0.05865624999999989,246.2291665625
2014-10-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,20060437062.75,275.5,617.75,271.5,587.75,587.75,1252200.0,1252200.0,168.75,0.6820624999999998,372.703125
2015-01-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,36600734598.0,592.0,1040.75,538.0,857.75,857.75,2989100.0,2989100.0,142.75,0.35344262295081963,751.1420763934427
2015-04-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,37092658531.0,855.25,992.0,778.75,859.0,859.0,2167800.0,2167800.0,-22.5,0.009539682539682624,883.7394177777777
2015-07-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,30225271344.0,870.5,1174.75,600.0,696.0,696.0,2289500.0,2289500.0,-203.25,-0.29215625,928.7929690625
2015-10-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,33904864383.5,692.0,869.75,385.75,778.25,778.25,4185600.0,4185600.0,220.5,0.6941874999999996,693.3111976562501
2016-01-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,20959657362.0,754.5,755.0,350.75,438.0,438.0,2327900.0,2327900.0,-284.75,-0.7545245901639347,454.40983622950813
2016-04-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,19942766895.0,431.75,500.5,358.0,412.25,412.25,1742200.0,1742200.0,-27.75,-0.040812499999999995,441.54557296875
2016-07-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,30018154925.0,410.5,673.75,408.5,605.0,605.0,2087000.0,2087000.0,41.75,0.20515625000000007,537.9453129687499
2016-10-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,3521952980.0,602.25,612.0,63.75,70.0,70.0,6999900.0,6999900.0,-198.5,-1.1096666666666668,299.2354495238095
2017-01-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,4912866375.0,72.5,118.75,68.75,93.75,93.75,5158200.0,5158200.0,2.75,0.1258225806451613,86.5846769354839
2017-04-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,6031892255.0,95.0,118.75,90.0,115.0,115.0,2057100.0,2057100.0,13.25,0.24131746031746035,98.66402095238094
2017-07-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,4263233650.0,113.75,121.25,65.0,81.25,81.25,1872200.0,1872200.0,-49.0,-0.7026984126984127,88.58862428571429
2017-10-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,282570834.0,81.25,91.0,51.25,79.0,79.0,2049100.0,2049100.0,-2.25,0.05676190476190462,72.77063492063492
2018-01-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,1143954900.0,78.75,86.25,36.5,37.0,37.0,1911300.0,1911300.0,-37.35,-1.0618852459016395,65.96284163934426
2018-04-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,1131361815.25,37.0,46.0,26.0,31.75,31.75,4822700.0,4822700.0,-7.65,-0.1582500000000001,36.08671875
2018-07-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,839397179.25,32.75,34.5,19.0,19.75,19.75,5251500.0,5251500.0,-17.45,-1.036492063492064,25.35026444444444
2018-10-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,36267588.6,22.45,23.0,3.2,3.95,3.95,7415100.0,7415100.0,-22.9,-3.1385079365079362,12.918254126984124
2019-01-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,40221567.45,4.0,10.1,3.36,3.55,3.55,25408600.0,25408600.0,-2.5999999999999996,-0.2517213114754092,5.4243162295081975
2019-04-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,76922212.5,3.55,7.6,1.62,6.65,6.65,146749300.0,146749300.0,0.2999999999999997,0.2685238095238096,3.7979896825396833
2019-07-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,46700423.49,6.97,8.6,2.17,3.81,3.81,49488100.0,49488100.0,-2.0099999999999985,-0.2872812499999996,3.6271878125000003
2019-10-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,6496384.37,3.78,5.62,0.39,0.53,0.53,33777600.0,33777600.0,-0.20999999999999994,0.738703125,2.4365612500000013
2020-01-01,MLNT,Melinta Therapeutics Inc.,NASDAQ,2012-02-06,5393224.76,0.53,0.62,0.3,0.44,0.44,8414659.0,8414659.0,0.06000000000000001,1.3949999999999998,0.49166666666666675
