datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1992-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,12.5,14.81,12.17,14.81,3.741895,0.0,0.0,0.0,0.0,
1993-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,14.62,17.02,13.78,15.64,3.967491,0.0,0.0,0.0,0.0,
1994-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,15.47,16.620001,13.71,15.11,3.833043,0.0,0.0,0.0,0.0,
1995-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,14.93,19.48,14.84,16.49,4.183116,0.0,0.0,0.0,0.0,
1996-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,16.450001,19.74,14.52,14.61,4.770084,0.0,0.0,0.0,0.0,
1997-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,14.44,18.09,12.77,15.64,5.331348,0.0,0.0,0.0,0.0,
1998-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,15.6,18.01,10.43,14.14,5.138323,0.0,0.0,0.0,0.0,
1999-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,13.96,16.18,11.98,16.18,5.879638,0.0,0.0,0.0,0.0,
2000-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,15.83,19.08,12.45,13.76,5.895331,0.0,0.0,0.0,0.0,
2001-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,12.94,14.17,10.38,13.34,5.715385,0.0,0.0,0.0,0.0,
2002-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,13.28,14.64,10.1,11.48,4.918487,0.0,0.0,0.0,0.0,
2003-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,11.76,15.99,10.14,15.73,6.739356,0.0,0.0,0.0,0.0,
2004-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,15.87,18.51,14.45,17.74,7.899693,0.0,0.0,0.0,0.0,
2005-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,17.450001,18.93,15.77,16.879999,8.174423,0.0,0.0,0.0,0.0,
2006-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,17.15,19.42,16.1,17.459999,9.080487,0.0,0.0,0.0,0.0,
2007-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,17.49,20.02,16.950001,16.950001,9.847255,0.0,0.0,0.0,0.0,
2008-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,16.68,16.68,8.26,9.69,5.983094,0.0,0.0,0.0,0.0,
2009-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,9.8,12.8,7.28,12.64,7.804574,0.0,0.0,0.0,0.0,
2010-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,12.94,16.139999,11.78,15.95,9.848334,0.0,0.0,0.0,0.0,
2011-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,16.24,18.4,13.07,15.9,9.817461,0.0,0.0,0.0,0.0,
2012-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,16.09,18.389999,15.64,18.059999,11.151155,0.0,0.0,0.0,0.0,
2013-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,18.540001,25.440001,18.540001,24.950001,15.75426,0.0,0.0,0.0,0.0,
2014-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,24.59,25.809999,22.559999,23.440001,16.464991,0.0,0.0,0.0,0.0,
2015-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,23.27,26.32,22.43,22.629999,16.847307,0.0,0.0,0.0,0.0,
2016-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,21.98,27.690001,19.469999,24.41,20.319525,0.0,0.0,0.0,0.0,
2017-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,24.540001,27.83,24.17,25.049999,23.138838,0.0,0.0,0.0,0.0,
2018-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,25.25,29.41,20.23,21.709999,21.291821,0.0,0.0,0.0,0.0,
2019-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,21.66,27.49,21.110001,27.09,27.09,0.0,0.0,0.0,0.0,
2020-01-01,DTSGX,Wilshire Small Company Growth Portfolio Investment Class Shares,NASDAQ,1992-09-30,,27.24,29.25,17.860001,27.74,27.74,0.0,0.0,0.0,0.0,
