datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1996-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,101187600.0,232.0442,418.5083,223.7569,273.4807,273.4807,15200.0,15200.0,-64.7444,-0.33585000000000004,363.78338916666655
1997-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,74584000.0,277.6243,314.9171,70.442,186.4641,186.4641,467600.0,467600.0,-370.33940000000007,-0.9503211009174307,145.45449793577978
1998-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,50552000.0,182.3204,203.0387,61.1188,126.3812,126.3812,599800.0,599800.0,-255.35219999999993,-0.6239801587301588,132.3931990476191
1999-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,359003100.0,122.2376,646.4088,91.1602,629.8342,629.8342,1030300.0,1030300.0,161.60229999999999,0.17994820717131466,227.50709466135459
2000-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,949716900.0,631.9061,2164.6409,497.2376,1172.4862,1172.4862,1819100.0,1819100.0,-67.87389999999994,0.1714841269841267,1213.097428253967
2001-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,273159600.0,1164.1989,1314.3646,174.0331,325.1934,325.1934,2374100.0,2374100.0,-551.9344000000003,-0.2202580645161291,681.8543924596778
2002-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,39816000.0,323.5359,325.1934,39.779,47.4033,47.4033,1455100.0,1455100.0,-404.75180000000034,-0.8651031746031748,132.17354892857134
2003-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,84216000.0,48.3978,132.5967,45.0829,96.7956,96.7956,1559400.0,1559400.0,32.15509999999999,0.3462231075697212,73.72719310756972
2004-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,104605200.0,96.7956,195.2486,59.6685,106.7403,106.7403,1558700.0,1558700.0,-16.904799999999998,0.015500000000000048,105.71823301587304
2005-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,47874000.0,106.0773,107.4033,39.4475,47.4033,47.4033,1109200.0,1109200.0,-98.1213,-0.5692936507936507,67.7725153174603
2006-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,126569000.0,48.0663,165.4144,44.7514,110.0553,110.0553,2377300.0,2377300.0,-20.219700000000014,0.022382470119521932,79.23664800796814
2007-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,77966000.0,111.3812,111.3812,48.7293,55.6906,55.6906,1494900.0,1494900.0,-48.727899999999984,-0.16649402390438256,73.84032988047812
2008-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,1168200.0,56.0221,56.0221,0.3315,0.663,0.663,2783000.0,2783000.0,-81.87809999999999,-2.885027667984189,27.286706561264815
2009-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,137060300.0,0.9945,82.2099,0.663,76.5746,76.5746,2278600.0,2278600.0,-17.568899999999996,0.5635,34.361581785714286
2010-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,71010000.0,76.2431,82.5414,28.8398,39.4475,39.4475,782600.0,782600.0,30.827900000000003,0.4713333333333332,46.09927103174599
2011-01-01,TTNP,Titan Pharmaceuticals Inc.,NASDAQ,1996-01-31,68022000.0,38.7845,73.5912,35.1381,37.7901,37.7901,1044700.0,1044700.0,34.47550000000001,0.42785317460317457,50.908092698412695
