datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1998-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,83740000.0,60.0,60.0,49.0,53.0,53.0,24300.0,24300.0,-4.0,-0.39237500000000003,54.979166875000004
1999-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,70890000.0,54.0,66.0,36.0,51.0,51.0,429600.0,429600.0,-46.25,-0.2815546558704452,51.26686866396757
2000-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,25650000.0,52.0,196.0,12.0,15.0,15.0,1580500.0,1580500.0,-180.75,-1.1000714285714286,53.70667988095238
2001-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,21606400.0,16.0,27.2,5.92,10.24,10.24,382400.0,382400.0,-14.840000000000012,-0.08617499999999995,14.810777708333331
2002-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,13176000.0,10.24,14.24,2.08,4.32,4.32,844300.0,844300.0,-2.2399999999999975,0.47929707112970726,6.531883389121338
2003-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,75600000.0,4.64,23.2,3.36,20.0,20.0,6608400.0,6608400.0,-4.479999999999999,0.41169076305220864,10.923052329317267
2004-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,74229600.0,20.0,31.04,9.48,15.76,15.76,5833600.0,5833600.0,-19.88000000000001,-0.19493650793650788,19.281428373015885
2005-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,43765600.0,15.88,20.24,7.96,9.08,9.08,2698700.0,2698700.0,-9.599999999999994,-0.18152777777777784,12.531904484126981
2006-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,114886800.0,9.2,15.24,7.64,13.16,13.16,5315700.0,5315700.0,1.3200000000000014,0.1662350597609562,10.374448764940233
2007-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,40406400.0,13.36,17.04,3.32,3.68,3.68,5351200.0,5351200.0,-18.279999999999994,-0.850597609561753,9.827835099601582
2008-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,22880000.0,3.76,6.36,0.6,2.08,2.08,3752100.0,3752100.0,-8.04,-0.8999644268774708,3.2528590909090913
2009-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,116736000.0,2.08,13.6,0.72,4.56,4.56,84652800.0,84652800.0,-18.279999999999998,-1.238761904761906,3.984285753968253
2010-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,119968000.0,4.2,6.2,3.04,4.6,4.6,30425700.0,30425700.0,-8.08,-0.5801785714285714,4.691586865079368
2011-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,55642000.0,4.64,6.24,1.4,1.72,1.72,33387100.0,33387100.0,-11.999999999999993,-1.2563253968253967,3.3037035714285707
2012-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,70360000.0,1.76,3.6,1.52,2.0,2.0,37177000.0,37177000.0,-7.800000000000004,-1.190876,2.2118398400000023
2013-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,605636000.0,2.04,12.12,1.96,11.6,11.6,287071700.0,287071700.0,-6.199999999999998,-0.31770634920634944,5.1516930952380955
2014-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,556583400.0,11.68,15.8,7.48,9.18,9.18,382458000.0,382458000.0,-14.239999999999997,-0.42657539682539686,10.5828571031746
2015-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,485116800.0,9.3,10.83,5.32,6.72,6.72,310224800.0,310224800.0,-7.280000000000004,-0.3053650793650796,7.713439325396822
2016-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,513976400.0,6.51,11.69,4.5,6.94,6.94,387394400.0,387394400.0,-4.909999999999999,-0.18140476190476185,8.356322936507938
2017-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,373475900.0,6.97,9.86,4.09,4.13,4.13,318509000.0,318509000.0,-7.370000000000002,-0.4139442231075696,6.292788764940238
2018-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,384438560.0,4.18,6.3,3.64,4.0,4.0,260381000.0,260381000.0,-2.93,-0.19342629482071713,4.707569760956176
2019-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,330854271.0,3.93,5.11,1.92,3.3,3.3,249706500.0,249706500.0,-0.3100000000000002,0.021551587301587346,3.1223016269841284
2020-01-01,INO,Inovio Pharmaceuticals Inc.,NASDAQ,1998-12-08,2123650091.5000002,3.39,33.79,2.95,13.63,13.63,5446295962.0,5446295962.0,-0.45000000000000107,-0.20573033707865188,11.811929157303377
