datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1998-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,8.43,8.63,8.43,8.63,6.530953,0.0,0.0,0.0,0.0,
1999-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,8.82,9.88,7.99,9.47,7.43678,0.0,0.0,0.0,0.0,
2000-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,9.59,9.73,7.88,8.8,6.911459,0.0,0.0,0.0,0.0,
2001-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,8.8,9.73,6.86,8.49,6.69087,0.0,0.0,0.0,0.0,
2002-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,8.57,10.36,7.39,8.43,6.71101,0.0,0.0,0.0,0.0,
2003-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,8.54,12.38,7.68,12.38,9.985694,0.0,0.0,0.0,0.0,
2004-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,12.53,15.55,12.32,15.5,12.622099,0.0,0.0,0.0,0.0,
2005-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,15.5,17.75,14.98,17.68,14.532002,0.0,0.0,0.0,0.0,
2006-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,18.059999,22.57,17.950001,21.99,18.175245,0.0,0.0,0.0,0.0,
2007-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,22.01,24.540001,19.68,20.379999,17.027977,0.0,0.0,0.0,0.0,
2008-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,20.32,20.879999,8.27,9.55,8.136895,0.0,0.0,0.0,0.0,
2009-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,9.75,12.63,6.71,11.78,10.363088,0.0,0.0,0.0,0.0,
2010-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,12.07,13.99,10.41,13.99,12.494808,0.0,0.0,0.0,0.0,
2011-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,14.09,15.52,11.21,11.74,10.575166,0.0,0.0,0.0,0.0,
2012-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,12.03,14.92,11.76,14.82,13.456118,0.0,0.0,0.0,0.0,
2013-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,15.09,18.790001,15.03,18.790001,17.21373,0.0,0.0,0.0,0.0,
2014-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,18.57,20.030001,17.030001,17.6,16.34984,0.0,0.0,0.0,0.0,
2015-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,17.440001,19.76,16.49,17.17,16.284449,0.0,0.0,0.0,0.0,
2016-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,16.690001,18.09,15.08,17.76,17.065199,0.0,0.0,0.0,0.0,
2017-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,17.84,22.110001,17.84,22.110001,21.449488,0.0,0.0,0.0,0.0,
2018-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,22.24,23.59,18.610001,18.969999,18.672794,0.0,0.0,0.0,0.0,
2019-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,18.889999,22.120001,18.860001,22.09,22.09,0.0,0.0,0.0,0.0,
2020-01-01,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,NASDAQ,1998-12-18,,22.059999,22.059999,12.57,18.51,18.51,0.0,0.0,0.0,0.0,
