datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2004-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,10.0,10.26,10.0,10.25,5.977062,0.0,0.0,0.0,0.0,
2005-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,10.14,11.63,9.76,11.41,6.682494,0.0,0.0,0.0,0.0,
2006-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,11.59,13.01,11.26,12.61,7.504867,0.0,0.0,0.0,0.0,
2007-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,12.61,14.43,12.4,13.15,8.047463,0.0,0.0,0.0,0.0,
2008-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,13.01,13.48,7.48,8.91,5.527457,0.0,0.0,0.0,0.0,
2009-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,9.2,12.34,7.28,12.11,7.570387,0.0,0.0,0.0,0.0,
2010-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,12.26,13.91,11.11,13.77,8.696958,0.0,0.0,0.0,0.0,
2011-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,13.89,15.02,12.02,13.49,8.622478,0.0,0.0,0.0,0.0,
2012-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,13.68,15.49,13.37,14.93,9.881939,0.0,0.0,0.0,0.0,
2013-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,15.25,19.98,15.23,19.440001,13.451439,0.0,0.0,0.0,0.0,
2014-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,19.290001,23.52,18.76,21.639999,16.050388,0.0,0.0,0.0,0.0,
2015-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,21.65,22.75,19.719999,20.82,16.202227,0.0,0.0,0.0,0.0,
2016-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,20.469999,23.74,18.35,22.18,18.20558,0.0,0.0,0.0,0.0,
2017-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,22.35,27.92,22.35,26.9,22.987959,0.0,0.0,0.0,0.0,
2018-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,27.26,30.09,21.969999,23.4,21.863365,0.0,0.0,0.0,0.0,
2019-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,23.459999,29.709999,22.799999,27.92,27.92,0.0,0.0,0.0,0.0,
2020-01-01,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,NASDAQ,2004-12-09,,28.200001,28.76,18.809999,27.41,27.41,0.0,0.0,0.0,0.0,
