datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2007-01-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,169.2667,169.2667,169.2667,169.2667,169.2667,700.0,700.0,0.0,0.0,169.2667
2007-02-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,164.9053,170.4363,163.6363,168.7063,168.7063,5300.0,5300.0,3.0798,0.21011111111111114,166.40058444444446
2007-03-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,173.3522,176.4158,165.4832,168.2921,168.2921,36200.0,36200.0,-8.600100000000001,-0.2865294117647059,170.58989411764708
2007-04-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,166.8545,166.8545,161.9571,161.9571,161.9571,3300.0,3300.0,-5.16,-0.28245454545454546,164.42372636363635
2007-05-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,165.6023,166.2484,156.8657,158.8871,158.8871,22300.0,22300.0,-0.5600999999999997,-0.007850000000000006,161.7686235
2007-06-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,156.8931,165.2698,156.2931,160.8387,160.8387,26500.0,26500.0,4.1603,0.14379999999999996,160.85964650000005
2007-07-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,160.5313,175.1217,157.3804,170.1451,170.1451,26800.0,26800.0,10.24,0.3199000000000001,162.2094275
2007-08-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,174.0329,185.5307,165.1366,169.078,169.078,63700.0,63700.0,4.7596000000000025,0.15665217391304345,171.5513173913044
2007-09-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,169.8584,175.6051,162.9726,166.6079,166.6079,12800.0,12800.0,-7.400200000000002,-0.21384210526315792,168.68815473684208
2007-10-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,167.0268,175.1181,156.991,165.2284,165.2284,20600.0,20600.0,5.759899999999999,0.21385000000000004,164.7849005
2007-11-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,167.3439,187.3156,161.8756,178.2702,178.2702,41500.0,41500.0,20.8,0.6044285714285714,177.46417428571428
2007-12-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,178.6965,186.7222,168.793,179.1241,179.1241,49200.0,49200.0,14.039999999999997,0.4113500000000002,178.04447850000003
2008-01-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,178.264,286.3247,177.9945,189.6623,189.6623,92200.0,92200.0,-67.3998,-1.1485714285714288,196.29346571428573
2008-02-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,189.4919,201.1209,181.8661,194.1461,194.1461,80800.0,80800.0,-11.680099999999998,-0.24054999999999996,189.83855049999997
2008-03-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,197.6434,207.2221,177.2587,193.1815,193.1815,80300.0,80300.0,-11.8402,-0.21945000000000006,195.68246100000002
2008-04-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,196.0327,196.0327,177.6625,185.7025,185.7025,30200.0,30200.0,-5.4801,-0.10904545454545457,187.38490863636363
2008-05-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,186.025,186.3541,168.309,177.5113,177.5113,21000.0,21000.0,2.4000000000000004,0.08494736842105269,180.99988473684206
2008-06-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,176.15,191.2375,174.4948,191.0891,191.0891,37400.0,37400.0,13.519799999999998,0.35842857142857143,182.24319523809524
2008-07-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,194.2373,208.7254,181.3969,187.0576,187.0576,70600.0,70600.0,-15.399700000000001,-0.28723809523809535,193.40681761904756
2008-08-01,SBB,ProShares Short SmallCap600,NYSE Arca,2007-01-25,,190.8783,190.8783,170.0933,179.3518,179.3518,43500.0,43500.0,-5.4002000000000026,-0.09766666666666676,180.74534476190476
