datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2013-06-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,92.91,96.2,79.76,85.46,,111823.0,111823.0,-7.369999999999999,-0.480625,89.94403750000002
2013-07-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,87.64,97.37,83.44,97.37,,95181.0,95181.0,11.91,0.6068636363636364,92.2970909090909
2013-08-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,97.64,101.2,93.5701,93.97,,981676.0,981676.0,-3.3999999999999995,-0.15227272727272723,98.71174545454542
2013-09-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,96.76,110.27,94.92,106.249,,179660.0,179660.0,12.279000000000002,0.62525,103.64044999999999
2013-10-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,106.83,117.74,101.72,115.14,,144960.0,144960.0,8.891,0.3600869565217392,110.69628260869564
2013-11-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,114.24,118.09,109.71,117.53,,126366.0,126366.0,2.39,0.10914999999999997,114.28765500000002
2013-12-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,116.21,123.0401,108.4,122.61,,116568.0,116568.0,5.080000000000001,0.21252380952380956,114.55287142857142
2014-01-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,119.27,123.71,108.83,111.56,,171757.0,171757.0,-11.05,-0.430047619047619,118.72347142857143
2014-02-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,111.24,126.68,107.6,125.51,,104976.0,104976.0,13.950000000000003,0.6332631578947369,119.09801578947369
2014-03-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,122.2,126.1,114.97,123.38,,87319.0,87319.0,-2.130000000000001,-0.06390476190476187,120.53614285714283
2014-04-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,124.76,130.36,110.0,130.34,,70867.0,70867.0,6.959999999999999,0.26871428571428574,118.7089333333333
2014-05-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,130.599,133.12,127.94,132.72,,75294.0,75294.0,2.38,0.08814285714285716,131.40799523809522
2014-06-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,132.5,136.8,130.0,132.482,,126318.0,126318.0,-0.23799999999999988,-0.006380952380952394,133.16531904761908
2014-07-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,134.1299,136.429,123.56,123.77,,87936.0,87936.0,-8.712,-0.2981363636363636,130.36849545454544
2014-08-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,121.97,126.935,118.181,125.76,,97176.0,97176.0,1.9900000000000007,0.08128571428571425,122.74596666666667
2014-09-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,125.6909,128.3,90.0,118.17,,101308.0,101308.0,-7.59,-0.288,123.31049523809526
2014-10-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,116.55,117.22,98.5821,112.07,,126238.0,126238.0,-6.100000000000003,-0.20100000000000004,108.40268695652175
2014-11-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,110.09,117.56,107.8,115.799,,78425.0,78425.0,3.729,0.1796315789473684,112.07212631578949
2014-12-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,115.69,116.0,98.4,103.8939,,122636.0,122636.0,-11.905100000000001,-0.4747727272727271,108.80216363636364
2015-01-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,104.03,108.62,94.2101,103.49,,179352.0,179352.0,-0.40390000000000015,0.009850000000000025,101.83767000000003
2015-02-01,FEEU,Barclays ETN FI Enhanced Europe 50 ETN,NYSE Arca,2013-06-07,,104.0,115.91,104.0,114.94,,135314.0,135314.0,11.45,0.5681052631578948,111.24812105263159
