datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2015-05-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,22.0387,22.8778,21.862,22.4185,22.4185,22100.0,22100.0,-0.3399000000000001,-0.10928571428571428,22.392661428571426
2015-06-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,22.4361,23.047,22.1846,22.357,22.357,90300.0,90300.0,0.13600000000000007,0.03175000000000002,22.537151500000004
2015-07-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,22.8619,23.2329,21.4529,22.6117,22.6117,94600.0,94600.0,1.7400000000000004,0.451,22.441676111111107
2015-08-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,22.5496,22.9578,20.7126,21.6178,21.6178,39900.0,39900.0,-1.123,-0.31481250000000005,22.082561874999996
2015-09-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,21.0974,21.7065,20.7836,20.7836,20.7836,16100.0,16100.0,-0.11099999999999999,-0.04969999999999999,21.233547
2015-10-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,21.1208,21.9816,21.1208,21.7686,21.7686,12000.0,12000.0,-0.009,-0.0042,21.733873
2015-11-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,21.7695,22.0437,21.4469,21.9071,21.9071,16800.0,16800.0,-0.12500000000000006,-0.05760000000000002,21.77558
2015-12-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,22.2745,22.55,21.8227,22.4066,22.4066,17600.0,17600.0,0.025000000000000012,0.008461538461538465,22.247776153846157
2016-01-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,22.125,22.125,19.4514,20.4796,20.4796,40400.0,40400.0,-0.38200000000000006,-0.11864285714285715,20.90085428571428
2016-02-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,20.5693,20.5693,19.241,20.2914,20.2914,11700.0,11700.0,0.13,0.08474999999999998,19.98565875
2016-03-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,20.5827,21.9173,20.4886,21.9173,21.9173,21800.0,21800.0,0.22100000000000003,0.07807142857142858,21.079439999999998
2016-04-01,ISCF,iShares Edge MSCI Intl Size Factor,NYSE Arca,2015-05-01,,21.4383,22.2028,21.227,21.8724,21.8724,16300.0,16300.0,0.45899999999999996,0.19363636363636363,21.744033636363636
