datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2017-01-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,24.57,24.64,24.42,24.64,22.72,1300.0,1300.0,-0.14,-0.18999999999999997,24.55889
2017-02-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,24.62,24.96,24.62,24.96,23.02,121500.0,121500.0,0.03,0.006368421052631579,5.213684210526316
2017-03-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,24.96,25.79,24.96,25.79,23.78,5800.0,5800.0,0.44000000000000006,0.0753913043478261,8.848115652173913
2017-04-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,25.79,26.39,25.66,26.38,24.33,4100.0,4100.0,0.019999999999999997,0.003947368421052631,6.8385963157894745
2017-05-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,26.38,27.26,26.38,27.18,25.07,15200.0,15200.0,0.06999999999999999,0.011909090909090909,14.713939545454544
2017-06-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,27.18,27.18,26.87,27.05,25.23,3400.0,3400.0,0.07999999999999999,0.013409090909090909,7.3742422727272725
2017-07-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,27.05,28.22,26.84,27.9,26.03,9100.0,9100.0,-0.19,-0.03375,11.1091665
2017-08-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,28.24,28.28,27.5,28.18,26.29,24200.0,24200.0,-0.029999999999999992,-0.004826086956521737,19.447246086956522
2017-09-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,28.28,29.0,28.01,28.83,26.89,7800.0,7800.0,-0.17,-0.029449999999999997,24.351833500000005
2017-10-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,28.83,29.46,28.83,29.42,27.44,3700.0,3700.0,-0.05,-0.007727272727272728,10.617121363636363
2017-11-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,29.62,29.67,28.96,29.46,27.48,9900.0,9900.0,-0.050000000000000024,-0.007857142857142858,11.188570952380953
2017-12-01,FLIO,Franklin Liberty International Opportunities,NYSE Arca,2017-01-27,,29.6,29.79,28.94,29.4,28.21,8100.0,8100.0,-0.039999999999999994,-0.006750000000000001,14.703000499999998
