datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
1992-01-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,262668000.0,7.5617,7.5617,6.2492,6.4367,6.4367,19977200.0,19977200.0,-1.125,-14.878,6.7492
1992-02-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,376302000.0,6.4434,6.8251,5.7001,6.1474,6.1474,23507800.0,23507800.0,-0.4375,-0.21684210526315803,6.211632105263158
1992-03-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,327450000.0,5.9698,6.3448,4.9769,5.3519,5.3519,12446600.0,12446600.0,-1.875,-1.4015454545454544,5.53465
1992-04-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,296652000.0,5.1742,5.5296,4.2733,4.8456,4.8456,7290800.0,7290800.0,0.25,0.3321428571428572,5.038957142857144
1992-05-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,337600000.0,4.9179,5.1679,4.3787,4.6287,4.6287,7765200.0,7765200.0,-1.4375,-1.4497,4.8304
1992-06-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,305950000.0,4.3787,4.8063,3.8001,4.1947,4.1947,8920400.0,8920400.0,-1.0,-0.8856363636363634,4.282600000000001
1992-07-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,321986000.0,3.984,4.8197,3.9644,4.4117,4.4117,3832200.0,3832200.0,-0.1875,0.03245454545454543,4.3413427272727265
1992-08-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,311436000.0,4.3394,4.951,3.9644,4.267,4.267,4353600.0,4353600.0,0.375,0.48100000000000004,4.401701904761905
1992-09-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,332536000.0,4.1617,4.9313,4.0367,4.5563,4.5563,3172600.0,3172600.0,1.25,1.4508571428571428,4.483308095238096
1992-10-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,337600000.0,4.8197,4.8197,3.984,4.6287,4.6287,5473600.0,5473600.0,-0.4375,-0.26131818181818167,4.3577272727272724
1992-11-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,359550000.0,4.4246,5.4376,4.4246,4.9179,4.9179,5809600.0,5809600.0,0.875,0.9842500000000003,4.938432999999999
1992-12-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,375624000.0,4.9376,5.6349,4.8126,5.1349,5.1349,6791400.0,6791400.0,-0.3125,-0.19172727272727272,5.147065454545454
1993-01-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,401850000.0,5.2072,5.9046,5.0032,5.4965,5.4965,6792200.0,6792200.0,0.375,0.46950000000000003,5.4548885
1993-02-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,367939000.0,5.5689,5.9702,4.6876,5.2796,5.2796,7165200.0,7165200.0,-1.625,-1.5156315789473682,5.3926615789473695
1993-03-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,398164000.0,5.4769,6.0885,5.1939,5.7135,5.7135,5394000.0,5394000.0,-0.4375,-0.2527826086956521,5.630110869565217
1993-04-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,352625000.0,5.9965,5.9965,4.6679,5.0626,5.0626,5078800.0,5078800.0,-0.8125,-0.5699047619047617,5.059305238095238
1993-05-01,SMG,Scotts Miracle-Gro Company (The),NYSE,1992-01-31,323625000.0,5.0889,5.4046,4.7403,4.9903,4.9903,3657000.0,3657000.0,0.1875,0.24969999999999998,5.079726999999999
