datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2015-07-01,OOMA,Ooma Inc.,NYSE,2015-07-20,35080840.25,11.06,11.1,9.84,10.25,10.25,1619600.0,1619600.0,-0.5599999999999999,-0.48260000000000014,10.241865999999998
2015-08-01,OOMA,Ooma Inc.,NYSE,2015-07-20,30186635.22,10.25,11.45,8.75,8.82,8.82,3056900.0,3056900.0,-1.2799999999999998,-0.6081904761904763,10.273825714285712
2015-09-01,OOMA,Ooma Inc.,NYSE,2015-07-20,54736538.95,8.82,10.1,6.18,6.95,6.95,2239900.0,2239900.0,-3.01,-1.741238095238095,8.04573
2015-10-01,OOMA,Ooma Inc.,NYSE,2015-07-20,63478633.66,6.92,8.66,6.8,8.06,8.06,1462100.0,1462100.0,1.26,0.8296818181818182,7.907530454545454
2015-11-01,OOMA,Ooma Inc.,NYSE,2015-07-20,61037147.75,8.04,8.45,6.01,7.75,7.75,794000.0,794000.0,-0.37,-0.13205,6.844283999999999
2015-12-01,OOMA,Ooma Inc.,NYSE,2015-07-20,64599153.25,8.13,8.2,5.83,6.35,6.35,2113100.0,2113100.0,-1.48,-0.8963181818181819,6.927878636363635
2016-01-01,OOMA,Ooma Inc.,NYSE,2015-07-20,69075315.05,6.36,7.56,5.66,6.79,6.79,1594200.0,1594200.0,0.8200000000000001,0.7335789473684209,6.551157894736844
2016-02-01,OOMA,Ooma Inc.,NYSE,2015-07-20,61343762.85,6.74,7.26,5.75,6.03,6.03,1451900.0,1451900.0,-0.23000000000000007,-0.1329499999999999,6.495100000000001
2016-03-01,OOMA,Ooma Inc.,NYSE,2015-07-20,100653917.4,6.06,6.78,5.43,5.9,5.9,2114800.0,2114800.0,0.1899999999999998,0.19654545454545455,6.126577272727274
2016-04-01,OOMA,Ooma Inc.,NYSE,2015-07-20,120443501.16,5.85,7.3,5.85,7.06,7.06,1479900.0,1479900.0,0.9499999999999998,0.719142857142857,6.609984761904761
2016-05-01,OOMA,Ooma Inc.,NYSE,2015-07-20,117713903.4,7.05,7.12,6.22,6.9,6.9,754800.0,754800.0,-0.8700000000000001,-0.5791904761904763,6.659761428571428
2016-06-01,OOMA,Ooma Inc.,NYSE,2015-07-20,140709695.49,6.93,8.49,6.84,8.19,8.19,1055900.0,1055900.0,1.4200000000000004,0.8832727272727273,7.953378636363635
2016-07-01,OOMA,Ooma Inc.,NYSE,2015-07-20,146035703.5,8.15,8.67,7.81,8.5,8.5,777100.0,777100.0,0.11499999999999999,0.08065000000000003,8.374483500000002
2016-08-01,OOMA,Ooma Inc.,NYSE,2015-07-20,149987257.83,8.49,8.88,8.03,8.73,8.73,758900.0,758900.0,-0.38500000000000006,-0.17960869565217377,8.47939
2016-09-01,OOMA,Ooma Inc.,NYSE,2015-07-20,157426152.56,8.73,9.92,8.57,9.08,9.08,1955600.0,1955600.0,0.8349999999999997,0.49985714285714294,9.090364285714285
2016-10-01,OOMA,Ooma Inc.,NYSE,2015-07-20,149970949.3,9.07,9.27,8.39,8.65,8.65,1098600.0,1098600.0,-0.4000000000000001,-0.1926666666666667,8.831523809523809
2016-11-01,OOMA,Ooma Inc.,NYSE,2015-07-20,161240442.6,8.65,9.9,8.4,9.3,9.3,1314200.0,1314200.0,0.6349999999999999,0.39042857142857135,8.884730476190478
2016-12-01,OOMA,Ooma Inc.,NYSE,2015-07-20,157414032.0,9.2,9.65,8.4,9.0,9.0,1190700.0,1190700.0,0.675,0.39395238095238094,9.046825238095241
