datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2000-01-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,50.7,53.5,50.0,52.35,22.53,14117.0,14117.0,0.29999999999999993,0.031476190476190456,52.07698285714285
2000-02-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,52.3,54.15,48.35,52.5,22.59,15356.0,15356.0,-1.4999999999999998,-0.13795238095238097,51.96825428571428
2000-03-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,52.5,55.4,52.5,54.0,23.24,14876.0,14876.0,-2.1,-0.16721739130434776,53.413043043478254
2000-04-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,55.05,57.2,54.0,55.95,24.08,12175.0,12175.0,-1.9,-0.16875,49.7466665
2000-05-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,55.95,60.0,55.15,56.5,24.95,11873.0,11873.0,-7.499999999999999,-0.5554347826086955,54.07173913043478
2000-06-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,56.5,60.0,55.2,58.0,25.62,9272.0,9272.0,1.2999999999999998,0.10259090909090908,54.832576363636356
2000-07-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,58.0,62.0,57.0,58.4,25.79,6708.0,6708.0,-0.6000000000000001,-0.03961904761904761,56.019047619047605
2000-08-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,58.4,61.5,58.3,60.1,26.54,3250.0,3250.0,-0.04999999999999996,0.0013478260869565241,59.62681130434782
2000-09-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,60.2,60.2,57.6,58.65,25.9,5763.0,5763.0,-1.3,-0.10138095238095238,59.07460333333332
2000-10-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,59.45,59.45,56.25,59.0,26.06,7239.0,7239.0,3.4999999999999996,0.28145454545454546,56.093181818181804
2000-11-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,58.9,61.75,57.7,61.7,27.25,13053.0,13053.0,1.2499999999999998,0.10313636363636364,59.499243181818194
2000-12-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,62.0,73.2,62.0,72.0,31.8,18658.0,18658.0,5.749999999999999,0.47052631578947374,66.31929789473683
2001-01-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,75.0,84.0,67.7,67.7,29.9,11734.0,11734.0,-12.299999999999999,-0.7859,75.91583349999999
2001-02-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,67.7,72.8,63.7,72.4,31.98,9640.0,9640.0,5.95,0.44075,68.37083250000002
2001-03-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,72.8,73.0,68.0,68.0,30.03,5503.0,5503.0,-3.9499999999999997,-0.26580952380952383,71.44920619047619
2001-04-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,67.0,73.4,65.7,72.0,31.8,5904.0,5904.0,-1.1999999999999997,-0.08999999999999997,70.02543842105263
2001-05-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,72.0,79.9,70.3,78.8,35.52,4886.0,4886.0,4.949999999999999,0.33309999999999995,75.4099995
2001-06-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,78.55,82.0,74.9,79.8,35.97,8123.0,8123.0,-0.45,-0.018799999999999994,78.966667
2001-07-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,80.55,86.1,70.2,72.5,32.68,6377.0,6377.0,-6.4,-0.37809523809523815,79.76904857142857
2001-08-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,74.0,78.9,71.0,73.5,33.13,3192.0,3192.0,-0.05000000000000021,-0.0012608695652173876,70.98985521739131
2001-09-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,73.2,74.0,54.05,68.0,30.65,6786.0,6786.0,-1.1500000000000008,-0.06578947368421041,69.55175421052631
2001-10-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,80.4,80.4,74.0,79.8,35.97,8612.0,8612.0,-4.150000000000001,-0.24585714285714283,76.89047571428571
2001-11-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,79.6,80.4,67.0,74.0,33.36,1003016.0,1003016.0,-8.45,-0.49854545454545457,76.70378818181817
2001-12-01,CIV.PA,Caisse regionale de Credit Agricole Mutuel d'Ille-et-Vilaine Societe cooperative,Paris,2000-01-03,,74.0,80.0,71.0,76.0,34.26,7194.0,7194.0,5.0,0.3728888888888889,75.79629611111109
