datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2000-01-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,14.1,16.75,12.53,15.6,4.39,151392.0,151392.0,-0.93,-0.26314285714285707,12.827619047619047
2000-02-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,16.2,21.0,15.38,21.0,5.91,125924.0,125924.0,0.3899999999999999,0.13333333333333333,16.967143809523808
2000-03-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,23.15,26.0,18.53,18.53,5.21,206916.0,206916.0,2.08,0.40700000000000003,20.89855
2000-04-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,19.1,19.88,15.0,18.75,5.27,80376.0,80376.0,7.4,2.1855,16.068667
2000-05-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,18.75,19.7,15.7,16.75,4.71,62612.0,62612.0,2.1399999999999997,0.5448695652173915,16.90478304347826
2000-06-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,16.75,17.55,16.0,17.33,4.87,37044.0,37044.0,4.05,1.1411818181818183,15.402575454545454
2000-07-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,16.35,17.5,10.51,12.53,3.67,59612.0,59612.0,-0.35000000000000003,-0.1179047619047619,12.999047619047618
2000-08-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,13.8,15.23,13.75,14.75,4.32,41612.0,41612.0,-0.2499999999999999,-0.0507391304347826,14.306376521739134
2000-09-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,14.75,14.75,12.13,14.0,4.1,46060.0,46060.0,-0.1599999999999999,-0.012476190476190393,13.362222857142857
2000-10-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,14.13,14.23,12.76,13.9,4.07,27112.0,27112.0,-0.9299999999999999,-0.2982727272727273,13.62318227272727
2000-11-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,14.0,14.0,11.75,12.2,3.57,17168.0,17168.0,-1.1500000000000001,-0.3726818181818181,13.038788181818182
2000-12-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,12.3,12.63,11.0,12.5,3.66,40884.0,40884.0,1.0,0.47194736842105267,11.862105789473686
2001-01-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,12.75,13.23,11.25,12.95,3.79,37836.0,37836.0,-1.46,-0.5472500000000002,12.181667
2001-02-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,12.95,13.5,12.25,12.85,3.76,24452.0,24452.0,-0.07000000000000003,-0.022649999999999993,12.807333500000002
2001-03-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,12.98,12.98,11.52,12.0,3.51,42772.0,42772.0,-0.029999999999999916,0.010952380952380983,12.29968285714286
2001-04-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,11.5,12.0,11.01,11.63,3.62,19140.0,19140.0,3.3300000000000005,1.5442105263157897,11.629473157894736
2001-05-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,11.63,13.18,11.5,12.5,3.89,30056.0,30056.0,-0.32999999999999996,-0.08264999999999996,12.325833999999999
2001-06-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,12.5,12.68,11.98,12.5,3.89,44688.0,44688.0,0.7900000000000001,0.32675,12.394000000000002
2001-07-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,12.5,12.5,11.75,12.25,3.81,16408.0,16408.0,1.37,0.558047619047619,12.249840476190476
2001-08-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,12.25,12.25,11.0,11.56,3.59,6052.0,6052.0,0.72,0.2773478260869565,11.972609130434781
2001-09-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,11.25,11.25,5.22,6.5,2.02,27652.0,27652.0,-3.4699999999999998,-1.735947368421053,7.912806315789474
2001-10-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,7.29,7.75,6.43,7.35,2.29,13396.0,13396.0,0.5000000000000001,0.3854761904761906,7.060634761904763
2001-11-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,7.36,7.36,5.26,5.85,1.82,28680.0,28680.0,0.98,0.8664090909090908,6.152878636363636
2001-12-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,5.75,7.25,5.45,6.75,2.1,73552.0,73552.0,0.9600000000000002,0.7719047619047621,5.447778095238095
2002-01-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,6.75,7.0,6.11,6.75,2.1,38904.0,38904.0,1.4100000000000001,0.972304347826087,6.441884347826087
2002-02-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,6.75,9.08,6.56,8.25,2.57,50464.0,50464.0,-0.20999999999999994,-0.09044999999999999,8.1386665
2002-03-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,8.25,9.62,8.0,9.02,2.81,21096.0,21096.0,1.7799999999999998,0.9932380952380955,8.466508571428573
2002-04-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,9.02,9.72,8.0,8.5,2.64,19708.0,19708.0,-0.2,-0.102,8.483636363636364
2002-05-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,8.5,8.65,7.5,8.0,2.49,11148.0,11148.0,-0.49,-0.24752173913043476,8.016231304347826
2002-06-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,8.0,8.0,5.63,6.08,2.13,11276.0,11276.0,-1.73,-1.2013500000000001,7.3646675
2002-07-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,6.08,6.46,5.25,6.05,2.12,13756.0,13756.0,0.68,0.5637391304347826,5.973333043478261
2002-08-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,6.05,6.05,4.63,4.93,1.73,14620.0,14620.0,-0.49999999999999994,-0.3213181818181818,5.071514545454547
2002-09-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,4.93,4.93,2.0,2.17,0.76,27612.0,27612.0,-2.79,-3.994047619047619,3.8877776190476188
2002-10-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,2.17,2.21,1.23,2.2,0.77,111280.0,111280.0,-0.6500000000000001,-1.3311739130434785,1.8078269565217386
2002-11-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,2.2,3.35,2.0,2.82,0.99,52052.0,52052.0,-0.5499999999999999,-0.7504285714285717,2.6000009523809524
2002-12-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,2.83,2.88,1.71,1.87,0.66,15608.0,15608.0,-0.59,-1.1298636363636363,2.264848636363637
2003-01-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,1.87,2.72,1.8,2.26,0.79,17008.0,17008.0,-0.6500000000000001,-1.0812173913043477,1.910869565217391
2003-02-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,2.18,2.5,2.0,2.1,0.73,21856.0,21856.0,-0.07000000000000003,-0.1515500000000001,2.2773335
2003-03-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,2.08,2.15,1.69,2.0,0.7,39980.0,39980.0,0.049999999999999975,0.31233333333333335,1.8974599999999997
2003-04-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,2.12,2.99,1.95,2.9,1.02,68284.0,68284.0,-0.09999999999999994,-0.22736363636363652,2.1151522727272725
2003-05-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,2.9,2.96,2.63,2.88,1.01,17512.0,17512.0,-0.23,-0.3572272727272727,2.7450004545454543
2003-06-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,2.87,3.06,2.63,2.99,1.05,21948.0,21948.0,-0.28,-0.4483333333333333,2.8798404761904766
2003-07-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,2.88,3.0,2.64,2.74,1.05,7764.0,7764.0,-0.15000000000000002,-0.2287391304347826,2.8749282608695648
2003-08-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,2.81,3.35,2.71,3.35,1.28,60528.0,60528.0,0.6600000000000001,1.075238095238095,3.1473019047619055
2003-09-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,3.35,5.18,3.35,5.12,1.96,93408.0,93408.0,0.6600000000000001,0.7641818181818182,4.25545409090909
2003-10-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,5.1,5.73,4.85,5.05,1.93,47208.0,47208.0,-0.2400000000000001,-0.15995652173913041,5.305362608695653
2003-11-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,5.04,7.45,5.0,7.25,2.77,51400.0,51400.0,2.06,1.76245,5.583167999999999
2003-12-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,7.77,8.75,7.63,8.43,3.22,81840.0,81840.0,1.1199999999999999,0.6169130434782609,7.68217347826087
2004-01-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,8.43,8.5,7.13,8.46,3.23,79324.0,79324.0,1.39,0.8169090909090909,7.4843931818181835
2004-02-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,8.5,9.18,8.21,8.25,3.15,46084.0,46084.0,-0.06000000000000003,-0.01865000000000002,8.5611665
2004-03-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,8.23,8.4,7.21,7.65,2.92,46972.0,46972.0,0.22999999999999993,0.1478695652173913,7.802174347826087
2004-04-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,7.65,8.15,7.56,8.0,3.06,56100.0,56100.0,1.01,0.5875454545454546,7.254242727272728
2004-05-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,8.0,8.48,7.38,7.75,2.96,13888.0,13888.0,0.26,0.16690476190476194,7.919841428571428
2004-06-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,7.75,7.75,6.27,6.85,2.62,19572.0,19572.0,-0.64,-0.374,7.067424545454544
2004-07-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,6.8,7.11,5.8,7.11,2.98,43756.0,43756.0,0.9000000000000001,0.6893636363636362,6.313940454545456
2004-08-01,SOG.PA,Sogeclair SA,Paris,2000-01-03,,7.15,7.21,6.75,7.0,2.93,25288.0,25288.0,-0.20999999999999996,-0.12309090909090901,6.952576363636365
