datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2000-01-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,21903840000.0,51.57,51.69,43.47,45.92,45.92,30657559.0,30657559.0,-9.020000000000001,-0.8815238095238096,47.05539714285714
2000-02-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,22938930000.0,47.2,48.65,42.88,48.09,48.09,34911375.0,34911375.0,-0.23999999999999932,-0.0006666666666666778,45.37857095238095
2000-03-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,22018150000.0,48.49,49.59,42.77,46.55,46.55,34117817.0,34117817.0,-8.970000000000002,-0.836521739130435,45.40623260869565
2000-04-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,24066240000.0,47.44,207.66,46.61,50.88,50.88,32878884.0,32878884.0,7.68,0.8041,45.025833
2000-05-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,26137980000.0,215.91,215.91,50.26,55.26,21.16,29158836.0,29158836.0,9.42,0.7856086956521738,52.738696521739136
2000-06-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,26625170000.0,54.54,60.57,53.16,56.29,21.55,25688870.0,25688870.0,3.4800000000000013,0.30031818181818193,53.88424181818182
2000-07-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,28313780000.0,56.87,61.02,54.01,59.86,22.92,19594036.0,19594036.0,1.4199999999999995,0.1188095238095238,53.909999047619046
2000-08-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,28186070000.0,59.86,62.5,55.84,59.59,22.82,23442701.0,23442701.0,-5.810000000000001,-0.4190000000000001,59.09304347826087
2000-09-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,26771800000.0,60.13,62.99,54.14,56.6,21.67,21175249.0,21175249.0,-2.0499999999999994,-0.1611428571428572,59.531270000000006
2000-10-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,28450520000.0,54.28,60.31,47.89,59.77,22.89,28276295.0,28276295.0,6.269999999999998,0.5314545454545455,54.12393909090908
2000-11-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,26365640000.0,59.77,60.75,53.7,55.39,21.21,27975828.0,27975828.0,-6.810000000000002,-0.5021818181818183,57.56196954545454
2000-12-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,28155400000.0,55.62,61.83,52.98,59.15,22.65,23362479.0,23362479.0,4.3500000000000005,0.4173157894736843,57.78421105263157
2001-01-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,30768640000.0,59.15,66.56,57.36,64.64,24.75,34443829.0,34443829.0,3.5500000000000003,0.27438095238095234,59.8230157142857
2001-02-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,28260120000.0,63.52,64.33,56.87,59.37,22.73,27440031.0,27440031.0,-7.54,-0.6120499999999999,60.59783399999999
2001-03-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,29769040000.0,58.97,63.3,50.7,62.54,23.95,40300103.0,40300103.0,5.99,0.5060952380952382,58.06222285714286
2001-04-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,30916200000.0,62.72,67.45,57.67,64.95,24.87,31417060.0,31417060.0,2.5200000000000005,0.20219047619047617,57.2219038095238
2001-05-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,29873760000.0,64.95,67.28,59.01,62.76,24.87,51681957.0,51681957.0,1.700000000000001,0.13669565217391302,60.470870000000005
2001-06-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,29750000000.0,62.72,65.04,61.02,62.5,24.76,29502677.0,29502677.0,4.77,0.36438095238095236,59.98634904761905
2001-07-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,27046320000.0,61.65,64.1,54.05,56.82,22.51,38457137.0,38457137.0,1.77,0.14822727272727274,57.63363681818183
2001-08-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,27555640000.0,56.06,61.11,55.39,57.89,22.94,34013685.0,34013685.0,2.8400000000000003,0.22456521739130436,57.96594130434783
2001-09-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,23304960000.0,58.25,58.52,37.79,48.96,19.4,49681624.0,49681624.0,-3.059999999999998,-0.11230000000000004,50.200832500000004
2001-10-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,23623880000.0,49.14,53.61,46.68,49.63,19.66,32242861.0,32242861.0,0.12999999999999962,0.02352173913043474,50.43405782608697
2001-11-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,25856320000.0,49.05,59.82,49.0,54.32,21.52,43339140.0,43339140.0,1.420000000000001,0.1552727272727273,54.70560636363635
2001-12-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,26727400000.0,54.23,58.07,52.76,56.15,22.25,23653942.0,23653942.0,3.1400000000000006,0.27376190476190476,47.26095238095238
2002-01-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,29088360000.0,56.15,62.5,55.39,61.11,24.21,40104129.0,40104129.0,6.449999999999999,0.49234782608695643,56.28652173913042
2002-02-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,29088360000.0,61.47,61.56,53.65,61.11,24.21,36833932.0,36833932.0,-1.6399999999999997,-0.1246999999999999,58.04333299999998
2002-03-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,30087960000.0,59.82,64.77,59.82,63.21,25.04,35361535.0,35361535.0,6.669999999999999,0.5167619047619048,59.54555523809523
2002-04-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,32320400000.0,63.21,70.89,61.47,67.9,27.75,44242412.0,44242412.0,6.260000000000001,0.4485909090909091,63.00212181818183
2002-05-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,30940000000.0,67.9,72.73,64.86,65.0,26.56,42667180.0,42667180.0,3.389999999999998,0.21330434782608698,65.71855000000001
2002-06-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,28364840000.0,64.82,65.89,53.52,59.59,24.35,51326097.0,51326097.0,-5.200000000000002,-0.40155000000000013,60.3598345
2002-07-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,24242680000.0,60.71,60.75,35.92,50.93,20.81,74900802.0,74900802.0,-11.989999999999997,-0.8974782608695652,50.31999999999999
2002-08-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,25708760000.0,51.37,59.01,46.28,54.01,22.07,46777617.0,46777617.0,1.9899999999999993,0.23027272727272738,53.85681681818183
2002-09-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,18140360000.0,53.7,54.01,35.83,38.11,15.57,58339926.0,58339926.0,-14.34,-1.385761904761905,46.5430157142857
2002-10-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,22118800000.0,38.83,50.03,32.8,45.7,18.67,65009501.0,65009501.0,1.4899999999999998,0.2706521739130434,42.30782652173913
2002-11-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,24475880000.0,45.7,53.25,41.33,50.57,20.66,50609486.0,50609486.0,0.45000000000000107,0.13142857142857134,47.176349047619034
2002-12-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,24001560000.0,51.06,53.74,45.57,49.59,20.35,51294689.0,51294689.0,-4.3500000000000005,-0.3713636363636363,44.425757272727274
2003-01-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,23522400000.0,49.59,52.71,43.33,48.6,19.95,54866068.0,54866068.0,-3.9700000000000006,-0.31521739130434784,47.102463478260866
2003-02-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,21533160000.0,49.23,50.17,42.53,44.49,18.26,52773166.0,52773166.0,-4.569999999999999,-0.4543499999999998,45.7048325
2003-03-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,20463520000.0,44.67,49.05,38.24,42.28,17.35,64431609.0,64431609.0,2.6999999999999993,0.3304285714285713,43.852063809523806
2003-04-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,23696640000.0,42.29,51.33,41.88,48.96,20.97,68838388.0,68838388.0,2.8000000000000007,0.3086818181818183,43.50560454545455
2003-05-01,GLE.PA,Societe Generale Societe anonyme,Paris,2019-05-16,22573760000.0,48.96,52.27,43.47,46.64,19.97,63640413.0,63640413.0,-2.83,-0.25018181818181817,45.329849090909086
