datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2014-03-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,24.88,25.15,24.85,25.1,20.52,1453931.0,1453931.0,0.18000000000000002,0.055538461538461543,25.028204615384617
2014-04-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,25.15,25.6,25.08,25.5,20.85,612530.0,612530.0,0.36,0.06780952380952379,25.340317619047624
2014-05-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,25.5,25.74,24.82,24.97,20.61,336557.0,336557.0,0.10999999999999996,0.020714285714285713,25.27269809523809
2014-06-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,24.95,25.54,24.9,25.45,21.0,280639.0,280639.0,0.7499999999999999,0.1421904761904762,25.239524761904757
2014-07-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,25.45,25.55,24.78,25.15,20.76,199975.0,199975.0,0.23000000000000012,0.041727272727272724,25.24515090909091
2014-08-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,25.15,25.25,24.87,25.11,20.95,116839.0,116839.0,0.21999999999999997,0.044199999999999996,25.105667
2014-09-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,25.08,25.3,24.92,25.3,21.11,201110.0,201110.0,0.08999999999999998,0.017428571428571425,25.096825714285718
2014-10-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,25.28,25.43,25.0,25.42,21.21,133186.0,133186.0,0.52,0.0944090909090909,25.151212272727268
2014-11-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,25.44,25.44,25.06,25.24,21.29,209415.0,209415.0,0.19999999999999998,0.04035000000000001,25.2516685
2014-12-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,25.23,25.28,23.24,24.79,20.91,222561.0,222561.0,-0.6900000000000002,-0.128952380952381,24.17476238095238
2015-01-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,24.73,24.73,22.36,22.5,18.98,152994.0,152994.0,-1.9799999999999998,-0.3969047619047619,24.195872380952387
2015-02-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,22.38,23.97,21.89,22.59,19.28,145349.0,145349.0,-0.10999999999999993,-0.018526315789473714,22.94579105263158
2015-03-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,22.73,22.94,21.16,21.35,18.22,181055.0,181055.0,-0.9299999999999999,-0.1901818181818182,22.149847272727275
2015-04-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,21.23,22.09,19.99,21.88,18.68,217519.0,217519.0,0.3999999999999999,0.08976190476190474,20.752699047619043
2015-05-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,22.04,22.47,20.65,20.87,18.03,224348.0,224348.0,-1.24,-0.2896,21.737667
2015-06-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,20.88,20.96,19.45,20.19,17.45,271410.0,271410.0,-0.19,-0.0384090909090909,20.238636363636363
2015-07-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,20.26,20.36,17.19,18.36,15.87,285268.0,285268.0,-1.6100000000000008,-0.35600000000000004,19.051666818181815
2015-08-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,18.35,18.48,15.34,17.65,15.49,213908.0,213908.0,1.78,0.5544,17.5098335
2015-09-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,17.52,19.0,16.52,17.0,14.92,377235.0,377235.0,-0.08000000000000002,-0.007666666666666647,18.147777142857137
2015-10-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,16.97,19.97,16.58,19.12,16.78,347862.0,347862.0,2.21,0.6028095238095238,17.87063476190476
2015-11-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,19.03,19.92,17.5,17.65,15.71,250932.0,250932.0,-0.30000000000000016,-0.07214285714285718,18.781903809523808
2015-12-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,17.5,18.81,15.5,18.67,16.61,611903.0,611903.0,0.40000000000000013,0.11971428571428563,17.047141904761904
2016-01-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,18.26,18.26,14.3,15.45,13.75,252818.0,252818.0,-3.03,-0.8985500000000002,15.976166499999996
2016-02-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,15.55,15.64,14.28,14.8,13.41,226811.0,226811.0,-0.49,-0.15060000000000004,15.126501499999998
2016-03-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,14.95,18.05,14.9,17.55,15.9,219368.0,219368.0,2.0,0.5653636363636363,16.672879090909092
2016-04-01,ENB-PFA.TO,Enbridge Inc.,Toronto,2014-03-13,,17.23,18.18,17.0,17.65,15.99,169474.0,169474.0,0.13999999999999993,0.04671428571428567,17.49746
