datetime,symbol,name,exchange,begin_date,marketCap,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap
2019-01-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,24.76,25.09,24.75,25.04,24.6,1447078.0,1447078.0,0.26,0.2615,24.964165
2019-02-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,25.04,25.36,24.9,25.25,24.81,923677.0,923677.0,-0.06000000000000002,-0.011473684210526318,25.181403684210526
2019-03-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,25.25,25.6,25.2,25.53,25.08,314508.0,314508.0,0.29000000000000004,0.05485714285714286,25.376982380952384
2019-04-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,25.55,25.85,25.3,25.48,25.03,710854.0,710854.0,0.79,0.1479047619047619,25.542064761904765
2019-05-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,25.55,25.65,24.65,24.76,24.33,544095.0,544095.0,-0.6400000000000001,-0.11550000000000002,25.343788181818184
2019-06-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,24.76,24.95,24.1,24.75,24.32,505188.0,505188.0,0.049999999999999954,0.010750000000000013,24.570833
2019-07-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,24.78,25.17,24.66,24.85,24.41,284044.0,284044.0,0.46,0.08468181818181818,24.871817727272727
2019-08-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,24.86,24.86,23.17,23.65,23.24,446739.0,446739.0,-1.25,-0.24552380952380956,24.07920666666667
2019-09-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,23.57,24.49,23.4,24.43,24.0,168255.0,168255.0,0.52,0.1081,24.126333
2019-10-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,24.31,24.45,23.9,24.18,23.76,229591.0,229591.0,-0.039999999999999966,-0.007363636363636358,24.186060454545455
2019-11-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,24.2,24.47,23.84,24.07,23.65,274362.0,274362.0,0.3,0.059714285714285706,24.113174285714287
2019-12-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,24.0,24.29,23.51,24.05,23.63,365127.0,365127.0,-0.31,-0.06325,23.877834
2020-01-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,24.11,24.28,23.75,23.85,23.43,142106.0,142106.0,-0.5099999999999999,-0.09586363636363636,24.040758636363638
2020-02-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,23.83,24.39,23.75,23.81,23.39,187267.0,187267.0,-0.3,-0.08173333333333334,24.016666666666662
2020-03-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,,,,,,0.0,0.0,0.0,,
2020-04-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,17.41,21.4,17.27,20.65,20.65,381806.0,381806.0,2.2199999999999998,0.657,19.195614736842103
2020-05-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,20.25,20.9,19.56,19.72,19.72,167084.0,167084.0,0.06999999999999992,0.019450000000000016,20.178666999999997
2020-06-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,19.7,21.2,19.7,21.11,21.11,364057.0,364057.0,1.34,0.30286363636363633,20.63984772727273
2020-07-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,21.12,23.75,19.799999,23.51,23.51,394262.0,394262.0,2.74,0.5771363636363637,22.121364090909086
2020-08-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,23.35,24.35,23.27,24.15,24.15,78839.0,78839.0,0.38,0.09016666666666667,23.704073888888885
2020-09-01,TD-PFL.TO,The Toronto-Dominion Bank,Toronto,2019-01-28,,24.24,24.700001,24.08,24.15,24.15,223132.0,223132.0,-0.25000000000000006,-0.10080000000000003,24.408334
