,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-11,6.19,6.19,5.57,6.05,6.05,1742000.0,1742000.0,-0.14,-2.262,5.93667,"February 11, 21",-0.02262
0,2021-02-10,6.22,6.22,5.9,6.15,6.15,1281000.0,1281000.0,-0.07,-1.125,6.09,"February 10, 21",-0.01125
0,2021-02-09,6.13,6.18,5.99,6.15,6.15,2717000.0,2717000.0,0.02,0.326,6.10667,"February 09, 21",0.00326
0,2021-02-08,6.24,6.3,6.0,6.15,6.15,437000.0,437000.0,-0.09,-1.442,6.15,"February 08, 21",-0.01442
0,2021-02-05,6.1,6.24,6.08,6.24,6.24,419000.0,419000.0,0.14,2.295,6.18667,"February 05, 21",0.02295
0,2021-02-04,6.2,6.29,6.07,6.16,6.16,106000.0,106000.0,-0.04,-0.645,6.17333,"February 04, 21",-0.00645
0,2021-02-03,6.08,6.2,6.01,6.15,6.15,688000.0,688000.0,0.07,1.151,6.12,"February 03, 21",0.01151
0,2021-02-02,6.07,6.08,5.8,6.08,6.08,662000.0,662000.0,0.01,0.165,5.98667,"February 02, 21",0.00165
0,2021-02-01,6.36,6.36,5.81,6.0,6.0,216000.0,216000.0,-0.36,-5.66,6.05667,"February 01, 21",-0.0566
0,2021-01-29,5.9,6.0,5.73,6.0,6.0,303000.0,303000.0,0.1,1.695,5.91,"January 29, 21",0.01695
0,2021-01-28,5.9,5.91,5.53,5.8,5.8,147000.0,147000.0,-0.1,-1.695,5.74667,"January 28, 21",-0.01695
0,2021-01-27,5.57,6.0,5.39,5.68,5.68,41000.0,41000.0,0.11,1.975,5.69,"January 27, 21",0.01975
0,2021-01-26,5.49,5.59,5.38,5.57,5.57,107000.0,107000.0,0.08,1.457,5.51333,"January 26, 21",0.01457
0,2021-01-25,5.4,5.49,5.25,5.49,5.49,375000.0,375000.0,0.09,1.667,5.41,"January 25, 21",0.01667
0,2021-01-22,5.45,5.5,5.08,5.23,5.23,1625000.0,1625000.0,-0.22,-4.037,5.27,"January 22, 21",-0.04037
0,2021-01-21,5.26,5.49,5.22,5.49,5.49,610000.0,610000.0,0.23,4.373,5.4,"January 21, 21",0.04373
0,2021-01-20,5.38,5.48,5.16,5.28,5.28,386000.0,386000.0,-0.1,-1.859,5.30667,"January 20, 21",-0.01859
0,2021-01-19,5.4,5.45,5.08,5.28,5.28,755000.0,755000.0,-0.12,-2.222,5.27,"January 19, 21",-0.02222
0,2021-01-18,5.35,5.49,5.0,5.27,5.27,379000.0,379000.0,-0.08,-1.495,5.25333,"January 18, 21",-0.01495
0,2021-01-15,5.22,5.38,5.18,5.2,5.2,354000.0,354000.0,-0.02,-0.383,5.25333,"January 15, 21",-0.00383
0,2021-01-14,5.48,5.49,5.22,5.22,5.22,312000.0,312000.0,-0.26,-4.745,5.31,"January 14, 21",-0.04745
0,2021-01-13,5.64,5.64,5.31,5.5,5.5,709000.0,709000.0,-0.14,-2.482,5.48333,"January 13, 21",-0.02482
0,2021-01-12,5.4,5.6,5.21,5.42,5.42,1251000.0,1251000.0,0.02,0.37,5.41,"January 12, 21",0.0037
0,2021-01-11,5.75,5.82,5.35,5.35,5.35,197000.0,197000.0,-0.4,-6.957,5.50667,"January 11, 21",-0.06957
0,2021-01-08,5.88,5.88,5.26,5.77,5.77,352000.0,352000.0,-0.11,-1.871,5.63667,"January 08, 21",-0.01871
0,2021-01-07,5.9,5.98,5.62,5.75,5.75,528000.0,528000.0,-0.15,-2.542,5.78333,"January 07, 21",-0.02542
0,2021-01-06,6.08,6.08,5.75,5.9,5.9,188000.0,188000.0,-0.18,-2.961,5.91,"January 06, 21",-0.02961
0,2021-01-05,5.73,5.99,5.18,5.93,5.93,673000.0,673000.0,0.2,3.49,5.7,"January 05, 21",0.0349
0,2021-01-04,6.09,6.09,5.53,5.73,5.73,345000.0,345000.0,-0.36,-5.911,5.78333,"January 04, 21",-0.05911
0,2020-12-31,5.68,6.18,5.18,6.09,6.09,604000.0,604000.0,0.41,7.218,5.81667,"December 31, 20",0.07218
0,2020-12-30,5.39,5.8,5.34,5.75,5.75,1255000.0,1255000.0,0.36,6.679,5.63,"December 30, 20",0.06679
0,2020-12-29,4.6,5.39,4.6,5.3,5.3,1215000.0,1215000.0,0.7,15.217,5.09667,"December 29, 20",0.15217
0,2020-12-28,4.02,4.7,3.9,4.64,4.64,1252000.0,1252000.0,0.62,15.423,4.41333,"December 28, 20",0.15423
0,2020-12-24,3.52,4.0,3.5,4.02,4.02,536000.0,536000.0,0.5,14.205,3.84,"December 24, 20",0.14205
0,2020-12-23,3.54,3.6,3.51,3.6,3.6,971000.0,971000.0,0.06,1.695,3.57,"December 23, 20",0.01695
0,2020-12-22,3.55,3.59,3.55,3.56,3.56,4000.0,4000.0,0.01,0.282,3.56667,"December 22, 20",0.00282
0,2020-12-21,3.51,3.6,3.49,3.6,3.6,93000.0,93000.0,0.09,2.564,3.56333,"December 21, 20",0.02564
0,2020-12-18,3.5,3.57,3.5,3.56,3.56,9000.0,9000.0,0.06,1.714,3.54333,"December 18, 20",0.01714
0,2020-12-17,3.55,3.55,3.55,3.55,3.55,0.0,0.0,0.0,0.0,0.0,"December 17, 20",0.0
0,2020-12-16,3.6,3.6,3.55,3.55,3.55,27000.0,27000.0,-0.05,-1.389,3.56667,"December 16, 20",-0.01389
0,2020-12-15,3.56,3.65,3.47,3.65,3.65,598000.0,598000.0,0.09,2.528,3.59,"December 15, 20",0.02528
0,2020-12-14,3.57,3.57,3.5,3.57,3.57,64000.0,64000.0,0.0,0.0,3.54667,"December 14, 20",0.0
0,2020-12-11,3.47,3.58,3.47,3.57,3.57,1162000.0,1162000.0,0.1,2.882,3.54,"December 11, 20",0.02882
0,2020-12-10,3.5,3.58,3.5,3.56,3.56,579000.0,579000.0,0.06,1.714,3.54667,"December 10, 20",0.01714
0,2020-12-09,3.57,3.59,3.43,3.56,3.56,1054000.0,1054000.0,-0.01,-0.28,3.52667,"December 09, 20",-0.0028
0,2020-12-08,3.42,3.8,3.42,3.57,3.57,1077000.0,1077000.0,0.15,4.386,3.59667,"December 08, 20",0.04386
0,2020-12-07,3.6,3.65,3.55,3.55,3.55,66000.0,66000.0,-0.05,-1.389,3.58333,"December 07, 20",-0.01389
0,2020-12-04,3.61,3.61,3.6,3.6,3.6,12000.0,12000.0,-0.01,-0.277,3.60333,"December 04, 20",-0.00277
0,2020-12-03,3.45,3.61,3.3,3.61,3.61,79000.0,79000.0,0.16,4.638,3.50667,"December 03, 20",0.04638
0,2020-12-02,3.5,3.51,3.5,3.5,3.5,23000.0,23000.0,0.0,0.0,3.50333,"December 02, 20",0.0
0,2020-12-01,3.58,3.65,3.5,3.65,3.65,435000.0,435000.0,0.07,1.955,3.6,"December 01, 20",0.01955
0,2020-11-30,3.65,3.65,3.49,3.58,3.58,139000.0,139000.0,-0.07,-1.918,3.57333,"November 30, 20",-0.01918
0,2020-11-27,3.28,3.55,3.28,3.54,3.54,280000.0,280000.0,0.26,7.927,3.45667,"November 27, 20",0.07927
0,2020-11-26,3.37,3.4,3.33,3.39,3.39,28000.0,28000.0,0.02,0.593,3.37333,"November 26, 20",0.00593
0,2020-11-25,3.39,3.5,3.38,3.5,3.5,16000.0,16000.0,0.11,3.245,3.46,"November 25, 20",0.03245
0,2020-11-24,3.5,3.69,3.35,3.58,3.58,35000.0,35000.0,0.08,2.286,3.54,"November 24, 20",0.02286
0,2020-11-23,3.3,3.43,3.3,3.43,3.43,13000.0,13000.0,0.13,3.939,3.38667,"November 23, 20",0.03939
0,2020-11-20,3.32,3.46,3.31,3.46,3.46,6000.0,6000.0,0.14,4.217,3.41,"November 20, 20",0.04217
0,2020-11-19,3.5,3.5,3.5,3.5,3.5,8000.0,8000.0,0.0,0.0,3.5,"November 19, 20",0.0
0,2020-11-18,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,"November 18, 20",0.0
0,2020-11-17,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,"November 17, 20",0.0
0,2020-11-16,3.6,3.6,3.6,3.6,3.6,0.0,0.0,0.0,0.0,0.0,"November 16, 20",0.0
0,2020-11-13,3.63,3.63,3.63,3.63,3.63,0.0,0.0,0.0,0.0,0.0,"November 13, 20",0.0
0,2020-11-12,3.64,3.64,3.63,3.63,3.63,4000.0,4000.0,-0.01,-0.275,3.63333,"November 12, 20",-0.00275
0,2020-11-11,3.5,3.67,3.35,3.59,3.59,45000.0,45000.0,0.09,2.571,3.53667,"November 11, 20",0.02571
0,2020-11-10,3.64,3.68,3.43,3.5,3.5,8000.0,8000.0,-0.14,-3.846,3.53667,"November 10, 20",-0.03846
0,2020-11-09,3.7,3.7,3.64,3.64,3.64,3169000.0,3169000.0,-0.06,-1.622,3.66,"November 09, 20",-0.01622
0,2020-11-06,3.59,3.69,3.59,3.63,3.63,464000.0,464000.0,0.04,1.114,3.63667,"November 06, 20",0.01114
0,2020-11-05,3.37,3.7,3.37,3.59,3.59,42000.0,42000.0,0.22,6.528,3.55333,"November 05, 20",0.06528
0,2020-11-04,3.34,3.37,3.3,3.37,3.37,17000.0,17000.0,0.03,0.898,3.34667,"November 04, 20",0.00898
0,2020-11-03,3.37,3.5,3.37,3.5,3.5,71000.0,71000.0,0.13,3.858,3.45667,"November 03, 20",0.03858
