,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-16,12.12,12.4,11.84,12.16,12.16,226152.0,226152.0,0.04,0.33,12.13333,"February 16, 21",0.0033
0,2021-02-12,12.01,12.05,11.86,11.91,11.91,308700.0,308700.0,-0.1,-0.833,11.94,"February 12, 21",-0.00833
0,2021-02-11,12.13,12.37,11.86,12.01,12.01,270700.0,270700.0,-0.12,-0.989,12.08,"February 11, 21",-0.00989
0,2021-02-10,12.08,12.41,12.04,12.09,12.09,181500.0,181500.0,0.01,0.083,12.18,"February 10, 21",0.00083
0,2021-02-09,11.63,12.09,11.56,12.07,12.07,228700.0,228700.0,0.44,3.783,11.90667,"February 09, 21",0.03783
0,2021-02-08,11.37,11.6,11.32,11.5,11.5,195600.0,195600.0,0.13,1.143,11.47333,"February 08, 21",0.01143
0,2021-02-05,11.4,11.58,11.22,11.33,11.33,138900.0,138900.0,-0.07,-0.614,11.37667,"February 05, 21",-0.00614
0,2021-02-04,11.04,11.38,11.04,11.29,11.29,121700.0,121700.0,0.25,2.264,11.23667,"February 04, 21",0.02264
0,2021-02-03,11.14,11.17,10.83,11.06,11.06,126500.0,126500.0,-0.08,-0.718,11.02,"February 03, 21",-0.00718
0,2021-02-02,10.99,11.14,10.82,11.11,11.11,184800.0,184800.0,0.12,1.092,11.02333,"February 02, 21",0.01092
0,2021-02-01,10.81,10.98,10.62,10.95,10.95,165300.0,165300.0,0.14,1.295,10.85,"February 01, 21",0.01295
0,2021-01-29,10.85,11.12,10.71,10.75,10.75,272200.0,272200.0,-0.1,-0.922,10.86,"January 29, 21",-0.00922
0,2021-01-28,10.9,11.14,10.84,10.97,10.97,246900.0,246900.0,0.07,0.642,10.98333,"January 28, 21",0.00642
0,2021-01-27,10.84,11.03,10.76,10.82,10.82,392800.0,392800.0,-0.02,-0.185,10.87,"January 27, 21",-0.00185
0,2021-01-26,11.41,11.6,11.06,11.14,11.14,441300.0,441300.0,-0.27,-2.366,11.26667,"January 26, 21",-0.02366
0,2021-01-25,11.36,11.54,11.23,11.39,11.39,156700.0,156700.0,0.03,0.264,11.38667,"January 25, 21",0.00264
0,2021-01-22,11.51,11.57,11.22,11.51,11.51,202200.0,202200.0,0.0,0.0,11.43333,"January 22, 21",0.0
0,2021-01-21,11.8,11.87,11.36,11.61,11.61,212700.0,212700.0,-0.19,-1.61,11.61333,"January 21, 21",-0.0161
0,2021-01-20,11.29,11.88,11.29,11.65,11.65,240000.0,240000.0,0.36,3.189,11.60667,"January 20, 21",0.03189
0,2021-01-19,11.45,11.45,11.23,11.35,11.35,353400.0,353400.0,-0.1,-0.873,11.34333,"January 19, 21",-0.00873
0,2021-01-15,11.26,11.43,11.12,11.37,11.37,188800.0,188800.0,0.11,0.977,11.30667,"January 15, 21",0.00977
0,2021-01-14,11.4,11.51,11.25,11.42,11.42,241200.0,241200.0,0.02,0.175,11.39333,"January 14, 21",0.00175
0,2021-01-13,11.34,11.53,11.23,11.29,11.29,125900.0,125900.0,-0.05,-0.441,11.35,"January 13, 21",-0.00441
0,2021-01-12,11.15,11.31,11.06,11.3,11.3,153200.0,153200.0,0.15,1.345,11.22333,"January 12, 21",0.01345
0,2021-01-11,11.09,11.42,11.02,11.19,11.19,166300.0,166300.0,0.1,0.902,11.21,"January 11, 21",0.00902
0,2021-01-08,11.31,11.34,11.12,11.25,11.25,218400.0,218400.0,-0.06,-0.531,11.23667,"January 08, 21",-0.00531
0,2021-01-07,11.68,11.77,11.12,11.26,11.26,239500.0,239500.0,-0.42,-3.596,11.38333,"January 07, 21",-0.03596
0,2021-01-06,11.07,11.74,11.07,11.57,11.57,440200.0,440200.0,0.5,4.517,11.46,"January 06, 21",0.04517
0,2021-01-05,11.04,11.19,10.95,11.0,11.0,246800.0,246800.0,-0.04,-0.362,11.04667,"January 05, 21",-0.00362
0,2021-01-04,11.31,11.31,10.95,10.98,10.98,316200.0,316200.0,-0.33,-2.918,11.08,"January 04, 21",-0.02918
0,2020-12-31,11.08,11.23,11.01,11.22,11.22,178900.0,178900.0,0.14,1.264,11.15333,"December 31, 20",0.01264
0,2020-12-30,11.03,11.24,11.0,11.11,11.11,208300.0,208300.0,0.08,0.725,11.11667,"December 30, 20",0.00725
0,2020-12-29,11.12,11.28,10.86,11.06,11.06,274500.0,274500.0,-0.06,-0.54,11.06667,"December 29, 20",-0.0054
0,2020-12-28,11.18,11.56,11.14,11.33,11.219999,328900.0,328900.0,0.15,1.342,11.34333,"December 28, 20",0.01342
0,2020-12-24,10.96,11.15,10.9,11.12,11.012038,68400.0,68400.0,0.16,1.46,11.05667,"December 24, 20",0.0146
0,2020-12-23,10.89,11.13,10.89,10.94,10.833786,232900.0,232900.0,0.05,0.459,10.98667,"December 23, 20",0.00459
0,2020-12-22,10.67,10.88,10.65,10.85,10.74466,165600.0,165600.0,0.18,1.687,10.79333,"December 22, 20",0.01687
0,2020-12-21,10.64,10.79,10.51,10.67,10.566407,222600.0,222600.0,0.03,0.282,10.65667,"December 21, 20",0.00282
0,2020-12-18,11.25,11.32,10.7,10.7,10.596116,1513800.0,1513800.0,-0.55,-4.889,10.90667,"December 18, 20",-0.04889
0,2020-12-17,11.19,11.33,11.02,11.3,11.190291,227400.0,227400.0,0.11,0.983,11.21667,"December 17, 20",0.00983
0,2020-12-16,11.19,11.34,11.0,11.16,11.05165,252400.0,252400.0,-0.03,-0.268,11.16667,"December 16, 20",-0.00268
0,2020-12-15,11.05,11.18,10.81,11.17,11.061553,265700.0,265700.0,0.12,1.086,11.05333,"December 15, 20",0.01086
0,2020-12-14,10.86,11.15,10.77,10.97,10.863495,242600.0,242600.0,0.11,1.013,10.96333,"December 14, 20",0.01013
0,2020-12-11,10.81,10.85,10.59,10.76,10.655534,227700.0,227700.0,-0.05,-0.463,10.73333,"December 11, 20",-0.00463
0,2020-12-10,10.89,10.98,10.8,10.88,10.774369,327700.0,327700.0,-0.01,-0.092,10.88667,"December 10, 20",-0.00092
0,2020-12-09,10.76,10.9,10.65,10.84,10.734757,265200.0,265200.0,0.08,0.743,10.79667,"December 09, 20",0.00743
0,2020-12-08,10.72,10.89,10.66,10.76,10.655534,221000.0,221000.0,0.04,0.373,10.77,"December 08, 20",0.00373
0,2020-12-07,11.34,11.44,10.8,10.82,10.714951,250100.0,250100.0,-0.52,-4.586,11.02,"December 07, 20",-0.04586
