,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-12,28.0,28.8,27.0321,28.27,28.27,28005.0,28005.0,0.27,0.964,28.03403,"February 12, 21",0.00964
0,2021-02-11,27.76,28.67,26.860001,27.91,27.91,41500.0,41500.0,0.15,0.54,27.81333,"February 11, 21",0.0054
0,2021-02-10,27.790001,27.799999,26.91,27.4,27.4,31300.0,31300.0,-0.39,-1.403,27.37,"February 10, 21",-0.01403
0,2021-02-09,28.43,28.43,27.030001,27.26,27.26,36400.0,36400.0,-1.17,-4.115,27.57333,"February 09, 21",-0.04115
0,2021-02-08,30.0,30.0,27.24,28.049999,28.049999,59000.0,59000.0,-1.95,-6.5,28.43,"February 08, 21",-0.065
0,2021-02-05,30.1,30.1,29.18,29.879999,29.879999,19700.0,19700.0,-0.22,-0.731,29.72,"February 05, 21",-0.00731
0,2021-02-04,29.9,30.0,29.030001,29.82,29.82,52000.0,52000.0,-0.08,-0.268,29.61667,"February 04, 21",-0.00268
0,2021-02-03,28.99,29.709999,28.030001,29.530001,29.530001,52900.0,52900.0,0.54,1.863,29.09,"February 03, 21",0.01863
0,2021-02-02,28.0,29.030001,27.6,28.5,28.5,35200.0,35200.0,0.5,1.786,28.37667,"February 02, 21",0.01786
0,2021-02-01,25.719999,27.700001,25.09,27.280001,27.280001,53500.0,53500.0,1.56,6.065,26.69,"February 01, 21",0.06065
0,2021-01-29,26.879999,27.969999,25.280001,25.73,25.73,39500.0,39500.0,-1.15,-4.278,26.32667,"January 29, 21",-0.04278
0,2021-01-28,24.25,27.59,23.610001,26.870001,26.870001,85600.0,85600.0,2.62,10.804,26.02333,"January 28, 21",0.10804
0,2021-01-27,25.049999,25.190001,23.6,24.07,24.07,49800.0,49800.0,-0.98,-3.912,24.28667,"January 27, 21",-0.03912
0,2021-01-26,25.85,26.110001,25.08,25.51,25.51,53700.0,53700.0,-0.34,-1.315,25.56667,"January 26, 21",-0.01315
0,2021-01-25,27.32,27.969999,24.0,25.530001,25.530001,84700.0,84700.0,-1.79,-6.552,25.83333,"January 25, 21",-0.06552
0,2021-01-22,25.34,26.690001,25.139999,26.459999,26.459999,81000.0,81000.0,1.12,4.42,26.09667,"January 22, 21",0.0442
0,2021-01-21,26.200001,26.200001,25.07,25.5,25.5,53000.0,53000.0,-0.7,-2.672,25.59,"January 21, 21",-0.02672
0,2021-01-20,24.77,26.75,24.77,25.59,25.59,119300.0,119300.0,0.82,3.31,25.70333,"January 20, 21",0.0331
0,2021-01-19,24.99,25.25,23.6,25.110001,25.110001,58100.0,58100.0,0.12,0.48,24.65333,"January 19, 21",0.0048
0,2021-01-15,23.75,25.110001,22.889999,24.16,24.16,48100.0,48100.0,0.41,1.726,24.05333,"January 15, 21",0.01726
0,2021-01-14,23.52,24.780001,23.52,24.0,24.0,31800.0,31800.0,0.48,2.041,24.1,"January 14, 21",0.02041
0,2021-01-13,24.299999,24.5,23.200001,23.23,23.23,28200.0,28200.0,-1.07,-4.403,23.64333,"January 13, 21",-0.04403
0,2021-01-12,23.209999,24.75,23.08,23.889999,23.889999,35600.0,35600.0,0.68,2.93,23.90667,"January 12, 21",0.0293
0,2021-01-11,23.82,24.290001,22.5,23.209999,23.209999,49100.0,49100.0,-0.61,-2.561,23.33333,"January 11, 21",-0.02561
0,2021-01-08,25.459999,26.24,23.67,23.860001,23.860001,57500.0,57500.0,-1.6,-6.284,24.59,"January 08, 21",-0.06284
0,2021-01-07,24.83,25.82,24.35,24.91,24.91,59200.0,59200.0,0.08,0.322,25.02667,"January 07, 21",0.00322
0,2021-01-06,24.65,25.879999,23.059999,24.610001,24.610001,45500.0,45500.0,-0.04,-0.162,24.51667,"January 06, 21",-0.00162
0,2021-01-05,22.709999,24.870001,22.709999,24.51,24.51,28600.0,28600.0,1.8,7.926,24.03,"January 05, 21",0.07926
0,2021-01-04,25.209999,25.5,21.120001,22.620001,22.620001,68200.0,68200.0,-2.59,-10.274,23.08,"January 04, 21",-0.10274
0,2020-12-31,24.76,26.5,24.51,24.629999,24.629999,47500.0,47500.0,-0.13,-0.525,25.21333,"December 31, 20",-0.00525
0,2020-12-30,23.33,26.09,23.33,24.450001,24.450001,72900.0,72900.0,1.12,4.801,24.62333,"December 30, 20",0.04801
0,2020-12-29,23.1,24.1,21.799999,22.889999,22.889999,56800.0,56800.0,-0.21,-0.909,22.93,"December 29, 20",-0.00909
0,2020-12-28,24.719999,25.860001,23.049999,23.1,23.1,64600.0,64600.0,-1.62,-6.553,24.00333,"December 28, 20",-0.06553
0,2020-12-24,26.290001,26.809999,23.9,24.01,24.01,25500.0,25500.0,-2.28,-8.672,24.90667,"December 24, 20",-0.08672
0,2020-12-23,28.35,29.9,26.200001,26.41,26.41,48300.0,48300.0,-1.94,-6.843,27.50333,"December 23, 20",-0.06843
0,2020-12-22,27.469999,29.629999,27.459999,28.25,28.25,76200.0,76200.0,0.78,2.839,28.44667,"December 22, 20",0.02839
0,2020-12-21,25.6,27.379999,23.51,26.93,26.93,86400.0,86400.0,1.33,5.195,25.94,"December 21, 20",0.05195
0,2020-12-18,24.639999,26.309999,24.07,26.23,26.23,105400.0,105400.0,1.59,6.453,25.53667,"December 18, 20",0.06453
0,2020-12-17,20.65,24.75,20.65,24.530001,24.530001,51600.0,51600.0,3.88,18.789,23.31,"December 17, 20",0.18789
0,2020-12-16,21.540001,21.860001,20.1,20.23,20.23,39200.0,39200.0,-1.31,-6.082,20.73,"December 16, 20",-0.06082
0,2020-12-15,19.58,21.73,19.209999,21.370001,21.370001,22800.0,22800.0,1.79,9.142,20.77,"December 15, 20",0.09142
0,2020-12-14,21.629999,22.219999,19.26,19.959999,19.959999,40800.0,40800.0,-1.67,-7.721,20.48,"December 14, 20",-0.07721
0,2020-12-11,19.299999,22.35,19.299999,21.629999,21.629999,63200.0,63200.0,2.33,12.073,21.09333,"December 11, 20",0.12073
0,2020-12-10,19.280001,20.559999,19.200001,20.15,20.15,31700.0,31700.0,0.87,4.512,19.97,"December 10, 20",0.04512
0,2020-12-09,18.52,19.9,18.52,19.360001,19.360001,24900.0,24900.0,0.84,4.536,19.26,"December 09, 20",0.04536
0,2020-12-08,17.370001,19.110001,17.370001,18.459999,18.459999,37700.0,37700.0,1.09,6.275,18.31333,"December 08, 20",0.06275
0,2020-12-07,17.4,17.540001,16.34,17.42,17.42,30400.0,30400.0,0.02,0.115,17.1,"December 07, 20",0.00115
0,2020-12-04,16.5,17.76,16.5,17.4,17.4,25100.0,25100.0,0.9,5.455,17.22,"December 04, 20",0.05455
0,2020-12-03,15.9,16.860001,15.9,16.389999,16.389999,13500.0,13500.0,0.49,3.082,16.38333,"December 03, 20",0.03082
0,2020-12-02,15.28,16.08,15.28,15.71,15.71,11300.0,11300.0,0.43,2.814,15.69,"December 02, 20",0.02814
0,2020-12-01,15.36,16.059999,15.36,15.51,15.51,13800.0,13800.0,0.15,0.977,15.64333,"December 01, 20",0.00977
0,2020-11-30,15.85,16.24,15.0,15.0,15.0,13700.0,13700.0,-0.85,-5.363,15.41333,"November 30, 20",-0.05363
0,2020-11-27,15.73,16.120001,15.69,15.69,15.69,5800.0,5800.0,-0.04,-0.254,15.83333,"November 27, 20",-0.00254
0,2020-11-25,15.56,15.97,15.49,15.63,15.63,12400.0,12400.0,0.07,0.45,15.69667,"November 25, 20",0.0045
0,2020-11-24,14.84,16.0,14.84,15.67,15.67,38100.0,38100.0,0.83,5.593,15.50333,"November 24, 20",0.05593
0,2020-11-23,15.0,15.0,14.75,14.83,14.83,9200.0,9200.0,-0.17,-1.133,14.86,"November 23, 20",-0.01133
0,2020-11-20,14.13,14.97,14.13,14.81,14.81,9700.0,9700.0,0.68,4.812,14.63667,"November 20, 20",0.04812
0,2020-11-19,14.46,14.73,14.32,14.32,14.32,11600.0,11600.0,-0.14,-0.968,14.45667,"November 19, 20",-0.00968
0,2020-11-18,15.59,15.98,14.38,14.52,14.52,22000.0,22000.0,-1.07,-6.863,14.96,"November 18, 20",-0.06863
0,2020-11-17,15.77,16.700001,15.68,16.209999,16.209999,17000.0,17000.0,0.44,2.79,16.19667,"November 17, 20",0.0279
0,2020-11-16,14.85,16.299999,14.55,16.290001,16.290001,38200.0,38200.0,1.44,9.697,15.71333,"November 16, 20",0.09697
0,2020-11-13,13.56,14.51,13.56,14.5,14.5,4600.0,4600.0,0.94,6.932,14.19,"November 13, 20",0.06932
0,2020-11-12,14.9,14.9,13.2,13.53,13.53,12500.0,12500.0,-1.37,-9.195,13.87667,"November 12, 20",-0.09195
0,2020-11-11,15.02,15.3,14.33,15.3,15.3,11300.0,11300.0,0.28,1.864,14.97667,"November 11, 20",0.01864
0,2020-11-10,14.45,15.83,14.45,15.24,15.24,18100.0,18100.0,0.79,5.467,15.17333,"November 10, 20",0.05467
