,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-12,0.126,0.128,0.1081,0.115,0.115,10963469.0,10963469.0,-0.011,-8.73,0.11703,"February 12, 21",-0.0873
0,2021-02-11,0.13995,0.148,0.1051,0.125,0.125,11976138.0,11976138.0,-0.01495,-10.682,0.12603,"February 11, 21",-0.10682
0,2021-02-10,0.14834,0.15,0.125,0.14,0.14,16821881.0,16821881.0,-0.00834,-5.622,0.13833,"February 10, 21",-0.05622
0,2021-02-09,0.1696,0.175,0.145,0.14825,0.14825,15459661.0,15459661.0,-0.02135,-12.588,0.15608,"February 09, 21",-0.12588
0,2021-02-08,0.172,0.1795,0.151,0.155,0.155,23938679.0,23938679.0,-0.017,-9.884,0.16183,"February 08, 21",-0.09884
0,2021-02-05,0.15749,0.16,0.142,0.14976,0.14976,22812029.0,22812029.0,-0.00773,-4.908,0.15059,"February 05, 21",-0.04908
0,2021-02-04,0.1135,0.155,0.108,0.1415,0.1415,30859700.0,30859700.0,0.028,24.67,0.13483,"February 04, 21",0.2467
0,2021-02-03,0.10405,0.1165,0.101,0.1165,0.1165,10170948.0,10170948.0,0.01245,11.965,0.11133,"February 03, 21",0.11965
0,2021-02-02,0.10899,0.1195,0.1006,0.108,0.108,10034312.0,10034312.0,-0.00099,-0.908,0.10937,"February 02, 21",-0.00908
0,2021-02-01,0.112,0.119,0.1025,0.11,0.11,9667375.0,9667375.0,-0.002,-1.786,0.1105,"February 01, 21",-0.01786
0,2021-01-29,0.12099,0.13,0.105,0.1134,0.1134,9706631.0,9706631.0,-0.00759,-6.273,0.11613,"January 29, 21",-0.06273
0,2021-01-28,0.12945,0.135,0.105,0.1267,0.1267,10688919.0,10688919.0,-0.00275,-2.124,0.12223,"January 28, 21",-0.02124
0,2021-01-27,0.1201,0.1499,0.1039,0.1325,0.1325,15208598.0,15208598.0,0.0124,10.325,0.12877,"January 27, 21",0.10325
0,2021-01-26,0.128,0.128,0.1,0.1201,0.1201,19556704.0,19556704.0,-0.0079,-6.172,0.11603,"January 26, 21",-0.06172
0,2021-01-25,0.131,0.135,0.1,0.12775,0.12775,20469125.0,20469125.0,-0.00325,-2.481,0.12092,"January 25, 21",-0.02481
0,2021-01-22,0.15,0.15,0.13,0.137,0.137,8611366.0,8611366.0,-0.013,-8.667,0.139,"January 22, 21",-0.08667
0,2021-01-21,0.1599,0.1599,0.111,0.146,0.146,19308875.0,19308875.0,-0.0139,-8.693,0.13897,"January 21, 21",-0.08693
0,2021-01-20,0.175,0.175,0.142,0.1552,0.1552,14550700.0,14550700.0,-0.0198,-11.314,0.1574,"January 20, 21",-0.11314
0,2021-01-19,0.165,0.175,0.145,0.1599,0.1599,21758792.0,21758792.0,-0.0051,-3.091,0.15997,"January 19, 21",-0.03091
0,2021-01-15,0.16,0.173,0.121,0.142,0.142,38153376.0,38153376.0,-0.018,-11.25,0.14533,"January 15, 21",-0.1125
0,2021-01-14,0.105,0.184,0.105,0.1587,0.1587,83298148.0,83298148.0,0.0537,51.143,0.14923,"January 14, 21",0.51143
0,2021-01-13,0.072,0.11,0.07,0.10488,0.10488,40507596.0,40507596.0,0.03288,45.667,0.09496,"January 13, 21",0.45667
0,2021-01-12,0.072,0.072,0.06485,0.06933,0.06933,9212463.0,9212463.0,-0.00267,-3.708,0.06873,"January 12, 21",-0.03708
0,2021-01-11,0.07,0.072,0.06,0.06468,0.06468,13815750.0,13815750.0,-0.00532,-7.6,0.06556,"January 11, 21",-0.076
0,2021-01-08,0.04655,0.0725,0.0451,0.064,0.064,23611578.0,23611578.0,0.01745,37.487,0.06053,"January 08, 21",0.37487
0,2021-01-07,0.05325,0.0549,0.0413,0.04718,0.04718,27207859.0,27207859.0,-0.00607,-11.399,0.04779,"January 07, 21",-0.11399
0,2021-01-06,0.061,0.061,0.05,0.0539,0.0539,21108653.0,21108653.0,-0.0071,-11.639,0.05497,"January 06, 21",-0.11639
0,2021-01-05,0.0595,0.063,0.05325,0.05725,0.05725,8177193.0,8177193.0,-0.00225,-3.782,0.05783,"January 05, 21",-0.03782
0,2021-01-04,0.085,0.085,0.0525,0.057,0.057,17619340.0,17619340.0,-0.028,-32.941,0.06483,"January 04, 21",-0.32941
0,2020-12-31,0.0749,0.0749,0.0551,0.0622,0.0622,11962442.0,11962442.0,-0.0127,-16.956,0.06407,"December 31, 20",-0.16956
0,2020-12-30,0.074,0.08,0.051,0.069,0.069,19788266.0,19788266.0,-0.005,-6.757,0.06667,"December 30, 20",-0.06757
0,2020-12-29,0.0775,0.101,0.067,0.074,0.074,40959244.0,40959244.0,-0.0035,-4.516,0.08067,"December 29, 20",-0.04516
0,2020-12-28,0.04249,0.092,0.04,0.0748,0.0748,84502040.0,84502040.0,0.03231,76.041,0.06893,"December 28, 20",0.76041
0,2020-12-24,0.0407,0.041,0.035,0.0408,0.0408,14745248.0,14745248.0,0.0001,0.246,0.03893,"December 24, 20",0.00246
0,2020-12-23,0.0475,0.0475,0.036,0.03975,0.03975,16881719.0,16881719.0,-0.00775,-16.316,0.04108,"December 23, 20",-0.16316
0,2020-12-22,0.0501,0.054,0.035,0.043,0.043,51453646.0,51453646.0,-0.0071,-14.172,0.044,"December 22, 20",-0.14172
0,2020-12-21,0.03,0.0523,0.03,0.0499,0.0499,39267799.0,39267799.0,0.0199,66.333,0.04407,"December 21, 20",0.66333
0,2020-12-18,0.043,0.043,0.0296,0.0305,0.0305,22348006.0,22348006.0,-0.0125,-29.07,0.03437,"December 18, 20",-0.2907
0,2020-12-17,0.0315,0.048,0.0261,0.0369,0.0369,100646199.0,100646199.0,0.0054,17.143,0.037,"December 17, 20",0.17143
0,2020-12-16,0.0166,0.0328,0.0166,0.0285,0.0285,86569539.0,86569539.0,0.0119,71.687,0.02597,"December 16, 20",0.71687
0,2020-12-15,0.0124,0.0177,0.0124,0.0164,0.0164,17609010.0,17609010.0,0.004,32.258,0.0155,"December 15, 20",0.32258
0,2020-12-14,0.01541,0.0185,0.0152,0.0155,0.0155,27431403.0,27431403.0,9e-05,0.584,0.0164,"December 14, 20",0.00584
0,2020-12-11,0.0139,0.0159,0.0125,0.0144,0.0144,5630014.0,5630014.0,0.0005,3.597,0.01427,"December 11, 20",0.03597
0,2020-12-10,0.0129,0.0145,0.01245,0.014,0.014,6780791.0,6780791.0,0.0011,8.527,0.01365,"December 10, 20",0.08527
0,2020-12-09,0.012,0.014,0.012,0.01266,0.01266,5221974.0,5221974.0,0.00066,5.5,0.01289,"December 09, 20",0.055
0,2020-12-08,0.0126,0.013,0.0115,0.0119,0.0119,7255873.0,7255873.0,-0.0007,-5.556,0.01213,"December 08, 20",-0.05556
0,2020-12-07,0.01449,0.0155,0.0108,0.0122,0.0122,14928905.0,14928905.0,-0.00229,-15.804,0.01283,"December 07, 20",-0.15804
0,2020-12-04,0.0134,0.0145,0.0115,0.01423,0.01423,8052544.0,8052544.0,0.00083,6.194,0.01341,"December 04, 20",0.06194
0,2020-12-03,0.0179,0.018,0.0116,0.014,0.014,23766252.0,23766252.0,-0.0039,-21.788,0.01453,"December 03, 20",-0.21788
0,2020-12-02,0.02199,0.023,0.017,0.0179,0.0179,11193577.0,11193577.0,-0.00409,-18.599,0.0193,"December 02, 20",-0.18599
0,2020-12-01,0.013,0.024,0.013,0.0208,0.0208,71060523.0,71060523.0,0.0078,60.0,0.01927,"December 01, 20",0.6
0,2020-11-30,0.011,0.01368,0.00855,0.0125,0.0125,24656247.0,24656247.0,0.0015,13.636,0.01158,"November 30, 20",0.13636
0,2020-11-27,0.0092,0.01,0.00855,0.009,0.009,2541029.0,2541029.0,-0.0002,-2.174,0.00918,"November 27, 20",-0.02174
0,2020-11-25,0.0099,0.0099,0.008,0.009,0.009,3377969.0,3377969.0,-0.0009,-9.091,0.00897,"November 25, 20",-0.09091
0,2020-11-24,0.012,0.01315,0.0079,0.0095,0.0095,10209651.0,10209651.0,-0.0025,-20.833,0.01018,"November 24, 20",-0.20833
0,2020-11-23,0.0089,0.0125,0.0076,0.011,0.011,13587175.0,13587175.0,0.0021,23.596,0.01037,"November 23, 20",0.23596
0,2020-11-20,0.007,0.011,0.007,0.0089,0.0089,15418323.0,15418323.0,0.0019,27.143,0.00897,"November 20, 20",0.27143
0,2020-11-19,0.0065,0.007,0.0065,0.007,0.007,1394879.0,1394879.0,0.0005,7.692,0.00683,"November 19, 20",0.07692
0,2020-11-18,0.0064,0.0072,0.0064,0.00675,0.00675,1001517.0,1001517.0,0.00035,5.469,0.00678,"November 18, 20",0.05469
0,2020-11-17,0.0069,0.0078,0.0065,0.007,0.007,792130.0,792130.0,0.0001,1.449,0.0071,"November 17, 20",0.01449
0,2020-11-16,0.0065,0.0069,0.006,0.0069,0.0069,2837012.0,2837012.0,0.0004,6.154,0.0066,"November 16, 20",0.06154
0,2020-11-13,0.0067,0.0067,0.0058,0.0062,0.0062,4299933.0,4299933.0,-0.0005,-7.463,0.00623,"November 13, 20",-0.07463
0,2020-11-12,0.0073,0.0074,0.0065,0.0065,0.0065,1369121.0,1369121.0,-0.0008,-10.959,0.0068,"November 12, 20",-0.10959
0,2020-11-11,0.0075,0.0075,0.0066,0.0068,0.0068,2741940.0,2741940.0,-0.0007,-9.333,0.00697,"November 11, 20",-0.09333
0,2020-11-10,0.0078,0.0078,0.007,0.0074,0.0074,516953.0,516953.0,-0.0004,-5.128,0.0074,"November 10, 20",-0.05128
0,2020-11-09,0.0074,0.0083,0.0061,0.0078,0.0078,1824099.0,1824099.0,0.0004,5.405,0.0074,"November 09, 20",0.05405
0,2020-11-06,0.0063,0.0074,0.0063,0.0072,0.0072,3441689.0,3441689.0,0.0009,14.286,0.00697,"November 06, 20",0.14286
0,2020-11-05,0.0068,0.007,0.0061,0.0063,0.0063,2464211.0,2464211.0,-0.0005,-7.353,0.00647,"November 05, 20",-0.07353
0,2020-11-04,0.0067,0.0067,0.0063,0.0065,0.0065,1687327.0,1687327.0,-0.0002,-2.985,0.0065,"November 04, 20",-0.02985
0,2020-11-03,0.0068,0.0068,0.006,0.0067,0.0067,5002338.0,5002338.0,-0.0001,-1.471,0.0065,"November 03, 20",-0.01471
0,2020-11-02,0.0064,0.0072,0.006,0.0068,0.0068,10213595.0,10213595.0,0.0004,6.25,0.00667,"November 02, 20",0.0625
0,2020-10-30,0.0075,0.0075,0.0062,0.0063,0.0063,9489828.0,9489828.0,-0.0012,-16.0,0.00667,"October 30, 20",-0.16
0,2020-10-29,0.0072,0.0078,0.0061,0.0074,0.0074,8574812.0,8574812.0,0.0002,2.778,0.0071,"October 29, 20",0.02778
