,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-03,0.63,0.6884,0.63,0.67655,0.67655,622326.0,622326.0,0.04655,7.389,0.66498,"February 03, 21",0.07389
0,2021-02-02,0.617,0.6578,0.617,0.65,0.65,444093.0,444093.0,0.033,5.348,0.6416,"February 02, 21",0.05348
0,2021-02-01,0.585,0.6405,0.585,0.63,0.63,284348.0,284348.0,0.045,7.692,0.6185,"February 01, 21",0.07692
0,2021-01-29,0.6,0.63,0.5851,0.6027,0.6027,477045.0,477045.0,0.0027,0.45,0.60593,"January 29, 21",0.0045
0,2021-01-28,0.6026,0.66,0.5938,0.6008,0.6008,468596.0,468596.0,-0.0018,-0.299,0.6182,"January 28, 21",-0.00299
0,2021-01-27,0.625,0.67,0.6035,0.6308,0.6308,330175.0,330175.0,0.0058,0.928,0.63477,"January 27, 21",0.00928
0,2021-01-26,0.656,0.6982,0.6536,0.6552,0.6552,62499.0,62499.0,-0.0008,-0.122,0.669,"January 26, 21",-0.00122
0,2021-01-25,0.726,0.726,0.6557,0.6752,0.6752,247433.0,247433.0,-0.0508,-6.997,0.68563,"January 25, 21",-0.06997
0,2021-01-22,0.63,0.68865,0.63,0.68,0.68,137070.0,137070.0,0.05,7.937,0.66622,"January 22, 21",0.07937
0,2021-01-21,0.7098,0.71,0.6911,0.695,0.695,157246.0,157246.0,-0.0148,-2.085,0.6987,"January 21, 21",-0.02085
0,2021-01-20,0.681,0.7085,0.6665,0.70595,0.70595,314868.0,314868.0,0.02495,3.664,0.69365,"January 20, 21",0.03664
0,2021-01-19,0.65,0.7,0.65,0.6906,0.6906,139205.0,139205.0,0.0406,6.246,0.6802,"January 19, 21",0.06246
0,2021-01-15,0.68,0.7218,0.6777,0.683,0.683,263927.0,263927.0,0.003,0.441,0.69417,"January 15, 21",0.00441
0,2021-01-14,0.661,0.72,0.661,0.7121,0.7121,170161.0,170161.0,0.0511,7.731,0.6977,"January 14, 21",0.07731
0,2021-01-13,0.7218,0.72272,0.6902,0.69892,0.69892,294330.0,294330.0,-0.02288,-3.17,0.70395,"January 13, 21",-0.0317
0,2021-01-12,0.642,0.7218,0.642,0.7078,0.7078,492661.0,492661.0,0.0658,10.249,0.69053,"January 12, 21",0.10249
0,2021-01-11,0.6805,0.708,0.65,0.67,0.67,118326.0,118326.0,-0.0105,-1.543,0.676,"January 11, 21",-0.01543
0,2021-01-08,0.7,0.71,0.67,0.6804,0.6804,446662.0,446662.0,-0.0196,-2.8,0.6868,"January 08, 21",-0.028
0,2021-01-07,0.645,0.6995,0.645,0.6942,0.6942,256713.0,256713.0,0.0492,7.628,0.67957,"January 07, 21",0.07628
0,2021-01-06,0.652,0.7009,0.652,0.6658,0.6658,371058.0,371058.0,0.0138,2.117,0.6729,"January 06, 21",0.02117
0,2021-01-05,0.538,0.6787,0.538,0.66635,0.66635,749228.0,749228.0,0.12835,23.857,0.62768,"January 05, 21",0.23857
0,2021-01-04,0.55,0.5828,0.511,0.57,0.57,188753.0,188753.0,0.02,3.636,0.5546,"January 04, 21",0.03636
0,2020-12-31,0.5294,0.55,0.52,0.536,0.536,241022.0,241022.0,0.0066,1.247,0.53533,"December 31, 20",0.01247
0,2020-12-30,0.536,0.55,0.5357,0.541,0.541,209829.0,209829.0,0.005,0.933,0.54223,"December 30, 20",0.00933
