,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-12,4.365,4.4,4.258,4.3555,4.3555,1705131.0,1705131.0,-0.0095,-0.218,4.33783,"February 12, 21",-0.00218
0,2021-02-11,4.396,4.397,4.325,4.36,4.36,455796.0,455796.0,-0.036,-0.819,4.36067,"February 11, 21",-0.00819
0,2021-02-10,4.429,4.459,4.367,4.4265,4.4265,1300177.0,1300177.0,-0.0025,-0.056,4.4175,"February 10, 21",-0.00056
0,2021-02-09,4.459,4.459,4.37,4.363,4.363,2969898.0,2969898.0,-0.096,-2.153,4.39733,"February 09, 21",-0.02153
0,2021-02-08,4.42,4.509,4.412,4.493,4.493,2029943.0,2029943.0,0.073,1.652,4.47133,"February 08, 21",0.01652
0,2021-02-05,4.301,4.443,4.272,4.36,4.36,4250267.0,4250267.0,0.059,1.372,4.35833,"February 05, 21",0.01372
0,2021-02-04,4.1,4.34,4.074,4.33,4.33,3437724.0,3437724.0,0.23,5.61,4.248,"February 04, 21",0.0561
0,2021-02-03,4.099,4.134,3.926,4.014,4.014,863426.0,863426.0,-0.085,-2.074,4.02467,"February 03, 21",-0.02074
0,2021-02-02,3.813,3.984,3.793,3.9545,3.9545,2735214.0,2735214.0,0.1415,3.711,3.9105,"February 02, 21",0.03711
0,2021-02-01,3.842,3.86362,3.74411,3.7565,3.7565,1489011.0,1489011.0,-0.0855,-2.225,3.78808,"February 01, 21",-0.02225
0,2021-01-29,3.883,3.9,3.767,3.8215,3.8215,4161550.0,4161550.0,-0.0615,-1.584,3.8295,"January 29, 21",-0.01584
0,2021-01-28,3.782,3.955,3.782,3.9565,3.9565,2105263.0,2105263.0,0.1745,4.614,3.89783,"January 28, 21",0.04614
0,2021-01-27,3.945,3.958,3.815,3.8295,3.8295,2277841.0,2277841.0,-0.1155,-2.928,3.8675,"January 27, 21",-0.02928
0,2021-01-26,3.912,3.972,3.894,3.927,3.927,3746783.0,3746783.0,0.015,0.383,3.931,"January 26, 21",0.00383
0,2021-01-25,4.05,4.072,3.885,3.92,3.92,471563.0,471563.0,-0.13,-3.21,3.959,"January 25, 21",-0.0321
0,2021-01-22,3.976,4.064,3.96,4.017,4.017,4720316.0,4720316.0,0.041,1.031,4.01367,"January 22, 21",0.01031
0,2021-01-21,4.07,4.098,4.028,4.0725,4.0725,622119.0,622119.0,0.0025,0.061,4.06617,"January 21, 21",0.00061
0,2021-01-20,4.026,4.069,4.017,4.042,4.042,1177770.0,1177770.0,0.016,0.397,4.04267,"January 20, 21",0.00397
0,2021-01-19,4.16,4.191,4.022,4.04,4.04,1381363.0,1381363.0,-0.12,-2.885,4.08433,"January 19, 21",-0.02885
0,2021-01-18,4.07,4.149,4.066,4.132,4.132,452654.0,452654.0,0.062,1.523,4.11567,"January 18, 21",0.01523
0,2021-01-15,4.159,4.21,4.039,4.0605,4.0605,2499449.0,2499449.0,-0.0985,-2.368,4.10317,"January 15, 21",-0.02368
0,2021-01-14,4.195,4.224,4.139,4.1505,4.1505,1531822.0,1531822.0,-0.0445,-1.061,4.17117,"January 14, 21",-0.01061
0,2021-01-13,4.25,4.263,4.195,4.2285,4.2285,837485.0,837485.0,-0.0215,-0.506,4.22883,"January 13, 21",-0.00506
0,2021-01-12,4.286,4.294,4.251,4.2725,4.2725,1979057.0,1979057.0,-0.0135,-0.315,4.2725,"January 12, 21",-0.00315
0,2021-01-11,4.274,4.307,4.215,4.217,4.217,1665834.0,1665834.0,-0.057,-1.334,4.24633,"January 11, 21",-0.01334
0,2021-01-08,4.375,4.375,4.249,4.2645,4.2645,1464446.0,1464446.0,-0.1105,-2.526,4.29617,"January 08, 21",-0.02526
0,2021-01-07,4.336,4.355,4.22051,4.3425,4.3425,60851202.0,60851202.0,0.0065,0.15,4.306,"January 07, 21",0.0015
0,2021-01-06,4.155,4.355,4.155,4.296,4.296,28290391.0,28290391.0,0.141,3.394,4.26867,"January 06, 21",0.03394
0,2021-01-05,4.053,4.091,4.027,4.048,4.048,4304094.0,4304094.0,-0.005,-0.123,4.05533,"January 05, 21",-0.00123
0,2021-01-04,4.105,4.105,3.985,4.0735,4.0735,15158251.0,15158251.0,-0.0315,-0.767,4.0545,"January 04, 21",-0.00767
0,2020-12-31,4.059,4.079,4.035,4.051,4.051,19636.0,19636.0,-0.008,-0.197,4.055,"December 31, 20",-0.00197
0,2020-12-30,4.07,4.148,4.07,4.09,4.09,7048302.0,7048302.0,0.02,0.491,4.10267,"December 30, 20",0.00491
0,2020-12-29,4.109,4.118,4.05,4.1005,4.1005,369455.0,369455.0,-0.0085,-0.207,4.0895,"December 29, 20",-0.00207
0,2020-12-24,4.089,4.1,4.07,4.094,4.094,442164.0,442164.0,0.005,0.122,4.088,"December 24, 20",0.00122
0,2020-12-23,3.983,4.086,3.967,4.0715,4.0715,321419.0,321419.0,0.0885,2.222,4.0415,"December 23, 20",0.02222
0,2020-12-22,3.9,3.993,3.9,3.9525,3.9525,8957628.0,8957628.0,0.0525,1.346,3.9485,"December 22, 20",0.01346
0,2020-12-21,3.912,4.09063,3.815,3.8755,3.8755,3296638.0,3296638.0,-0.0365,-0.933,3.92704,"December 21, 20",-0.00933
0,2020-12-18,4.033,4.09063,4.017,4.0315,4.0315,1176803.0,1176803.0,-0.0015,-0.037,4.04638,"December 18, 20",-0.00037
0,2020-12-17,4.069,4.084,4.01288,4.0705,4.0705,19194412.0,19194412.0,0.0015,0.037,4.05579,"December 17, 20",0.00037
0,2020-12-16,4.074,4.117,4.02,4.053,4.053,15987718.0,15987718.0,-0.021,-0.515,4.06333,"December 16, 20",-0.00515
0,2020-12-15,4.03,4.101,3.992,4.098,4.098,31275624.0,31275624.0,0.068,1.687,4.06367,"December 15, 20",0.01687
0,2020-12-14,4.026,4.11,4.013,4.082,4.082,1354061.0,1354061.0,0.056,1.391,4.06833,"December 14, 20",0.01391
0,2020-12-11,4.031,4.048,3.87,3.9505,3.9505,2780544.0,2780544.0,-0.0805,-1.997,3.95617,"December 11, 20",-0.01997
0,2020-12-10,4.198,4.198,4.01,4.051,4.051,1416055.0,1416055.0,-0.147,-3.502,4.08633,"December 10, 20",-0.03502
0,2020-12-09,4.195,4.195,4.144,4.1865,4.1865,2455310.0,2455310.0,-0.0085,-0.203,4.17517,"December 09, 20",-0.00203
0,2020-12-08,4.179,4.237,4.155,4.164,4.164,10732412.0,10732412.0,-0.015,-0.359,4.18533,"December 08, 20",-0.00359
