,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-15,183.800003,191.699997,183.699997,191.100006,191.100006,1377897.0,1377897.0,7.3,3.972,188.83333,"February 15, 21",0.03972
0,2021-02-12,185.199997,185.199997,178.800003,182.300003,182.300003,1626726.0,1626726.0,-2.89999,-1.566,182.1,"February 12, 21",-0.01566
0,2021-02-11,178.800003,183.100006,178.800003,181.699997,181.699997,1528053.0,1528053.0,2.89999,1.622,181.2,"February 11, 21",0.01622
0,2021-02-10,188.199997,188.199997,181.300003,184.0,184.0,1459866.0,1459866.0,-4.2,-2.232,184.5,"February 10, 21",-0.02232
0,2021-02-09,179.399994,186.800003,179.399994,185.0,185.0,1270813.0,1270813.0,5.60001,3.122,183.73333,"February 09, 21",0.03122
0,2021-02-08,187.5,187.5,181.800003,183.0,183.0,906830.0,906830.0,-4.5,-2.4,184.1,"February 08, 21",-0.024
0,2021-02-05,175.0,183.899994,174.899994,182.699997,182.699997,966818.0,966818.0,7.7,4.4,180.49999,"February 05, 21",0.044
0,2021-02-04,175.699997,180.647995,175.699997,178.199997,178.199997,1111176.0,1111176.0,2.5,1.423,178.18266,"February 04, 21",0.01423
0,2021-02-03,178.5,179.787994,175.199997,178.300003,178.300003,1099365.0,1099365.0,-0.2,-0.112,177.76266,"February 03, 21",-0.00112
0,2021-02-02,177.0,179.899994,174.699997,177.300003,177.300003,2602089.0,2602089.0,0.3,0.169,177.3,"February 02, 21",0.00169
0,2021-02-01,182.0,186.600006,177.399994,178.0,178.0,1648031.0,1648031.0,-4.0,-2.198,180.66667,"February 01, 21",-0.02198
0,2021-01-29,182.899994,182.899994,175.699997,180.399994,180.399994,1483264.0,1483264.0,-2.5,-1.367,179.66666,"January 29, 21",-0.01367
0,2021-01-28,174.300003,179.800003,170.100006,178.300003,178.300003,1426985.0,1426985.0,4.0,2.295,176.06667,"January 28, 21",0.02295
0,2021-01-27,176.600006,177.600006,168.399994,176.0,176.0,1445926.0,1445926.0,-0.60001,-0.34,174.0,"January 27, 21",-0.0034
0,2021-01-26,177.399994,178.5,170.300003,176.699997,176.699997,4094540.0,4094540.0,-0.7,-0.395,175.16667,"January 26, 21",-0.00395
0,2021-01-25,175.0,179.699997,172.600006,173.0,173.0,1210441.0,1210441.0,-2.0,-1.143,175.1,"January 25, 21",-0.01143
0,2021-01-22,188.800003,189.5,176.699997,177.899994,177.899994,6017066.0,6017066.0,-10.90001,-5.773,181.36666,"January 22, 21",-0.05773
0,2021-01-21,186.5,189.5,183.899994,184.5,184.5,995407.0,995407.0,-2.0,-1.072,185.96666,"January 21, 21",-0.01072
0,2021-01-20,189.0,193.199997,184.899994,187.699997,187.699997,1427660.0,1427660.0,-1.3,-0.688,188.6,"January 20, 21",-0.00688
0,2021-01-19,185.5,191.699997,185.5,190.100006,190.100006,809965.0,809965.0,4.60001,2.48,189.1,"January 19, 21",0.0248
0,2021-01-18,196.300003,196.300003,187.899994,189.899994,189.899994,586429.0,586429.0,-6.40001,-3.26,191.36666,"January 18, 21",-0.0326
0,2021-01-15,198.899994,198.899994,188.399994,191.199997,191.199997,799302.0,799302.0,-7.7,-3.871,192.83333,"January 15, 21",-0.03871
0,2021-01-14,196.300003,197.5,190.0,194.899994,194.899994,1025962.0,1025962.0,-1.40001,-0.713,194.13333,"January 14, 21",-0.00713
0,2021-01-13,200.0,201.149994,190.841003,190.979996,190.979996,1308887.0,1308887.0,-9.02,-4.51,194.32366,"January 13, 21",-0.0451
0,2021-01-12,198.0,204.449997,196.960007,199.0,199.0,1001010.0,1001010.0,1.0,0.505,200.13667,"January 12, 21",0.00505
0,2021-01-11,205.199997,207.949997,195.800003,199.479996,199.479996,1453078.0,1453078.0,-5.72,-2.788,201.07667,"January 11, 21",-0.02788
0,2021-01-08,247.235992,248.182007,239.199997,244.162994,244.162994,2057483.0,2057483.0,-3.073,-1.243,243.84833,"January 08, 21",-0.01243
0,2021-01-07,251.727005,252.649002,243.690994,246.291,246.291,1054203.0,1054203.0,-5.436,-2.159,247.54367,"January 07, 21",-0.02159
0,2021-01-06,248.181702,251.963501,241.090805,250.781693,250.781693,2537816.0,2537816.0,2.59999,1.048,247.94533,"January 06, 21",0.01048
0,2021-01-05,236.599899,246.999893,232.463501,246.999893,246.999893,1331475.0,1331475.0,10.39999,4.396,242.15443,"January 05, 21",0.04396
0,2021-01-04,249.836304,252.339401,239.285004,242.272598,242.272598,1920739.0,1920739.0,-7.56371,-3.027,244.63233,"January 04, 21",-0.03027
0,2020-12-31,242.981705,250.781693,242.745407,247.709,247.709,886203.0,886203.0,4.72729,1.946,247.0787,"December 31, 20",0.01946
0,2020-12-30,241.091003,251.490997,237.544998,247.945007,247.945007,1178280.0,1178280.0,6.854,2.843,245.66033,"December 30, 20",0.02843
0,2020-12-29,252.908997,254.882996,241.800003,243.218002,243.218002,1643739.0,1643739.0,-9.69099,-3.832,246.63367,"December 29, 20",-0.03832
0,2020-12-24,245.345001,252.673004,242.272995,251.727005,251.727005,1148390.0,1148390.0,6.382,2.601,248.891,"December 24, 20",0.02601
0,2020-12-23,265.908997,283.635986,231.723999,239.436005,239.436005,8589579.0,8589579.0,-26.47299,-9.956,251.59866,"December 23, 20",-0.09956
0,2020-12-22,190.863998,196.416,190.863998,196.063995,196.063995,772533.0,772533.0,5.2,2.724,194.448,"December 22, 20",0.02724
