,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-01-27,42.650002,42.700001,41.200001,41.799999,41.799999,12814.0,12814.0,-0.85,-1.993,41.9,"January 27, 21",-0.01993
0,2021-01-25,44.25,44.25,41.900002,42.200001,42.200001,24777.0,24777.0,-2.05,-4.633,42.78333,"January 25, 21",-0.04633
0,2021-01-22,42.0,44.549999,41.549999,42.799999,42.799999,53831.0,53831.0,0.8,1.905,42.96667,"January 22, 21",0.01905
0,2021-01-21,42.200001,43.5,42.0,42.049999,42.049999,12110.0,12110.0,-0.15,-0.355,42.51667,"January 21, 21",-0.00355
0,2021-01-20,43.150002,44.049999,42.299999,42.650002,42.650002,13790.0,13790.0,-0.5,-1.159,43.0,"January 20, 21",-0.01159
0,2021-01-19,44.200001,44.200001,43.0,43.150002,43.150002,14466.0,14466.0,-1.05,-2.376,43.45,"January 19, 21",-0.02376
0,2021-01-18,43.400002,44.700001,41.049999,43.450001,43.450001,39996.0,39996.0,0.05,0.115,43.06667,"January 18, 21",0.00115
0,2021-01-15,44.299999,44.299999,42.150002,42.5,42.5,28425.0,28425.0,-1.8,-4.063,42.98333,"January 15, 21",-0.04063
0,2021-01-14,44.299999,44.799999,42.049999,43.549999,43.549999,17208.0,17208.0,-0.75,-1.693,43.46667,"January 14, 21",-0.01693
0,2021-01-13,44.650002,45.0,43.299999,44.0,44.0,59373.0,59373.0,-0.65,-1.456,44.1,"January 13, 21",-0.01456
0,2021-01-12,45.25,45.25,43.450001,43.75,43.75,114245.0,114245.0,-1.5,-3.315,44.15,"January 12, 21",-0.03315
0,2021-01-11,44.950001,45.900002,43.5,44.599998,44.599998,33654.0,33654.0,-0.35,-0.779,44.66667,"January 11, 21",-0.00779
0,2021-01-08,45.849998,45.950001,44.650002,44.900002,44.900002,31062.0,31062.0,-0.95,-2.072,45.16667,"January 08, 21",-0.02072
0,2021-01-07,45.650002,46.349998,44.299999,44.650002,44.650002,42643.0,42643.0,-1.0,-2.191,45.1,"January 07, 21",-0.02191
0,2021-01-06,46.75,46.75,45.0,45.650002,45.650002,85734.0,85734.0,-1.1,-2.353,45.8,"January 06, 21",-0.02353
0,2021-01-05,45.0,46.349998,44.950001,45.5,45.5,43764.0,43764.0,0.5,1.111,45.6,"January 05, 21",0.01111
0,2021-01-04,43.650002,47.099998,43.049999,45.450001,45.450001,244049.0,244049.0,1.8,4.124,45.2,"January 04, 21",0.04124
0,2021-01-01,44.049999,44.049999,42.450001,43.299999,43.299999,43090.0,43090.0,-0.75,-1.703,43.26667,"January 01, 21",-0.01703
0,2020-12-31,44.150002,44.200001,42.0,43.25,43.25,32744.0,32744.0,-0.9,-2.039,43.15,"December 31, 20",-0.02039
0,2020-12-30,44.349998,44.5,43.549999,43.849998,43.849998,14410.0,14410.0,-0.5,-1.127,43.96667,"December 30, 20",-0.01127
0,2020-12-29,43.549999,44.5,43.5,43.700001,43.700001,17219.0,17219.0,0.15,0.344,43.9,"December 29, 20",0.00344
0,2020-12-28,44.0,47.0,41.700001,43.450001,43.450001,38257.0,38257.0,-0.55,-1.25,44.05,"December 28, 20",-0.0125
0,2020-12-24,43.0,44.25,41.599998,42.400002,42.400002,40849.0,40849.0,-0.6,-1.395,42.75,"December 24, 20",-0.01395
0,2020-12-23,41.200001,43.0,41.0,42.549999,42.549999,36848.0,36848.0,1.35,3.277,42.18333,"December 23, 20",0.03277
0,2020-12-22,42.450001,42.450001,38.950001,41.200001,41.200001,48235.0,48235.0,-1.25,-2.945,40.86667,"December 22, 20",-0.02945
0,2020-12-21,44.849998,44.849998,41.049999,42.150002,42.150002,49404.0,49404.0,-2.7,-6.02,42.68333,"December 21, 20",-0.0602
0,2020-12-18,45.25,45.25,43.900002,44.400002,44.400002,19319.0,19319.0,-0.85,-1.878,44.51667,"December 18, 20",-0.01878
0,2020-12-17,46.200001,46.200001,44.549999,44.799999,44.799999,31049.0,31049.0,-1.4,-3.03,45.18333,"December 17, 20",-0.0303
0,2020-12-16,46.200001,46.700001,44.700001,45.450001,45.450001,45727.0,45727.0,-0.75,-1.623,45.61667,"December 16, 20",-0.01623
0,2020-12-15,47.0,47.0,43.549999,45.400002,45.400002,98868.0,98868.0,-1.6,-3.404,45.31667,"December 15, 20",-0.03404
0,2020-12-14,46.25,47.450001,45.349998,46.200001,46.200001,98099.0,98099.0,-0.05,-0.108,46.33333,"December 14, 20",-0.00108
0,2020-12-11,45.900002,47.5,45.049999,45.25,45.25,153775.0,153775.0,-0.65,-1.416,45.93333,"December 11, 20",-0.01416
0,2020-12-10,46.950001,46.950001,43.5,44.950001,44.950001,82863.0,82863.0,-2.0,-4.26,45.13333,"December 10, 20",-0.0426
0,2020-12-09,42.75,48.900002,41.25,45.150002,45.150002,426783.0,426783.0,2.4,5.614,45.1,"December 09, 20",0.05614
