,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-15,1.25,1.25,1.15,1.2,1.2,11455.0,11455.0,-0.05,-4.0,1.2,"February 15, 21",-0.04
0,2021-02-12,1.25,1.25,1.2,1.2,1.2,4293.0,4293.0,-0.05,-4.0,1.21667,"February 12, 21",-0.04
0,2021-02-11,1.2,1.25,1.2,1.25,1.25,903.0,903.0,0.05,4.167,1.23333,"February 11, 21",0.04167
0,2021-02-10,1.15,1.2,1.15,1.2,1.2,4432.0,4432.0,0.05,4.348,1.18333,"February 10, 21",0.04348
0,2021-02-09,1.2,1.2,1.15,1.15,1.15,8255.0,8255.0,-0.05,-4.167,1.16667,"February 09, 21",-0.04167
0,2021-02-08,1.25,1.25,1.2,1.2,1.2,8860.0,8860.0,-0.05,-4.0,1.21667,"February 08, 21",-0.04
0,2021-02-05,1.3,1.3,1.2,1.2,1.2,31208.0,31208.0,-0.1,-7.692,1.23333,"February 05, 21",-0.07692
0,2021-02-04,1.3,1.3,1.2,1.25,1.25,61342.0,61342.0,-0.05,-3.846,1.25,"February 04, 21",-0.03846
0,2021-02-03,1.35,1.35,1.25,1.25,1.25,14123.0,14123.0,-0.1,-7.407,1.28333,"February 03, 21",-0.07407
0,2021-02-02,1.35,1.35,1.3,1.3,1.3,1923.0,1923.0,-0.05,-3.704,1.31667,"February 02, 21",-0.03704
0,2021-02-01,1.35,1.35,1.25,1.35,1.35,5604.0,5604.0,0.0,0.0,1.31667,"February 01, 21",0.0
0,2021-01-29,1.3,1.3,1.2,1.3,1.3,11888.0,11888.0,0.0,0.0,1.26667,"January 29, 21",0.0
0,2021-01-28,1.3,1.3,1.25,1.25,1.25,15823.0,15823.0,-0.05,-3.846,1.26667,"January 28, 21",-0.03846
0,2021-01-27,1.3,1.3,1.25,1.3,1.3,28008.0,28008.0,0.0,0.0,1.28333,"January 27, 21",0.0
0,2021-01-25,1.35,1.35,1.25,1.3,1.3,6218.0,6218.0,-0.05,-3.704,1.3,"January 25, 21",-0.03704
0,2021-01-22,1.4,1.4,1.3,1.3,1.3,1795.0,1795.0,-0.1,-7.143,1.33333,"January 22, 21",-0.07143
0,2021-01-21,1.3,1.4,1.3,1.35,1.35,27729.0,27729.0,0.05,3.846,1.35,"January 21, 21",0.03846
0,2021-01-20,1.4,1.45,1.35,1.35,1.35,18949.0,18949.0,-0.05,-3.571,1.38333,"January 20, 21",-0.03571
0,2021-01-19,1.45,1.45,1.35,1.4,1.4,23220.0,23220.0,-0.05,-3.448,1.4,"January 19, 21",-0.03448
0,2021-01-18,1.45,1.5,1.4,1.4,1.4,10582.0,10582.0,-0.05,-3.448,1.43333,"January 18, 21",-0.03448
0,2021-01-15,1.35,1.45,1.35,1.45,1.45,23216.0,23216.0,0.1,7.407,1.41667,"January 15, 21",0.07407
0,2021-01-14,1.35,1.4,1.35,1.4,1.4,6307.0,6307.0,0.05,3.704,1.38333,"January 14, 21",0.03704
0,2021-01-13,1.5,1.5,1.4,1.4,1.4,6507.0,6507.0,-0.1,-6.667,1.43333,"January 13, 21",-0.06667
0,2021-01-12,1.35,1.45,1.35,1.45,1.45,35369.0,35369.0,0.1,7.407,1.41667,"January 12, 21",0.07407
0,2021-01-11,1.5,1.5,1.4,1.4,1.4,24052.0,24052.0,-0.1,-6.667,1.43333,"January 11, 21",-0.06667
0,2021-01-08,1.45,1.55,1.45,1.45,1.45,24936.0,24936.0,0.0,0.0,1.48333,"January 08, 21",0.0
0,2021-01-07,1.45,1.55,1.45,1.5,1.5,55098.0,55098.0,0.05,3.448,1.5,"January 07, 21",0.03448
0,2021-01-06,1.5,1.6,1.5,1.5,1.5,89795.0,89795.0,0.0,0.0,1.53333,"January 06, 21",0.0
0,2021-01-05,1.55,1.55,1.55,1.55,1.55,17856.0,17856.0,0.0,0.0,1.55,"January 05, 21",0.0
0,2021-01-04,1.55,1.6,1.5,1.6,1.6,21010.0,21010.0,0.05,3.226,1.56667,"January 04, 21",0.03226
0,2021-01-01,1.6,1.6,1.55,1.55,1.55,47200.0,47200.0,-0.05,-3.125,1.56667,"January 01, 21",-0.03125
0,2020-12-31,1.6,1.6,1.55,1.55,1.55,119516.0,119516.0,-0.05,-3.125,1.56667,"December 31, 20",-0.03125
0,2020-12-30,1.5,1.55,1.5,1.55,1.55,46685.0,46685.0,0.05,3.333,1.53333,"December 30, 20",0.03333
0,2020-12-29,1.45,1.5,1.45,1.5,1.5,124019.0,124019.0,0.05,3.448,1.48333,"December 29, 20",0.03448
0,2020-12-28,1.5,1.5,1.4,1.45,1.45,57056.0,57056.0,-0.05,-3.333,1.45,"December 28, 20",-0.03333
0,2020-12-24,1.45,1.45,1.35,1.45,1.45,41228.0,41228.0,0.0,0.0,1.41667,"December 24, 20",0.0
0,2020-12-23,1.4,1.4,1.35,1.4,1.4,87839.0,87839.0,0.0,0.0,1.38333,"December 23, 20",0.0
0,2020-12-22,1.3,1.35,1.25,1.35,1.35,165651.0,165651.0,0.05,3.846,1.31667,"December 22, 20",0.03846
0,2020-12-21,1.35,1.35,1.3,1.3,1.3,47028.0,47028.0,-0.05,-3.704,1.31667,"December 21, 20",-0.03704
0,2020-12-18,1.3,1.3,1.25,1.3,1.3,117780.0,117780.0,0.0,0.0,1.28333,"December 18, 20",0.0
0,2020-12-17,1.35,1.35,1.25,1.25,1.25,73194.0,73194.0,-0.1,-7.407,1.28333,"December 17, 20",-0.07407
0,2020-12-16,1.4,1.4,1.3,1.3,1.3,35164.0,35164.0,-0.1,-7.143,1.33333,"December 16, 20",-0.07143
0,2020-12-15,1.35,1.35,1.25,1.35,1.35,52355.0,52355.0,0.0,0.0,1.31667,"December 15, 20",0.0
0,2020-12-14,1.4,1.4,1.3,1.3,1.3,128270.0,128270.0,-0.1,-7.143,1.33333,"December 14, 20",-0.07143
0,2020-12-11,1.35,1.35,1.35,1.35,1.35,79083.0,79083.0,0.0,0.0,1.35,"December 11, 20",0.0
0,2020-12-10,1.5,1.5,1.4,1.4,1.4,43645.0,43645.0,-0.1,-6.667,1.43333,"December 10, 20",-0.06667
0,2020-12-09,1.35,1.45,1.35,1.45,1.45,121705.0,121705.0,0.1,7.407,1.41667,"December 09, 20",0.07407
0,2020-12-08,1.35,1.35,1.35,1.35,1.35,38070.0,38070.0,0.0,0.0,1.35,"December 08, 20",0.0
0,2020-12-07,1.2,1.25,1.2,1.25,1.25,52294.0,52294.0,0.05,4.167,1.23333,"December 07, 20",0.04167
