,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-12,0.2,0.2,0.2,0.2,0.2,11500.0,11500.0,0.0,0.0,0.2,"February 12, 21",0.0
0,2021-02-11,0.2,0.2,0.2,0.2,0.2,25800.0,25800.0,0.0,0.0,0.2,"February 11, 21",0.0
0,2021-02-10,0.2,0.2,0.2,0.2,0.2,68200.0,68200.0,0.0,0.0,0.2,"February 10, 21",0.0
0,2021-02-09,0.2,0.2,0.2,0.2,0.2,81500.0,81500.0,0.0,0.0,0.2,"February 09, 21",0.0
0,2021-02-08,0.2,0.2,0.2,0.2,0.2,43800.0,43800.0,0.0,0.0,0.2,"February 08, 21",0.0
0,2021-02-05,0.2,0.21,0.2,0.21,0.21,141400.0,141400.0,0.01,5.0,0.20667,"February 05, 21",0.05
0,2021-02-04,0.2,0.21,0.2,0.2,0.2,89500.0,89500.0,0.0,0.0,0.20333,"February 04, 21",0.0
0,2021-02-03,0.2,0.21,0.2,0.21,0.21,137100.0,137100.0,0.01,5.0,0.20667,"February 03, 21",0.05
0,2021-02-02,0.2,0.2,0.2,0.2,0.2,62500.0,62500.0,0.0,0.0,0.2,"February 02, 21",0.0
0,2021-02-01,0.21,0.21,0.19,0.2,0.2,66500.0,66500.0,-0.01,-4.762,0.2,"February 01, 21",-0.04762
0,2021-01-29,0.2,0.2,0.2,0.2,0.2,7500.0,7500.0,0.0,0.0,0.2,"January 29, 21",0.0
0,2021-01-28,0.21,0.22,0.21,0.21,0.21,14200.0,14200.0,0.0,0.0,0.21333,"January 28, 21",0.0
0,2021-01-27,0.22,0.22,0.21,0.21,0.21,92100.0,92100.0,-0.01,-4.545,0.21333,"January 27, 21",-0.04545
0,2021-01-26,0.21,0.22,0.21,0.22,0.22,33400.0,33400.0,0.01,4.762,0.21667,"January 26, 21",0.04762
0,2021-01-25,0.22,0.22,0.2,0.21,0.21,111500.0,111500.0,-0.01,-4.545,0.21,"January 25, 21",-0.04545
0,2021-01-22,0.23,0.23,0.23,0.23,0.23,5000.0,5000.0,0.0,0.0,0.23,"January 22, 21",0.0
