,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-12,0.0768,0.0807,0.0723,0.0725,0.0725,1255950.0,1255950.0,-0.0043,-5.599,0.07517,"February 12, 21",-0.05599
0,2021-02-11,0.081,0.081,0.075,0.0759,0.0759,2677402.0,2677402.0,-0.0051,-6.296,0.0773,"February 11, 21",-0.06296
0,2021-02-10,0.085,0.11,0.0775,0.081,0.081,9923573.0,9923573.0,-0.004,-4.706,0.0895,"February 10, 21",-0.04706
0,2021-02-09,0.0685,0.0725,0.06,0.07,0.07,2236978.0,2236978.0,0.0015,2.19,0.0675,"February 09, 21",0.0219
0,2021-02-08,0.06425,0.075,0.05,0.0648,0.0648,2743559.0,2743559.0,0.00055,0.856,0.06327,"February 08, 21",0.00856
0,2021-02-05,0.0779,0.0779,0.06,0.0672,0.0672,4842147.0,4842147.0,-0.0107,-13.736,0.06837,"February 05, 21",-0.13736
0,2021-02-04,0.0894,0.1,0.065,0.068,0.068,5929036.0,5929036.0,-0.0214,-23.937,0.07767,"February 04, 21",-0.23937
0,2021-02-03,0.0549,0.129,0.05286,0.08,0.08,22011786.0,22011786.0,0.0251,45.719,0.08729,"February 03, 21",0.45719
0,2021-02-02,0.05,0.06,0.04715,0.0569,0.0569,888551.0,888551.0,0.0069,13.8,0.05468,"February 02, 21",0.138
0,2021-02-01,0.058,0.058,0.0425,0.05,0.05,667398.0,667398.0,-0.008,-13.793,0.05017,"February 01, 21",-0.13793
0,2021-01-29,0.058,0.058,0.04669,0.052,0.052,781397.0,781397.0,-0.006,-10.345,0.05223,"January 29, 21",-0.10345
0,2021-01-28,0.05,0.0595,0.035,0.0535,0.0535,1260101.0,1260101.0,0.0035,7.0,0.04933,"January 28, 21",0.07
0,2021-01-27,0.0505,0.055,0.0505,0.051,0.051,1456751.0,1456751.0,0.0005,0.99,0.05217,"January 27, 21",0.0099
0,2021-01-26,0.055,0.055,0.051,0.052,0.052,331889.0,331889.0,-0.003,-5.455,0.05267,"January 26, 21",-0.05455
0,2021-01-25,0.055,0.06,0.051,0.054,0.054,881950.0,881950.0,-0.001,-1.818,0.055,"January 25, 21",-0.01818
0,2021-01-22,0.054,0.06,0.05286,0.055,0.055,429118.0,429118.0,0.001,1.852,0.05595,"January 22, 21",0.01852
0,2021-01-21,0.059,0.059,0.052,0.05575,0.05575,584729.0,584729.0,-0.00325,-5.508,0.05558,"January 21, 21",-0.05508
0,2021-01-20,0.061,0.061,0.05895,0.059,0.059,101517.0,101517.0,-0.002,-3.279,0.05965,"January 20, 21",-0.03279
0,2021-01-19,0.0588,0.061,0.056,0.061,0.061,482649.0,482649.0,0.0022,3.741,0.05933,"January 19, 21",0.03741
0,2021-01-15,0.06,0.06,0.02,0.05677,0.05677,1133505.0,1133505.0,-0.00323,-5.383,0.04559,"January 15, 21",-0.05383
0,2021-01-14,0.06,0.06,0.05568,0.0596,0.0596,985002.0,985002.0,-0.0004,-0.667,0.05843,"January 14, 21",-0.00667
