,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-15,36.799999,37.099998,36.150002,36.25,36.25,94478.0,94478.0,-0.55,-1.495,36.5,"February 15, 21",-0.01495
0,2021-02-12,36.299999,38.150002,36.299999,36.650002,36.650002,462443.0,462443.0,0.35,0.964,37.03333,"February 12, 21",0.00964
0,2021-02-11,37.400002,37.450001,36.549999,37.150002,37.150002,178077.0,178077.0,-0.25,-0.668,37.05,"February 11, 21",-0.00668
0,2021-02-10,35.5,38.799999,35.5,37.549999,37.549999,934426.0,934426.0,2.05,5.775,37.28333,"February 10, 21",0.05775
0,2021-02-09,35.5,36.200001,35.5,35.650002,35.650002,155950.0,155950.0,0.15,0.423,35.78333,"February 09, 21",0.00423
0,2021-02-08,36.849998,37.599998,35.099998,35.450001,35.450001,568536.0,568536.0,-1.4,-3.799,36.05,"February 08, 21",-0.03799
0,2021-02-05,38.0,38.0,36.700001,37.0,37.0,184179.0,184179.0,-1.0,-2.632,37.23333,"February 05, 21",-0.02632
0,2021-02-04,37.099998,38.349998,37.049999,37.400002,37.400002,289058.0,289058.0,0.3,0.809,37.6,"February 04, 21",0.00809
0,2021-02-03,38.549999,38.849998,36.599998,37.049999,37.049999,455124.0,455124.0,-1.5,-3.891,37.5,"February 03, 21",-0.03891
0,2021-02-02,38.5,38.900002,37.400002,37.950001,37.950001,638645.0,638645.0,-0.55,-1.429,38.08334,"February 02, 21",-0.01429
0,2021-02-01,37.799999,40.900002,37.200001,40.349998,40.349998,362854.0,362854.0,2.55,6.746,39.48333,"February 01, 21",0.06746
0,2021-01-29,37.450001,38.5,37.25,37.5,37.5,151958.0,151958.0,0.05,0.134,37.75,"January 29, 21",0.00134
0,2021-01-28,36.5,37.75,36.349998,37.200001,37.200001,128383.0,128383.0,0.7,1.918,37.1,"January 28, 21",0.01918
0,2021-01-27,37.0,38.0,36.650002,37.299999,37.299999,96714.0,96714.0,0.3,0.811,37.31667,"January 27, 21",0.00811
0,2021-01-25,39.400002,39.400002,36.5,37.0,37.0,214897.0,214897.0,-2.4,-6.091,37.63333,"January 25, 21",-0.06091
0,2021-01-22,39.0,39.0,37.25,37.650002,37.650002,223826.0,223826.0,-1.35,-3.462,37.96667,"January 22, 21",-0.03462
0,2021-01-21,40.0,40.400002,38.599998,38.849998,38.849998,212699.0,212699.0,-1.15,-2.875,39.28333,"January 21, 21",-0.02875
0,2021-01-20,39.900002,39.900002,39.349998,39.5,39.5,120282.0,120282.0,-0.4,-1.003,39.58333,"January 20, 21",-0.01003
0,2021-01-19,40.049999,41.099998,36.099998,39.549999,39.549999,434895.0,434895.0,-0.5,-1.248,38.91667,"January 19, 21",-0.01248
0,2021-01-18,41.200001,41.599998,38.799999,39.700001,39.700001,288980.0,288980.0,-1.5,-3.641,40.03333,"January 18, 21",-0.03641
0,2021-01-15,40.799999,42.75,40.099998,40.900002,40.900002,449035.0,449035.0,0.1,0.245,41.25,"January 15, 21",0.00245
0,2021-01-14,40.349998,41.400002,39.799999,40.900002,40.900002,229420.0,229420.0,0.55,1.363,40.7,"January 14, 21",0.01363
0,2021-01-13,41.25,41.950001,40.0,40.349998,40.349998,349204.0,349204.0,-0.9,-2.182,40.76667,"January 13, 21",-0.02182
0,2021-01-12,42.25,42.650002,40.599998,41.200001,41.200001,474728.0,474728.0,-1.05,-2.485,41.48333,"January 12, 21",-0.02485
0,2021-01-11,44.349998,44.349998,41.049999,42.25,42.25,906831.0,906831.0,-2.1,-4.735,42.55,"January 11, 21",-0.04735
0,2021-01-08,40.5,45.5,39.900002,44.400002,44.400002,9294382.0,9294382.0,3.9,9.63,43.26667,"January 08, 21",0.0963
0,2021-01-07,38.700001,40.400002,37.599998,39.049999,39.049999,2444153.0,2444153.0,0.35,0.904,39.01667,"January 07, 21",0.00904
0,2021-01-06,37.450001,37.849998,36.549999,37.549999,37.549999,411741.0,411741.0,0.1,0.267,37.31667,"January 06, 21",0.00267
0,2021-01-05,37.299999,38.0,37.200001,37.400002,37.400002,240014.0,240014.0,0.1,0.268,37.53333,"January 05, 21",0.00268
0,2021-01-04,38.150002,38.200001,37.099998,37.299999,37.299999,185019.0,185019.0,-0.85,-2.228,37.53333,"January 04, 21",-0.02228
0,2021-01-01,38.0,38.299999,37.549999,37.700001,37.700001,151027.0,151027.0,-0.3,-0.789,37.85,"January 01, 21",-0.00789
0,2020-12-31,38.0,38.599998,37.400002,37.849998,37.849998,287836.0,287836.0,-0.15,-0.395,37.95,"December 31, 20",-0.00395
0,2020-12-30,37.0,38.75,36.25,38.0,38.0,879155.0,879155.0,1.0,2.703,37.66667,"December 30, 20",0.02703
0,2020-12-29,37.700001,37.700001,36.200001,36.75,36.75,176496.0,176496.0,-0.95,-2.52,36.88333,"December 29, 20",-0.0252
0,2020-12-28,37.599998,37.950001,36.900002,37.450001,37.450001,160788.0,160788.0,-0.15,-0.399,37.43333,"December 28, 20",-0.00399
0,2020-12-24,37.700001,38.400002,36.099998,37.25,37.25,280567.0,280567.0,-0.45,-1.194,37.25,"December 24, 20",-0.01194
0,2020-12-23,37.299999,37.900002,36.849998,37.349998,37.349998,283574.0,283574.0,0.05,0.134,37.36667,"December 23, 20",0.00134
0,2020-12-22,35.450001,37.400002,35.0,37.049999,37.049999,569787.0,569787.0,1.6,4.513,36.48333,"December 22, 20",0.04513
0,2020-12-21,39.5,40.849998,35.0,35.450001,35.450001,4086983.0,4086983.0,-4.05,-10.253,37.1,"December 21, 20",-0.10253
0,2020-12-18,37.450001,38.849998,35.400002,38.450001,38.450001,802539.0,802539.0,1.0,2.67,37.56667,"December 18, 20",0.0267
0,2020-12-17,38.5,38.799999,36.950001,37.150002,37.150002,306733.0,306733.0,-1.35,-3.506,37.63333,"December 17, 20",-0.03506
0,2020-12-16,39.400002,39.400002,37.5,38.0,38.0,560730.0,560730.0,-1.4,-3.553,38.3,"December 16, 20",-0.03553
0,2020-12-15,39.299999,40.5,38.599998,38.950001,38.950001,1749445.0,1749445.0,-0.35,-0.891,39.35,"December 15, 20",-0.00891
0,2020-12-14,37.0,40.700001,36.150002,38.650002,38.650002,3566211.0,3566211.0,1.65,4.459,38.5,"December 14, 20",0.04459
0,2020-12-11,35.599998,36.900002,35.25,35.849998,35.849998,191301.0,191301.0,0.25,0.702,36.0,"December 11, 20",0.00702
0,2020-12-10,37.549999,37.549999,35.650002,36.099998,36.099998,159848.0,159848.0,-1.45,-3.862,36.43333,"December 10, 20",-0.03862
0,2020-12-09,37.25,39.0,37.049999,37.799999,37.799999,568420.0,568420.0,0.55,1.477,37.95,"December 09, 20",0.01477
0,2020-12-08,38.950001,39.799999,36.25,37.75,37.75,557032.0,557032.0,-1.2,-3.081,37.93333,"December 08, 20",-0.03081
0,2020-12-07,37.049999,39.0,36.25,38.75,38.75,1481417.0,1481417.0,1.7,4.588,38.0,"December 07, 20",0.04588
0,2020-12-04,37.450001,38.0,33.900002,35.099998,35.099998,606909.0,606909.0,-2.35,-6.275,35.66667,"December 04, 20",-0.06275
0,2020-12-03,34.900002,37.299999,33.049999,37.0,37.0,970688.0,970688.0,2.1,6.017,35.78333,"December 03, 20",0.06017
0,2020-12-02,32.049999,35.049999,31.799999,34.599998,34.599998,935283.0,935283.0,2.55,7.956,33.81667,"December 02, 20",0.07956
0,2020-12-01,32.650002,33.099998,31.6,31.950001,31.950001,171012.0,171012.0,-0.7,-2.144,32.21667,"December 01, 20",-0.02144
0,2020-11-27,31.950001,33.5,31.799999,32.400002,32.400002,452125.0,452125.0,0.45,1.408,32.56667,"November 27, 20",0.01408
0,2020-11-26,30.15,31.950001,30.15,31.799999,31.799999,383249.0,383249.0,1.65,5.473,31.3,"November 26, 20",0.05473
0,2020-11-25,30.5,30.9,29.950001,30.049999,30.049999,126295.0,126295.0,-0.45,-1.475,30.3,"November 25, 20",-0.01475
0,2020-11-24,30.700001,31.0,30.4,30.65,30.65,117609.0,117609.0,-0.05,-0.163,30.68333,"November 24, 20",-0.00163
0,2020-11-23,30.75,31.0,30.35,30.5,30.5,87025.0,87025.0,-0.25,-0.813,30.61667,"November 23, 20",-0.00813
0,2020-11-20,30.4,30.799999,30.299999,30.450001,30.450001,56815.0,56815.0,0.05,0.164,30.51667,"November 20, 20",0.00164
0,2020-11-19,30.4,31.1,30.25,30.4,30.4,116162.0,116162.0,0.0,0.0,30.58333,"November 19, 20",0.0
0,2020-11-18,30.65,31.15,30.0,30.25,30.25,168838.0,168838.0,-0.4,-1.305,30.46667,"November 18, 20",-0.01305
0,2020-11-17,30.85,31.450001,30.1,31.15,31.15,201212.0,201212.0,0.3,0.972,30.9,"November 17, 20",0.00972
0,2020-11-13,30.15,31.1,29.75,30.4,30.4,144759.0,144759.0,0.25,0.829,30.41667,"November 13, 20",0.00829
0,2020-11-12,30.25,30.75,30.0,30.1,30.1,174404.0,174404.0,-0.15,-0.496,30.28333,"November 12, 20",-0.00496
