,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2020-05-08,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"May 08, 20",0.0
0,2020-05-07,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"May 07, 20",0.0
0,2020-05-06,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"May 06, 20",0.0
0,2020-05-05,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"May 05, 20",0.0
0,2020-05-04,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"May 04, 20",0.0
0,2020-05-01,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"May 01, 20",0.0
0,2020-04-30,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 30, 20",0.0
0,2020-04-29,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 29, 20",0.0
0,2020-04-28,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 28, 20",0.0
0,2020-04-27,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 27, 20",0.0
0,2020-04-24,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 24, 20",0.0
0,2020-04-23,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 23, 20",0.0
0,2020-04-22,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 22, 20",0.0
0,2020-04-21,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 21, 20",0.0
0,2020-04-20,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 20, 20",0.0
0,2020-04-17,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 17, 20",0.0
0,2020-04-16,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 16, 20",0.0
0,2020-04-15,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 15, 20",0.0
0,2020-04-14,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 14, 20",0.0
0,2020-04-13,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 13, 20",0.0
0,2020-04-09,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 09, 20",0.0
0,2020-04-08,10.92,10.92,10.92,10.92,10.92,0.0,0.0,0.0,0.0,0.0,"April 08, 20",0.0
