,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-15,279.600006,280.0,277.75,277.75,277.75,159.0,159.0,-1.85001,-0.662,278.5,"February 15, 21",-0.00662
0,2021-02-12,269.5,274.350006,267.399994,274.350006,274.350006,175.0,175.0,4.85001,1.8,272.03334,"February 12, 21",0.018
0,2021-02-11,246.25,246.25,246.25,246.25,246.25,0.0,0.0,0.0,0.0,0.0,"February 11, 21",0.0
0,2021-02-10,249.25,249.25,246.25,246.25,246.25,5.0,5.0,-3.0,-1.204,247.25,"February 10, 21",-0.01204
0,2021-02-09,237.899994,237.899994,237.899994,237.899994,237.899994,0.0,0.0,0.0,0.0,0.0,"February 09, 21",0.0
0,2021-02-08,242.600006,242.649994,237.899994,237.899994,237.899994,32.0,32.0,-4.70001,-1.937,239.48333,"February 08, 21",-0.01937
0,2021-02-05,244.449997,244.449997,241.149994,241.149994,241.149994,8.0,8.0,-3.3,-1.35,242.24999,"February 05, 21",-0.0135
0,2021-02-04,240.0,244.149994,240.0,244.149994,244.149994,35.0,35.0,4.14999,1.729,242.76666,"February 04, 21",0.01729
0,2021-02-03,250.0,251.5,242.050003,242.050003,242.050003,60.0,60.0,-7.95,-3.18,245.2,"February 03, 21",-0.0318
0,2021-02-02,245.899994,245.899994,244.75,244.75,244.75,10.0,10.0,-1.14999,-0.468,245.13333,"February 02, 21",-0.00468
0,2021-02-01,237.899994,237.899994,237.899994,237.899994,237.899994,0.0,0.0,0.0,0.0,0.0,"February 01, 21",0.0
0,2021-01-29,233.649994,233.649994,233.649994,233.649994,233.649994,9.0,9.0,0.0,0.0,233.64999,"January 29, 21",0.0
0,2021-01-28,240.899994,240.899994,240.899994,240.899994,240.899994,0.0,0.0,0.0,0.0,0.0,"January 28, 21",0.0
0,2021-01-27,249.050003,249.100006,241.899994,241.899994,241.899994,15.0,15.0,-7.15001,-2.871,244.3,"January 27, 21",-0.02871
0,2021-01-26,252.649994,252.649994,252.649994,252.649994,252.649994,0.0,0.0,0.0,0.0,0.0,"January 26, 21",0.0
0,2021-01-25,248.25,254.949997,248.25,254.949997,254.949997,163.0,163.0,6.7,2.699,252.71666,"January 25, 21",0.02699
0,2021-01-22,252.399994,253.949997,251.899994,251.899994,251.899994,36.0,36.0,-0.5,-0.198,252.58333,"January 22, 21",-0.00198
0,2021-01-21,253.449997,254.199997,250.199997,250.300003,250.300003,921.0,921.0,-3.14999,-1.243,251.56667,"January 21, 21",-0.01243
0,2021-01-20,258.049988,258.049988,253.149994,253.149994,253.149994,60.0,60.0,-4.89999,-1.899,254.78333,"January 20, 21",-0.01899
0,2021-01-19,258.100006,258.100006,254.949997,254.949997,254.949997,200.0,200.0,-3.15001,-1.22,256.0,"January 19, 21",-0.0122
0,2021-01-18,254.199997,261.899994,254.199997,256.5,256.5,283.0,283.0,2.3,0.905,257.53333,"January 18, 21",0.00905
0,2021-01-15,257.799988,257.799988,250.25,250.699997,250.699997,386.0,386.0,-7.09999,-2.754,252.91666,"January 15, 21",-0.02754
0,2021-01-14,243.100006,259.600006,243.050003,259.600006,259.600006,509.0,509.0,16.5,6.787,254.08334,"January 14, 21",0.06787
0,2021-01-13,242.100006,242.100006,240.550003,240.550003,240.550003,15.0,15.0,-1.55,-0.64,241.06667,"January 13, 21",-0.0064
0,2021-01-12,240.050003,241.149994,240.050003,240.050003,240.050003,34.0,34.0,0.0,0.0,240.41667,"January 12, 21",0.0
0,2021-01-11,231.649994,235.600006,230.800003,235.600006,235.600006,50.0,50.0,3.95001,1.705,234.00001,"January 11, 21",0.01705
0,2021-01-08,223.050003,223.050003,223.050003,223.050003,223.050003,0.0,0.0,0.0,0.0,0.0,"January 08, 21",0.0
0,2021-01-07,223.050003,223.050003,223.050003,223.050003,223.050003,0.0,0.0,0.0,0.0,0.0,"January 07, 21",0.0
0,2021-01-06,214.100006,216.699997,213.699997,216.699997,216.699997,260.0,260.0,2.59999,1.214,215.7,"January 06, 21",0.01214
0,2021-01-05,212.600006,214.149994,211.899994,214.149994,214.149994,527.0,527.0,1.54999,0.729,213.39999,"January 05, 21",0.00729
0,2021-01-04,207.600006,207.600006,207.600006,207.600006,207.600006,0.0,0.0,0.0,0.0,0.0,"January 04, 21",0.0
0,2020-12-30,207.600006,207.600006,207.600006,207.600006,207.600006,0.0,0.0,0.0,0.0,0.0,"December 30, 20",0.0
0,2020-12-29,209.399994,209.399994,208.0,208.0,208.0,3.0,3.0,-1.39999,-0.669,208.46666,"December 29, 20",-0.00669
0,2020-12-28,215.300003,215.449997,211.699997,211.699997,211.699997,315.0,315.0,-3.60001,-1.672,212.95,"December 28, 20",-0.01672
0,2020-12-23,209.100006,209.100006,209.100006,209.100006,209.100006,0.0,0.0,0.0,0.0,0.0,"December 23, 20",0.0
0,2020-12-22,211.600006,211.600006,211.600006,211.600006,211.600006,0.0,0.0,0.0,0.0,0.0,"December 22, 20",0.0
0,2020-12-21,212.300003,212.300003,212.300003,212.300003,212.300003,0.0,0.0,0.0,0.0,0.0,"December 21, 20",0.0
0,2020-12-18,211.550003,211.550003,211.550003,211.550003,211.550003,0.0,0.0,0.0,0.0,0.0,"December 18, 20",0.0
0,2020-12-17,214.25,214.25,214.25,214.25,214.25,0.0,0.0,0.0,0.0,0.0,"December 17, 20",0.0
0,2020-12-16,214.0,214.0,214.0,214.0,214.0,0.0,0.0,0.0,0.0,0.0,"December 16, 20",0.0
0,2020-12-15,216.949997,217.0,214.75,214.75,214.75,109.0,109.0,-2.2,-1.014,215.5,"December 15, 20",-0.01014
0,2020-12-14,214.149994,214.149994,214.149994,214.149994,214.149994,0.0,0.0,0.0,0.0,0.0,"December 14, 20",0.0
0,2020-12-11,208.949997,208.949997,208.949997,208.949997,208.949997,0.0,0.0,0.0,0.0,0.0,"December 11, 20",0.0
0,2020-12-10,211.899994,211.899994,211.899994,211.899994,211.899994,0.0,0.0,0.0,0.0,0.0,"December 10, 20",0.0
0,2020-12-09,220.899994,220.899994,218.949997,218.949997,218.949997,94.0,94.0,-1.95,-0.883,219.6,"December 09, 20",-0.00883
0,2020-12-08,219.550003,219.550003,219.550003,219.550003,219.550003,0.0,0.0,0.0,0.0,0.0,"December 08, 20",0.0
0,2020-12-07,215.300003,219.5,215.300003,218.850006,218.850006,5.0,5.0,3.55,1.649,217.88334,"December 07, 20",0.01649
0,2020-12-04,210.449997,215.350006,210.449997,215.350006,215.350006,1.0,1.0,4.90001,2.328,213.71667,"December 04, 20",0.02328
0,2020-12-03,215.199997,215.199997,215.199997,215.199997,215.199997,0.0,0.0,0.0,0.0,0.0,"December 03, 20",0.0
0,2020-12-02,213.350006,213.350006,213.350006,213.350006,213.350006,0.0,0.0,0.0,0.0,0.0,"December 02, 20",0.0
0,2020-12-01,212.600006,212.600006,212.600006,212.600006,212.600006,0.0,0.0,0.0,0.0,0.0,"December 01, 20",0.0
0,2020-11-30,213.300003,213.300003,209.300003,209.300003,209.300003,145.0,145.0,-4.0,-1.875,210.63334,"November 30, 20",-0.01875
0,2020-11-27,213.649994,213.649994,213.649994,213.649994,213.649994,0.0,0.0,0.0,0.0,0.0,"November 27, 20",0.0
0,2020-11-26,208.0,208.0,208.0,208.0,208.0,0.0,0.0,0.0,0.0,0.0,"November 26, 20",0.0
