,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-15,4.0,4.017,3.988,3.995,3.995,19222762.0,19222762.0,-0.005,-0.125,4.0,"February 15, 21",-0.00125
0,2021-02-12,3.982,4.011,3.981,4.0,4.0,16245239.0,16245239.0,0.018,0.452,3.99733,"February 12, 21",0.00452
0,2021-02-11,3.982,3.991,3.975,3.987,3.987,20631046.0,20631046.0,0.005,0.126,3.98433,"February 11, 21",0.00126
0,2021-02-10,3.97,3.99,3.97,3.982,3.982,108450128.0,108450128.0,0.012,0.302,3.98067,"February 10, 21",0.00302
0,2021-02-09,3.7,3.7,3.7,3.7,3.7,0.0,0.0,0.0,0.0,0.0,"February 09, 21",0.0
0,2021-02-08,3.5,3.77,3.497,3.7,3.7,30335969.0,30335969.0,0.2,5.714,3.65567,"February 08, 21",0.05714
0,2021-02-05,3.39,3.5,3.375,3.462,3.462,16390651.0,16390651.0,0.072,2.124,3.44567,"February 05, 21",0.02124
0,2021-02-04,3.365,3.401,3.295,3.379,3.379,8143270.0,8143270.0,0.014,0.416,3.35833,"February 04, 21",0.00416
0,2021-02-03,3.36,3.369,3.302,3.334,3.334,11402969.0,11402969.0,-0.026,-0.774,3.335,"February 03, 21",-0.00774
0,2021-02-02,3.237,3.31,3.217,3.293,3.293,12836387.0,12836387.0,0.056,1.73,3.27333,"February 02, 21",0.0173
0,2021-02-01,3.145,3.238,3.111,3.219,3.219,12102828.0,12102828.0,0.074,2.353,3.18933,"February 01, 21",0.02353
0,2021-01-29,3.125,3.173,3.085,3.123,3.123,8783341.0,8783341.0,-0.002,-0.064,3.127,"January 29, 21",-0.00064
0,2021-01-28,3.089,3.202,3.075,3.161,3.161,9831492.0,9831492.0,0.072,2.331,3.146,"January 28, 21",0.02331
0,2021-01-27,3.183,3.189,3.089,3.13,3.13,11221974.0,11221974.0,-0.053,-1.665,3.136,"January 27, 21",-0.01665
0,2021-01-26,3.072,3.243,3.072,3.199,3.199,11423181.0,11423181.0,0.127,4.134,3.17133,"January 26, 21",0.04134
0,2021-01-25,3.153,3.186,3.056,3.077,3.077,9372120.0,9372120.0,-0.076,-2.41,3.10633,"January 25, 21",-0.0241
0,2021-01-22,3.132,3.151,3.065,3.15,3.15,8926251.0,8926251.0,0.018,0.575,3.122,"January 22, 21",0.00575
0,2021-01-21,3.195,3.199,3.131,3.155,3.155,6696961.0,6696961.0,-0.04,-1.252,3.16167,"January 21, 21",-0.01252
0,2021-01-20,3.177,3.234,3.156,3.17,3.17,6821579.0,6821579.0,-0.007,-0.22,3.18667,"January 20, 21",-0.0022
0,2021-01-19,3.21,3.224,3.163,3.166,3.166,6984612.0,6984612.0,-0.044,-1.371,3.18433,"January 19, 21",-0.01371
