,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-15,238.600006,241.399994,237.199997,239.0,239.0,20463.0,20463.0,0.39999,0.168,239.2,"February 15, 21",0.00168
0,2021-02-12,237.199997,239.800003,236.0,238.199997,238.199997,11960.0,11960.0,1.0,0.422,238.0,"February 12, 21",0.00422
0,2021-02-11,239.0,241.0,237.399994,237.800003,237.800003,25031.0,25031.0,-1.2,-0.502,238.73333,"February 11, 21",-0.00502
0,2021-02-10,239.399994,244.600006,239.0,240.0,240.0,9320.0,9320.0,0.60001,0.251,241.2,"February 10, 21",0.00251
0,2021-02-09,243.0,243.0,235.399994,240.399994,240.399994,7383.0,7383.0,-2.60001,-1.07,239.6,"February 09, 21",-0.0107
0,2021-02-08,244.0,248.0,239.800003,241.0,241.0,13576.0,13576.0,-3.0,-1.23,242.93333,"February 08, 21",-0.0123
0,2021-02-05,244.800003,244.800003,237.399994,244.0,244.0,20169.0,20169.0,-0.8,-0.327,242.06667,"February 05, 21",-0.00327
0,2021-02-04,245.0,246.0,240.0,245.0,245.0,24968.0,24968.0,0.0,0.0,243.66667,"February 04, 21",0.0
0,2021-02-03,240.0,245.0,236.0,245.0,245.0,36125.0,36125.0,5.0,2.083,242.0,"February 03, 21",0.02083
0,2021-02-02,231.800003,239.600006,231.800003,239.0,239.0,26014.0,26014.0,7.2,3.106,236.8,"February 02, 21",0.03106
0,2021-02-01,228.800003,238.0,226.600006,231.199997,231.199997,34348.0,34348.0,2.39999,1.049,231.93333,"February 01, 21",0.01049
0,2021-01-29,220.0,229.800003,219.0,228.399994,228.399994,102173.0,102173.0,8.39999,3.818,225.73333,"January 29, 21",0.03818
0,2021-01-28,210.0,220.0,207.600006,219.399994,219.399994,16931.0,16931.0,9.39999,4.476,215.66667,"January 28, 21",0.04476
0,2021-01-27,209.199997,219.800003,209.199997,212.0,212.0,44670.0,44670.0,2.8,1.338,213.66667,"January 27, 21",0.01338
0,2021-01-26,197.100006,210.0,196.199997,208.399994,208.399994,33137.0,33137.0,11.29999,5.733,204.86666,"January 26, 21",0.05733
0,2021-01-25,197.199997,198.300003,189.399994,191.899994,191.899994,17424.0,17424.0,-5.3,-2.688,193.2,"January 25, 21",-0.02688
0,2021-01-22,202.0,202.0,196.199997,197.5,197.5,6420.0,6420.0,-4.5,-2.228,198.56667,"January 22, 21",-0.02228
0,2021-01-21,200.0,202.600006,199.199997,199.199997,199.199997,13184.0,13184.0,-0.8,-0.4,200.33333,"January 21, 21",-0.004
0,2021-01-20,200.0,200.600006,197.899994,198.300003,198.300003,7906.0,7906.0,-1.7,-0.85,198.93333,"January 20, 21",-0.0085
0,2021-01-19,205.600006,205.600006,198.600006,199.199997,199.199997,18009.0,18009.0,-6.40001,-3.113,201.13334,"January 19, 21",-0.03113
0,2021-01-18,204.0,206.399994,202.800003,205.600006,205.600006,8857.0,8857.0,1.60001,0.784,204.93333,"January 18, 21",0.00784
0,2021-01-15,204.600006,205.199997,200.600006,202.600006,202.600006,13750.0,13750.0,-2.0,-0.978,202.8,"January 15, 21",-0.00978
0,2021-01-14,203.399994,207.800003,198.899994,204.600006,204.600006,16992.0,16992.0,1.20001,0.59,203.76667,"January 14, 21",0.0059
0,2021-01-13,200.0,204.399994,199.300003,200.199997,200.199997,16383.0,16383.0,0.2,0.1,201.3,"January 13, 21",0.001
0,2021-01-12,199.399994,199.399994,193.699997,198.699997,198.699997,13588.0,13588.0,-0.7,-0.351,197.26666,"January 12, 21",-0.00351
0,2021-01-11,185.899994,201.0,185.5,198.300003,198.300003,42829.0,42829.0,12.40001,6.67,194.93333,"January 11, 21",0.0667
0,2021-01-08,183.399994,190.100006,182.699997,186.399994,186.399994,18005.0,18005.0,3.0,1.636,186.4,"January 08, 21",0.01636
0,2021-01-07,177.100006,183.0,177.100006,183.0,183.0,21465.0,21465.0,5.89999,3.331,181.03334,"January 07, 21",0.03331
0,2021-01-06,178.100006,178.699997,174.399994,177.699997,177.699997,8795.0,8795.0,-0.40001,-0.225,176.93333,"January 06, 21",-0.00225
0,2021-01-05,179.0,181.399994,176.300003,177.300003,177.300003,8889.0,8889.0,-1.7,-0.95,178.33333,"January 05, 21",-0.0095
0,2021-01-04,178.5,183.0,174.600006,180.5,180.5,15124.0,15124.0,2.0,1.12,179.36667,"January 04, 21",0.0112
0,2020-12-30,172.600006,179.399994,172.600006,176.300003,176.300003,9076.0,9076.0,3.7,2.144,176.1,"December 30, 20",0.02144
0,2020-12-29,172.100006,174.600006,172.100006,173.899994,173.899994,4400.0,4400.0,1.79999,1.046,173.53334,"December 29, 20",0.01046
0,2020-12-28,171.0,173.5,169.399994,172.300003,172.300003,2457.0,2457.0,1.3,0.76,171.73333,"December 28, 20",0.0076
0,2020-12-23,170.199997,172.199997,169.5,170.5,170.5,6181.0,6181.0,0.3,0.176,170.73333,"December 23, 20",0.00176
0,2020-12-22,175.0,175.0,169.399994,171.300003,171.300003,6279.0,6279.0,-3.7,-2.114,171.9,"December 22, 20",-0.02114
0,2020-12-21,171.0,174.699997,167.199997,174.0,174.0,8869.0,8869.0,3.0,1.754,171.96666,"December 21, 20",0.01754
0,2020-12-18,172.0,175.100006,171.699997,172.5,172.5,9401.0,9401.0,0.5,0.291,173.1,"December 18, 20",0.00291
0,2020-12-17,169.5,173.600006,168.100006,173.0,173.0,21285.0,21285.0,3.5,2.065,171.56667,"December 17, 20",0.02065
0,2020-12-16,173.899994,174.699997,169.300003,170.0,170.0,20700.0,20700.0,-3.89999,-2.243,171.33333,"December 16, 20",-0.02243
0,2020-12-15,168.0,173.800003,165.0,172.5,172.5,27708.0,27708.0,4.5,2.679,170.43333,"December 15, 20",0.02679
0,2020-12-14,163.5,170.800003,163.5,168.0,168.0,18111.0,18111.0,4.5,2.752,167.43333,"December 14, 20",0.02752
0,2020-12-11,164.0,164.0,159.100006,163.5,163.5,9858.0,9858.0,-0.5,-0.305,162.2,"December 11, 20",-0.00305
0,2020-12-10,165.0,166.199997,160.199997,162.100006,162.100006,13625.0,13625.0,-2.89999,-1.758,162.83333,"December 10, 20",-0.01758
0,2020-12-09,168.399994,168.399994,164.0,165.899994,165.899994,8159.0,8159.0,-2.5,-1.485,166.1,"December 09, 20",-0.01485
0,2020-12-08,170.600006,170.600006,165.199997,166.699997,166.699997,7987.0,7987.0,-3.90001,-2.286,167.5,"December 08, 20",-0.02286
0,2020-12-07,172.0,173.600006,168.600006,169.5,169.5,9108.0,9108.0,-2.5,-1.453,170.56667,"December 07, 20",-0.01453
0,2020-12-04,171.5,174.0,171.399994,173.300003,173.300003,17616.0,17616.0,1.8,1.05,172.9,"December 04, 20",0.0105
0,2020-12-03,173.800003,174.699997,170.399994,172.800003,172.800003,7515.0,7515.0,-1.0,-0.575,172.63333,"December 03, 20",-0.00575
0,2020-12-02,177.300003,179.199997,172.199997,174.300003,174.300003,16475.0,16475.0,-3.0,-1.692,175.23333,"December 02, 20",-0.01692
0,2020-12-01,180.0,183.199997,177.300003,179.800003,179.800003,12938.0,12938.0,-0.2,-0.111,180.1,"December 01, 20",-0.00111
0,2020-11-30,181.0,183.600006,180.100006,180.100006,180.100006,21326.0,21326.0,-0.89999,-0.497,181.26667,"November 30, 20",-0.00497
0,2020-11-27,176.100006,184.899994,175.5,182.100006,182.100006,17118.0,17118.0,6.0,3.407,180.83333,"November 27, 20",0.03407
0,2020-11-26,176.0,178.100006,174.800003,175.5,175.5,10508.0,10508.0,-0.5,-0.284,176.13334,"November 26, 20",-0.00284
0,2020-11-25,174.699997,178.5,173.300003,175.399994,175.399994,29690.0,29690.0,0.7,0.401,175.73333,"November 25, 20",0.00401
0,2020-11-24,172.899994,174.0,171.300003,174.0,174.0,12565.0,12565.0,1.10001,0.636,173.1,"November 24, 20",0.00636
0,2020-11-23,173.0,174.0,171.0,172.399994,172.399994,4820.0,4820.0,-0.60001,-0.347,172.46666,"November 23, 20",-0.00347
0,2020-11-20,171.899994,173.100006,169.600006,172.0,172.0,6335.0,6335.0,0.10001,0.058,171.56667,"November 20, 20",0.00058
0,2020-11-19,173.100006,173.100006,169.0,170.600006,170.600006,6833.0,6833.0,-2.5,-1.444,170.9,"November 19, 20",-0.01444
0,2020-11-18,174.0,174.0,171.100006,172.899994,172.899994,24725.0,24725.0,-1.10001,-0.632,172.66667,"November 18, 20",-0.00632
0,2020-11-17,171.5,174.399994,168.399994,174.0,174.0,37731.0,37731.0,2.5,1.458,172.26666,"November 17, 20",0.01458
0,2020-11-16,166.5,171.300003,165.0,171.300003,171.300003,13523.0,13523.0,4.8,2.883,169.2,"November 16, 20",0.02883
0,2020-11-13,167.0,167.0,165.0,166.5,166.5,12380.0,12380.0,-0.5,-0.299,166.16667,"November 13, 20",-0.00299
0,2020-11-12,166.600006,167.600006,163.899994,167.0,167.0,19690.0,19690.0,0.39999,0.24,166.16667,"November 12, 20",0.0024
0,2020-11-11,165.699997,168.100006,163.800003,167.100006,167.100006,12221.0,12221.0,1.40001,0.845,166.33334,"November 11, 20",0.00845
0,2020-11-10,170.0,173.199997,164.199997,166.699997,166.699997,20189.0,20189.0,-3.3,-1.941,168.03333,"November 10, 20",-0.01941
0,2020-11-09,169.699997,174.300003,167.300003,169.0,169.0,22341.0,22341.0,-0.7,-0.412,170.2,"November 09, 20",-0.00412
0,2020-11-06,167.199997,168.0,164.699997,165.899994,165.899994,7537.0,7537.0,-1.3,-0.778,166.2,"November 06, 20",-0.00778
0,2020-11-05,168.0,169.800003,165.100006,167.199997,167.199997,7131.0,7131.0,-0.8,-0.476,167.36667,"November 05, 20",-0.00476
0,2020-11-04,167.0,168.399994,165.300003,168.0,168.0,8118.0,8118.0,1.0,0.599,167.23333,"November 04, 20",0.00599
0,2020-11-03,170.800003,172.300003,167.199997,168.0,168.0,5961.0,5961.0,-2.8,-1.639,169.16667,"November 03, 20",-0.01639
0,2020-11-02,167.0,172.100006,163.800003,168.5,168.5,12170.0,12170.0,1.5,0.898,168.13334,"November 02, 20",0.00898
0,2020-10-30,161.300003,166.0,159.0,166.0,166.0,9610.0,9610.0,4.7,2.914,163.66667,"October 30, 20",0.02914
0,2020-10-29,162.800003,165.399994,160.600006,162.399994,162.399994,8408.0,8408.0,-0.40001,-0.246,162.8,"October 29, 20",-0.00246
0,2020-10-28,167.0,167.600006,161.5,162.100006,162.100006,11578.0,11578.0,-4.89999,-2.934,163.73334,"October 28, 20",-0.02934
0,2020-10-27,166.199997,166.199997,160.899994,161.5,161.5,7868.0,7868.0,-4.7,-2.828,162.86666,"October 27, 20",-0.02828
0,2020-10-26,168.0,168.0,161.199997,162.899994,162.899994,8917.0,8917.0,-5.10001,-3.036,164.03333,"October 26, 20",-0.03036
0,2020-10-23,167.0,170.399994,165.399994,166.600006,166.600006,10241.0,10241.0,-0.39999,-0.24,167.46666,"October 23, 20",-0.0024
0,2020-10-22,165.0,167.0,161.5,165.0,165.0,7449.0,7449.0,0.0,0.0,164.5,"October 22, 20",0.0
0,2020-10-21,171.600006,171.600006,165.699997,166.800003,166.800003,8556.0,8556.0,-4.8,-2.797,168.03334,"October 21, 20",-0.02797
0,2020-10-20,172.0,172.5,168.800003,169.199997,169.199997,6208.0,6208.0,-2.8,-1.628,170.16667,"October 20, 20",-0.01628
0,2020-10-19,173.600006,174.5,171.5,172.399994,172.399994,10350.0,10350.0,-1.20001,-0.691,172.8,"October 19, 20",-0.00691
0,2020-10-16,170.600006,174.800003,170.600006,173.600006,173.600006,10441.0,10441.0,3.0,1.758,173.00001,"October 16, 20",0.01758
0,2020-10-15,178.0,178.0,169.100006,170.399994,170.399994,19968.0,19968.0,-7.60001,-4.27,172.5,"October 15, 20",-0.0427
0,2020-10-14,180.0,183.399994,177.899994,178.100006,178.100006,11089.0,11089.0,-1.89999,-1.056,179.8,"October 14, 20",-0.01056
0,2020-10-13,184.5,185.0,180.899994,182.0,182.0,13931.0,13931.0,-2.5,-1.355,182.63333,"October 13, 20",-0.01355
0,2020-10-12,182.0,183.699997,178.699997,183.699997,183.699997,9968.0,9968.0,1.7,0.934,182.03333,"October 12, 20",0.00934
0,2020-10-09,176.800003,181.699997,176.600006,180.0,180.0,8199.0,8199.0,3.2,1.81,179.43333,"October 09, 20",0.0181
0,2020-10-08,178.0,181.600006,177.399994,178.899994,178.899994,11782.0,11782.0,0.89999,0.506,179.3,"October 08, 20",0.00506
0,2020-10-07,175.0,178.5,174.600006,177.699997,177.699997,11791.0,11791.0,2.7,1.543,176.93333,"October 07, 20",0.01543
0,2020-10-06,170.899994,178.699997,170.5,176.600006,176.600006,31704.0,31704.0,5.70001,3.335,175.26667,"October 06, 20",0.03335
0,2020-10-05,166.100006,170.300003,165.399994,168.399994,168.399994,8138.0,8138.0,2.29999,1.385,168.03333,"October 05, 20",0.01385
0,2020-10-02,164.0,168.0,161.899994,164.399994,164.399994,9850.0,9850.0,0.39999,0.244,164.76666,"October 02, 20",0.00244
0,2020-10-01,161.0,165.600006,159.899994,163.300003,163.300003,10579.0,10579.0,2.3,1.429,162.93333,"October 01, 20",0.01429
0,2020-09-30,159.0,161.899994,155.600006,159.899994,159.899994,6063.0,6063.0,0.89999,0.566,159.13333,"September 30, 20",0.00566
0,2020-09-29,157.899994,160.199997,156.0,158.300003,158.300003,5095.0,5095.0,0.40001,0.253,158.16667,"September 29, 20",0.00253
0,2020-09-28,156.899994,158.0,155.600006,157.5,157.5,6636.0,6636.0,0.60001,0.382,157.03334,"September 28, 20",0.00382
0,2020-09-25,153.0,154.699997,151.800003,154.100006,154.100006,6654.0,6654.0,1.10001,0.719,153.53334,"September 25, 20",0.00719
0,2020-09-24,160.0,160.0,150.600006,153.199997,153.199997,9366.0,9366.0,-6.8,-4.25,154.6,"September 24, 20",-0.0425
0,2020-09-23,152.5,160.100006,152.5,157.699997,157.699997,24071.0,24071.0,5.2,3.41,156.76667,"September 23, 20",0.0341
0,2020-09-22,151.0,153.5,148.800003,151.600006,151.600006,6651.0,6651.0,0.60001,0.397,151.3,"September 22, 20",0.00397
0,2020-09-21,156.899994,158.100006,149.5,151.0,151.0,14673.0,14673.0,-5.89999,-3.76,152.86667,"September 21, 20",-0.0376
0,2020-09-17,157.0,158.800003,156.0,158.0,158.0,5064.0,5064.0,1.0,0.637,157.6,"September 17, 20",0.00637
0,2020-09-16,157.0,158.899994,155.0,158.0,158.0,8833.0,8833.0,1.0,0.637,157.3,"September 16, 20",0.00637
0,2020-09-15,159.5,159.800003,157.100006,158.0,158.0,3509.0,3509.0,-1.5,-0.94,158.3,"September 15, 20",-0.0094
0,2020-09-14,158.899994,161.5,158.0,158.899994,158.899994,5259.0,5259.0,0.0,0.0,159.46666,"September 14, 20",0.0
0,2020-09-11,157.899994,159.0,157.600006,157.899994,157.899994,3827.0,3827.0,0.0,0.0,158.16667,"September 11, 20",0.0
0,2020-09-10,160.0,161.600006,156.5,157.399994,157.399994,11794.0,11794.0,-2.60001,-1.625,158.5,"September 10, 20",-0.01625
0,2020-09-09,157.600006,161.399994,157.199997,159.899994,159.899994,7214.0,7214.0,2.29999,1.459,159.49999,"September 09, 20",0.01459
0,2020-09-08,163.800003,163.800003,157.0,160.0,160.0,9328.0,9328.0,-3.8,-2.32,160.26667,"September 08, 20",-0.0232
0,2020-09-07,157.0,161.800003,157.0,160.699997,160.699997,13456.0,13456.0,3.7,2.357,159.83333,"September 07, 20",0.02357
0,2020-09-04,153.800003,159.699997,150.100006,157.5,157.5,18865.0,18865.0,3.7,2.406,155.76667,"September 04, 20",0.02406
0,2020-09-03,155.5,157.5,151.699997,152.899994,152.899994,8271.0,8271.0,-2.60001,-1.672,154.03333,"September 03, 20",-0.01672
