,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-15,1701.099976,1728.0,1690.0,1700.0,1700.0,55654.0,55654.0,-1.09998,-0.065,1706.0,"February 15, 21",-0.00065
0,2021-02-12,1690.0,1700.0,1679.26001,1685.0,1685.0,48641.0,48641.0,-5.0,-0.296,1688.08667,"February 12, 21",-0.00296
0,2021-02-11,1690.0,1706.22998,1685.0,1695.0,1695.0,41650.0,41650.0,5.0,0.296,1695.40999,"February 11, 21",0.00296
0,2021-02-10,1695.0,1706.800049,1680.0,1685.0,1685.0,39670.0,39670.0,-10.0,-0.59,1690.60002,"February 10, 21",-0.0059
0,2021-02-09,1670.0,1697.800049,1670.0,1695.0,1695.0,55873.0,55873.0,25.0,1.497,1687.60002,"February 09, 21",0.01497
0,2021-02-08,1700.0,1715.0,1677.75,1705.0,1705.0,86548.0,86548.0,5.0,0.294,1699.25,"February 08, 21",0.00294
0,2021-02-05,1660.0,1685.0,1635.0,1680.0,1680.0,69035.0,69035.0,20.0,1.205,1666.66667,"February 05, 21",0.01205
0,2021-02-04,1655.0,1659.449951,1635.150024,1645.0,1645.0,85516.0,85516.0,-10.0,-0.604,1646.53333,"February 04, 21",-0.00604
0,2021-02-03,1630.0,1658.0,1625.0,1647.5,1647.5,50351.0,50351.0,17.5,1.074,1643.5,"February 03, 21",0.01074
0,2021-02-02,1600.0,1630.0,1595.0,1622.5,1622.5,104756.0,104756.0,22.5,1.406,1615.83333,"February 02, 21",0.01406
0,2021-02-01,1600.0,1610.0,1567.5,1585.0,1585.0,41814.0,41814.0,-15.0,-0.938,1587.5,"February 01, 21",-0.00938
0,2021-01-29,1580.0,1594.800049,1550.0,1580.0,1580.0,40941.0,40941.0,0.0,0.0,1574.93335,"January 29, 21",0.0
0,2021-01-28,1625.0,1625.0,1555.0,1592.5,1592.5,108147.0,108147.0,-32.5,-2.0,1590.83333,"January 28, 21",-0.02
0,2021-01-27,1630.0,1645.0,1590.0,1607.5,1607.5,60120.0,60120.0,-22.5,-1.38,1614.16667,"January 27, 21",-0.0138
0,2021-01-26,1655.0,1671.150024,1640.75,1642.5,1642.5,61461.0,61461.0,-12.5,-0.755,1651.46667,"January 26, 21",-0.00755
0,2021-01-25,1675.0,1675.0,1625.0,1660.0,1660.0,89628.0,89628.0,-15.0,-0.896,1653.33333,"January 25, 21",-0.00896
0,2021-01-22,1650.0,1670.0,1650.0,1660.0,1660.0,79260.0,79260.0,10.0,0.606,1660.0,"January 22, 21",0.00606
0,2021-01-21,1655.0,1666.209961,1650.0,1665.0,1665.0,90320.0,90320.0,10.0,0.604,1660.40332,"January 21, 21",0.00604
0,2021-01-20,1670.0,1670.0,1640.0,1655.0,1655.0,97582.0,97582.0,-15.0,-0.898,1655.0,"January 20, 21",-0.00898
0,2021-01-19,1640.0,1645.0,1635.0,1645.0,1645.0,33563.0,33563.0,5.0,0.305,1641.66667,"January 19, 21",0.00305
0,2021-01-18,1665.0,1665.0,1625.0,1630.0,1630.0,84685.0,84685.0,-35.0,-2.102,1640.0,"January 18, 21",-0.02102
0,2021-01-15,1625.0,1650.400024,1620.0,1627.5,1627.5,28839.0,28839.0,2.5,0.154,1632.63334,"January 15, 21",0.00154
0,2021-01-14,1615.0,1651.920044,1615.0,1645.0,1645.0,76267.0,76267.0,30.0,1.858,1637.30668,"January 14, 21",0.01858
0,2021-01-13,1620.0,1645.0,1605.0,1640.0,1640.0,45775.0,45775.0,20.0,1.235,1630.0,"January 13, 21",0.01235
0,2021-01-12,1630.0,1665.0,1625.0,1640.0,1640.0,71931.0,71931.0,10.0,0.613,1643.33333,"January 12, 21",0.00613
0,2021-01-11,1710.0,1710.0,1625.0,1645.0,1645.0,87126.0,87126.0,-65.0,-3.801,1660.0,"January 11, 21",-0.03801
0,2021-01-08,1695.0,1710.0,1665.0,1675.0,1675.0,98402.0,98402.0,-20.0,-1.18,1683.33333,"January 08, 21",-0.0118
0,2021-01-07,1680.0,1705.0,1678.699951,1695.0,1695.0,100340.0,100340.0,15.0,0.893,1692.89998,"January 07, 21",0.00893
0,2021-01-06,1675.0,1690.0,1664.699951,1690.0,1690.0,103161.0,103161.0,15.0,0.896,1681.56665,"January 06, 21",0.00896
0,2021-01-05,1640.0,1685.0,1640.0,1665.0,1665.0,84655.0,84655.0,25.0,1.524,1663.33333,"January 05, 21",0.01524
0,2021-01-04,1670.0,1680.0,1655.0,1660.0,1660.0,147926.0,147926.0,-10.0,-0.599,1665.0,"January 04, 21",-0.00599
0,2020-12-31,1680.0,1680.0,1640.0,1652.5,1652.5,36813.0,36813.0,-27.5,-1.637,1657.5,"December 31, 20",-0.01637
0,2020-12-30,1670.0,1680.0,1650.0,1650.0,1650.0,90594.0,90594.0,-20.0,-1.198,1660.0,"December 30, 20",-0.01198
0,2020-12-29,1665.0,1690.0,1645.0,1665.0,1665.0,112798.0,112798.0,0.0,0.0,1666.66667,"December 29, 20",0.0
0,2020-12-24,1640.0,1655.0,1620.0,1627.5,1627.5,61952.0,61952.0,-12.5,-0.762,1634.16667,"December 24, 20",-0.00762
0,2020-12-23,1580.0,1640.0,1579.400024,1640.0,1640.0,36243.0,36243.0,60.0,3.797,1619.80001,"December 23, 20",0.03797
0,2020-12-22,1555.0,1580.0,1528.839966,1575.0,1575.0,38262.0,38262.0,20.0,1.286,1561.27999,"December 22, 20",0.01286
0,2020-12-21,1590.0,1590.0,1530.0,1557.5,1557.5,39301.0,39301.0,-32.5,-2.044,1559.16667,"December 21, 20",-0.02044
0,2020-12-18,1570.0,1580.0,1565.0,1575.0,1575.0,24424.0,24424.0,5.0,0.318,1573.33333,"December 18, 20",0.00318
0,2020-12-17,1590.0,1590.0,1570.0,1577.5,1577.5,99262.0,99262.0,-12.5,-0.786,1579.16667,"December 17, 20",-0.00786
0,2020-12-16,1575.0,1579.349976,1545.300049,1570.0,1570.0,65973.0,65973.0,-5.0,-0.317,1564.88334,"December 16, 20",-0.00317
0,2020-12-15,1570.0,1579.800049,1561.5,1575.0,1575.0,40085.0,40085.0,5.0,0.318,1572.10002,"December 15, 20",0.00318
0,2020-12-14,1565.0,1570.0,1550.0,1565.0,1565.0,46746.0,46746.0,0.0,0.0,1561.66667,"December 14, 20",0.0
0,2020-12-11,1570.0,1570.0,1540.0,1540.0,1540.0,40247.0,40247.0,-30.0,-1.911,1550.0,"December 11, 20",-0.01911
0,2020-12-10,1550.0,1570.0,1540.0,1560.0,1560.0,38708.0,38708.0,10.0,0.645,1556.66667,"December 10, 20",0.00645
