,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-16,14.65,14.61,14.47,14.56,14.56,76224.0,76224.0,-0.09,-0.614,14.54667,"February 16, 21",-0.00614
0,2021-02-12,14.68,14.72,14.58,14.59,14.59,27000.0,27000.0,-0.09,-0.613,14.63,"February 12, 21",-0.00613
0,2021-02-11,14.65,14.75,14.63,14.73,14.73,20800.0,20800.0,0.08,0.546,14.70333,"February 11, 21",0.00546
0,2021-02-10,14.66,14.75,14.62,14.65,14.61,24400.0,24400.0,-0.01,-0.068,14.67333,"February 10, 21",-0.00068
0,2021-02-09,14.56,14.67,14.56,14.67,14.629946,55800.0,55800.0,0.11,0.755,14.63333,"February 09, 21",0.00755
0,2021-02-08,14.71,14.73,14.65,14.65,14.61,18800.0,18800.0,-0.06,-0.408,14.67667,"February 08, 21",-0.00408
0,2021-02-05,14.65,14.71,14.65,14.67,14.629946,11900.0,11900.0,0.02,0.137,14.67667,"February 05, 21",0.00137
0,2021-02-04,14.61,14.72,14.61,14.64,14.600028,18800.0,18800.0,0.03,0.205,14.65667,"February 04, 21",0.00205
0,2021-02-03,14.68,14.77,14.63,14.68,14.639918,27600.0,27600.0,0.0,0.0,14.69333,"February 03, 21",0.0
0,2021-02-02,14.82,14.82,14.66,14.72,14.67981,47300.0,47300.0,-0.1,-0.675,14.73333,"February 02, 21",-0.00675
0,2021-02-01,14.75,14.85,14.62,14.81,14.769564,62800.0,62800.0,0.06,0.407,14.76,"February 01, 21",0.00407
0,2021-01-29,14.68,14.71,14.62,14.68,14.639918,53900.0,53900.0,0.0,0.0,14.67,"January 29, 21",0.0
0,2021-01-28,14.65,14.75,14.57,14.65,14.61,77100.0,77100.0,0.0,0.0,14.65667,"January 28, 21",0.0
0,2021-01-27,14.71,14.74,14.52,14.65,14.61,20300.0,20300.0,-0.06,-0.408,14.63667,"January 27, 21",-0.00408
0,2021-01-26,14.63,14.75,14.63,14.7,14.659863,21600.0,21600.0,0.07,0.478,14.69333,"January 26, 21",0.00478
0,2021-01-25,14.55,14.63,14.54,14.57,14.530218,20200.0,20200.0,0.02,0.137,14.58,"January 25, 21",0.00137
0,2021-01-22,14.48,14.58,14.47,14.5,14.460409,28800.0,28800.0,0.02,0.138,14.51667,"January 22, 21",0.00138
0,2021-01-21,14.5,14.55,14.48,14.5,14.460409,30500.0,30500.0,0.0,0.0,14.51,"January 21, 21",0.0
0,2021-01-20,14.46,14.5,14.36,14.49,14.450437,27200.0,27200.0,0.03,0.207,14.45,"January 20, 21",0.00207
0,2021-01-19,14.41,14.49,14.39,14.44,14.400573,31300.0,31300.0,0.03,0.208,14.44,"January 19, 21",0.00208
0,2021-01-15,14.53,14.53,14.34,14.41,14.41,23400.0,23400.0,-0.12,-0.826,14.42667,"January 15, 21",-0.00826
0,2021-01-14,14.7,14.7,14.44,14.48,14.48,32200.0,32200.0,-0.22,-1.497,14.54,"January 14, 21",-0.01497
0,2021-01-13,14.63,14.7,14.6,14.7,14.66,35000.0,35000.0,0.07,0.478,14.66667,"January 13, 21",0.00478
0,2021-01-12,14.69,14.7,14.49,14.61,14.570245,9200.0,9200.0,-0.08,-0.545,14.6,"January 12, 21",-0.00545
0,2021-01-11,14.42,14.74,14.42,14.73,14.689919,70900.0,70900.0,0.31,2.15,14.63,"January 11, 21",0.0215
0,2021-01-08,14.55,14.6,14.49,14.49,14.450571,23100.0,23100.0,-0.06,-0.412,14.52667,"January 08, 21",-0.00412
0,2021-01-07,14.66,14.71,14.41,14.53,14.490462,31100.0,31100.0,-0.13,-0.887,14.55,"January 07, 21",-0.00887
0,2021-01-06,14.73,14.73,14.66,14.67,14.630082,8300.0,8300.0,-0.06,-0.407,14.68667,"January 06, 21",-0.00407
0,2021-01-05,14.6,14.72,14.6,14.68,14.640055,28400.0,28400.0,0.08,0.548,14.66667,"January 05, 21",0.00548
0,2021-01-04,14.73,14.73,14.64,14.7,14.66,16200.0,16200.0,-0.03,-0.204,14.69,"January 04, 21",-0.00204
0,2020-12-31,14.63,14.73,14.63,14.73,14.689919,19500.0,19500.0,0.1,0.684,14.69667,"December 31, 20",0.00684
0,2020-12-30,14.6,14.69,14.57,14.58,14.540327,17600.0,17600.0,-0.02,-0.137,14.61333,"December 30, 20",-0.00137
0,2020-12-29,14.63,14.63,14.5,14.53,14.490462,13000.0,13000.0,-0.1,-0.684,14.55333,"December 29, 20",-0.00684
0,2020-12-28,14.51,14.56,14.45,14.52,14.480491,24600.0,24600.0,0.01,0.069,14.51,"December 28, 20",0.00069
0,2020-12-24,14.48,14.64,14.47,14.5,14.460545,15000.0,15000.0,0.02,0.138,14.53667,"December 24, 20",0.00138
0,2020-12-23,14.7,14.7,14.3,14.46,14.420653,26300.0,26300.0,-0.24,-1.633,14.48667,"December 23, 20",-0.01633
0,2020-12-22,14.57,14.59,14.47,14.59,14.5503,26500.0,26500.0,0.02,0.137,14.55,"December 22, 20",0.00137
0,2020-12-21,14.45,14.51,14.4,14.44,14.400707,9000.0,9000.0,-0.01,-0.069,14.45,"December 21, 20",-0.00069
0,2020-12-18,14.36,14.5,14.3,14.45,14.411171,28600.0,28600.0,0.09,0.627,14.41667,"December 18, 20",0.00627
0,2020-12-17,14.33,14.33,14.26,14.29,14.251601,28700.0,28700.0,-0.04,-0.279,14.29333,"December 17, 20",-0.00279
0,2020-12-16,14.27,14.32,14.18,14.27,14.231655,85800.0,85800.0,0.0,0.0,14.25667,"December 16, 20",0.0
0,2020-12-15,14.24,14.3,14.24,14.27,14.231655,19800.0,19800.0,0.03,0.211,14.27,"December 15, 20",0.00211
0,2020-12-14,14.37,14.38,14.27,14.28,14.241628,11300.0,11300.0,-0.09,-0.626,14.31,"December 14, 20",-0.00626
0,2020-12-11,14.46,14.51,14.35,14.38,14.301467,30400.0,30400.0,-0.08,-0.553,14.41333,"December 11, 20",-0.00553
0,2020-12-10,14.51,14.52,14.42,14.44,14.361139,18400.0,18400.0,-0.07,-0.482,14.46,"December 10, 20",-0.00482
0,2020-12-09,14.53,14.55,14.42,14.46,14.38103,32800.0,32800.0,-0.07,-0.482,14.47667,"December 09, 20",-0.00482
0,2020-12-08,14.72,14.72,14.5,14.56,14.480484,45400.0,45400.0,-0.16,-1.087,14.59333,"December 08, 20",-0.01087
0,2020-12-07,14.6,14.6,14.5,14.56,14.480484,29300.0,29300.0,-0.04,-0.274,14.55333,"December 07, 20",-0.00274
0,2020-12-04,14.6,14.6,14.24,14.49,14.410866,44100.0,44100.0,-0.11,-0.753,14.44333,"December 04, 20",-0.00753
0,2020-12-03,14.65,14.65,14.49,14.55,14.470539,17000.0,17000.0,-0.1,-0.683,14.56333,"December 03, 20",-0.00683
0,2020-12-02,14.61,14.66,14.52,14.52,14.440703,60300.0,60300.0,-0.09,-0.616,14.56667,"December 02, 20",-0.00616
0,2020-12-01,14.57,14.61,14.55,14.61,14.53021,11900.0,11900.0,0.04,0.275,14.59,"December 01, 20",0.00275
0,2020-11-30,14.57,14.57,14.52,14.54,14.460593,6000.0,6000.0,-0.03,-0.206,14.54333,"November 30, 20",-0.00206
0,2020-11-27,14.57,14.57,14.51,14.53,14.450648,12500.0,12500.0,-0.04,-0.275,14.53667,"November 27, 20",-0.00275
0,2020-11-25,14.56,14.56,14.28,14.48,14.40092,26300.0,26300.0,-0.08,-0.549,14.44,"November 25, 20",-0.00549
0,2020-11-24,14.48,14.5,14.43,14.43,14.351194,17800.0,17800.0,-0.05,-0.345,14.45333,"November 24, 20",-0.00345
0,2020-11-23,14.39,14.49,14.38,14.49,14.410866,23800.0,23800.0,0.1,0.695,14.45333,"November 23, 20",0.00695
0,2020-11-20,14.3,14.42,14.3,14.4,14.321358,28200.0,28200.0,0.1,0.699,14.37333,"November 20, 20",0.00699
0,2020-11-19,14.36,14.38,14.27,14.37,14.291521,46000.0,46000.0,0.01,0.07,14.34,"November 19, 20",0.0007
